iter	RMSE
0	4.667053732
1	4.577026312
2	4.490756958
3	4.406243026
4	4.321080221
5	4.241162064
6	4.170319751
7	4.099551724
8	4.033869967
9	3.966260656
10	3.905080286
11	3.851167088
12	3.799561392
13	3.751118255
14	3.694922393
15	3.643922132
16	3.601086688
17	3.554559908
18	3.510515843
19	3.470500138
20	3.436965985
21	3.399503859
22	3.362145481
23	3.332181211
24	3.295111881
25	3.269245577
26	3.238156602
27	3.21041991
28	3.188695021
29	3.155917867
30	3.130848887
31	3.104796444
32	3.0793756
33	3.05613164
34	3.03430905
35	3.007931352
36	2.985660595
37	2.961783878
38	2.935259395
39	2.916163493
40	2.891883658
41	2.869534627
42	2.850921857
43	2.833219831
44	2.814483657
45	2.793205622
46	2.782784785
47	2.766127595
48	2.751629237
49	2.735674959
50	2.720770307
51	2.709345232
52	2.69274396
53	2.679022002
54	2.66566341
55	2.656545464
56	2.643908856
57	2.630131905
58	2.616252688
59	2.602393348
60	2.592146409
61	2.581565364
62	2.57189462
63	2.561230793
64	2.553628121
65	2.537904784
66	2.527426636
67	2.516311134
68	2.504683752
69	2.491277581
70	2.481482868
71	2.475979389
72	2.467999581
73	2.460681632
74	2.45460463
75	2.444777777
76	2.436557661
77	2.429018169
78	2.419830342
79	2.414199914
80	2.403502825
81	2.397407944
82	2.39188296
83	2.382184544
84	2.376961417
85	2.371675026
86	2.364590548
87	2.359056482
88	2.348136431
89	2.343131028
90	2.333826587
91	2.327167614
92	2.321648854
93	2.315397147
94	2.309148089
95	2.303486692
96	2.290268974
97	2.282276084
98	2.276669491
99	2.270308911
100	2.262685687
101	2.25420959
102	2.24956511
103	2.242503574
104	2.235895274
105	2.22988507
106	2.223968667
107	2.221460454
108	2.215557838
109	2.209317872
110	2.20255177
111	2.197113701
112	2.193257221
113	2.188995198
114	2.180132877
115	2.172919567
116	2.168959121
117	2.160346548
118	2.154702415
119	2.147921513
120	2.141444837
121	2.135838465
122	2.127473547
123	2.123928245
124	2.11505693
125	2.11222502
126	2.105186056
127	2.096935415
128	2.091943656
129	2.088764364
130	2.085080065
131	2.077478846
132	2.069285529
133	2.060513908
134	2.057137785
135	2.049344992
136	2.045606008
137	2.040986855
138	2.038027477
139	2.033060657
140	2.028579599
141	2.025755293
142	2.017262141
143	2.014820769
144	2.011145435
145	2.005521899
146	2.002643336
147	1.994443885
148	1.987282233
149	1.984682098
150	1.978711185
151	1.975038113
152	1.967710529
153	1.96567532
154	1.959128436
155	1.953171683
156	1.948604395
157	1.942406234
158	1.939494502
159	1.930488079
160	1.924998089
161	1.919826612
162	1.914939542
163	1.909698053
164	1.908209987
165	1.903686342
166	1.899001709
167	1.8965597
168	1.890308048
169	1.884295595
170	1.879287166
171	1.873797662
172	1.872160465
173	1.869168067
174	1.867638941
175	1.865776556
176	1.864543626
177	1.86013494
178	1.853766231
179	1.850045251
180	1.842639516
181	1.835466846
182	1.833631568
183	1.832373536
184	1.829031872
185	1.823587335
186	1.819965309
187	1.817983517
188	1.813235322
189	1.807779206
190	1.797849718
191	1.790730714
192	1.785069351
193	1.779715405
194	1.773782278
195	1.768930238
196	1.762524929
197	1.75751322
198	1.751018739
199	1.748361234
200	1.740084155
201	1.735460577
202	1.728381789
203	1.722694171
204	1.718063863
205	1.714891617
206	1.710084162
207	1.703520338
208	1.697167058
209	1.69188672
210	1.690585094
211	1.685697342
212	1.684572343
213	1.680353989
214	1.676860787
215	1.674564014
216	1.667546393
217	1.662893289
218	1.661758851
219	1.655899556
220	1.653992097
221	1.648149729
222	1.644918901
223	1.639031646
224	1.631276106
225	1.630195616
226	1.62026869
227	1.616664603
228	1.610069537
229	1.606787721
230	1.602587066
231	1.600434044
232	1.594374027
233	1.591038624
234	1.590009721
235	1.589041453
236	1.582878554
237	1.581174449
238	1.577276346
239	1.571587439
240	1.56424583
241	1.559872052
242	1.550426601
243	1.548427698
244	1.544176513
245	1.54010304
246	1.533916317
247	1.529291957
248	1.52637287
249	1.522032923
250	1.515746316
251	1.514014469
252	1.511332437
253	1.508746735
254	1.501745446
255	1.499160863
256	1.49095505
257	1.485700506
258	1.48184072
259	1.478091387
260	1.472794437
261	1.468173516
262	1.461987501
263	1.458505701
264	1.455267034
265	1.453813784
266	1.450272867
267	1.448205661
268	1.44233011
269	1.436974674
270	1.433529101
271	1.427900549
272	1.424599312
273	1.421747706
274	1.41800979
275	1.413405447
276	1.410552681
277	1.406534912
278	1.404611229
279	1.402715256
280	1.401445708
281	1.398767207
282	1.397625235
283	1.394866745
284	1.392021847
285	1.391198897
286	1.389464349
287	1.385979937
288	1.379125522
289	1.377003308
290	1.374830384
291	1.373816341
292	1.370668669
293	1.368432695
294	1.367397264
295	1.361933227
296	1.359587141
297	1.358527438
298	1.354988743
299	1.350701228
300	1.349965994
301	1.349088362
302	1.348272532
303	1.34344888
304	1.342197082
305	1.335566856
306	1.332811718
307	1.329498943
308	1.324057528
309	1.317568211
310	1.315421702
311	1.312333516
312	1.309837637
313	1.308590001
314	1.30515316
315	1.300960778
316	1.297951493
317	1.293826408
318	1.288456905
319	1.284087522
320	1.283448415
321	1.279143503
322	1.275144028
323	1.272571007
324	1.270090643
325	1.265157904
326	1.262544012
327	1.257342218
328	1.256989448
329	1.252041529
330	1.247500113
331	1.245785102
332	1.243886325
333	1.243248968
334	1.241964092
335	1.238840045
336	1.235196665
337	1.231233939
338	1.230624017
339	1.23016612
340	1.229755962
341	1.228992474
342	1.228474408
343	1.226231028
344	1.222098298
345	1.218579677
346	1.216309352
347	1.213726828
348	1.209844711
349	1.204692562
350	1.201816459
351	1.201327374
352	1.199186033
353	1.19625675
354	1.194525632
355	1.192405852
356	1.191834269
357	1.188621567
358	1.184468846
359	1.18213943
360	1.179795374
361	1.173053048
362	1.172665576
363	1.172235627
364	1.171875348
365	1.167282046
366	1.166680779
367	1.164038703
368	1.159776205
369	1.157811794
370	1.152185329
371	1.148908191
372	1.14448061
373	1.143019433
374	1.140738766
375	1.137743999
376	1.134723761
377	1.132403035
378	1.129436673
379	1.127559603
380	1.12655849
381	1.124508401
382	1.12210172
383	1.121093549
384	1.118801786
385	1.115856399
386	1.115209197
387	1.113082246
388	1.109557205
389	1.109155693
390	1.105674853
391	1.105416198
392	1.1033226
393	1.101174639
394	1.098446811
395	1.095423265
396	1.092607748
397	1.090275436
398	1.088235102
399	1.085354726
400	1.081441507
401	1.079522485
402	1.079149718
403	1.077758826
404	1.077512211
405	1.075825046
406	1.075497138
407	1.071868414
408	1.067017741
409	1.066118708
410	1.062865656
411	1.059669384
412	1.056308418
