date,recession_probability,1_month_recession_probability,3_month_recession_probability,6_month_recession_probability,1_year_rate,3_months_rate,6_months_rate,CPI,INDPRO,10_year_rate,share_price,unemplyment_rate
1967-02-01,.,.,.,0.0,4.5744444444444445,4.561111111111111,4.5905555555555555,33.0,34.765,4.63,4.733288,3.8
1967-03-01,.,.,0.8,0.26,4.185,4.259090909090909,4.221818181818182,33.0,34.5691,4.54,4.854181,3.8
1967-04-01,.,.,0.5,0.08,3.8985,3.8375,3.8945,33.1,34.8951,4.59,4.943822,3.8
1967-05-01,.,0.8,0.0,0.0,3.885,3.603181818181818,3.799545454545455,33.1,34.5907,4.85,5.050294999999999,3.8
1967-06-01,0.8,0.5,0.26,0.0,4.164545454545455,3.535909090909091,3.889545454545454,33.3,34.5863,5.02,5.005237999999999,3.9
1967-07-01,0.5,0.0,0.08,1.54,4.8955,4.2055,4.7204999999999995,33.4,34.5076,5.16,5.117102,3.8
1967-08-01,0.0,0.26,0.0,0.02,5.045217391304348,4.265652173913043,4.828695652173913,33.5,35.1687,5.28,5.195627,3.8
1967-09-01,0.26,0.08,0.0,0.04,5.103,4.4245,4.961,33.6,35.1116,5.3,5.271365,3.8
1967-10-01,0.08,0.0,1.54,0.02,5.222857142857143,4.557619047619047,5.07,33.7,35.3976,5.48,5.261735,4.0
1967-11-01,0.0,0.0,0.02,0.0,5.387,4.727,5.2490000000000006,33.9,35.9038,5.75,5.090616000000001,3.9
1967-12-01,0.0,1.54,0.04,0.0,5.5915,4.968999999999999,5.492,34.0,36.2905,5.7,5.254071,3.8
1968-01-01,1.54,0.02,0.02,0.0,5.297272727272728,4.995909090909091,5.235454545454545,34.1,36.2514,5.53,5.271944,3.7
1968-02-01,0.02,0.04,0.0,0.14,5.2436842105263155,4.978947368421053,5.1684210526315795,34.2,36.3813,5.56,5.018927,3.8
1968-03-01,0.04,0.02,0.0,0.0,5.416190476190476,5.1657142857142855,5.331428571428571,34.3,36.4949,5.74,4.899619,3.7
1968-04-01,0.02,0.0,0.0,0.0,5.4725,5.377000000000001,5.4895000000000005,34.4,36.5477,5.64,5.271408,3.5
1968-05-01,0.0,0.0,0.14,0.0,5.842727272727273,5.655909090909091,5.834090909090909,34.5,36.9577,5.87,5.432116000000001,3.5
1968-06-01,0.0,0.0,0.0,0.06,5.6770000000000005,5.5235,5.638,34.7,37.0934,5.72,5.608871,3.7
1968-07-01,0.0,0.14,0.0,0.04,5.3940909090909095,5.3131818181818184,5.407272727272727,34.9,37.0366,5.5,5.5867949999999995,3.7
1968-08-01,0.14,0.0,0.0,0.0,5.149090909090909,5.086818181818182,5.231363636363636,35.0,37.1399,5.42,5.450272,3.5
