date,recession_probability,1_month_recession_probability,3_month_recession_probability,6_month_recession_probability,1_year_rate,3_months_rate,6_months_rate,CPI,INDPRO,10_year_rate,share_price,unemployment_rate,PPI,OECD_CLI_index,CSI_index,Business_Quarter,Month,Country,gdp_per_capita
1967-02-01,.,.,.,0.12,4.48,4.500,4.5905555555555555,33.0,34.765,4.63,4.733288,3.8,27.2,98.59224779715721,94.1,Q1,February,USA,24586.666666666668
1967-03-01,.,.,1.0,0.4,4.44,4.450,4.221818181818182,33.0,34.5691,4.54,4.854181,3.8,27.2,98.6084303457845,94.1,Q1,March,USA,24571.333333333332
1967-04-01,.,.,0.6,0.08,,,3.8945,33.1,34.8951,4.59,4.943822,3.8,27.2,98.7474630044145,94.1,Q2,April,USA,24556.0
1967-05-01,.,1.0,0.12,0.04,3.97,3.750,3.799545454545455,33.1,34.5907,4.85,5.050294999999999,3.8,27.2,98.99594098062359,95.9,Q2,May,USA,24610.333333333332
1967-06-01,1.0,0.6,0.4,0.06,3.81,3.400,3.889545454545454,33.3,34.5863,5.02,5.005237999999999,3.9,27.2,99.3064915117285,95.9,Q2,June,USA,24664.666666666668
1967-07-01,0.6,0.12,0.08,1.26,,,4.7204999999999995,33.4,34.5076,5.16,5.117102,3.8,27.2,99.6393203213435,95.9,Q3,July,USA,24719.0
1967-08-01,0.12,0.4,0.04,0.12,4.94,4.160,4.828695652173913,33.5,35.1687,5.28,5.195627,3.8,27.2,99.96026729167092,97.0,Q3,August,USA,24758.0
1967-09-01,0.4,0.08,0.06,0.14,5.02,4.340,4.961,33.6,35.1116,5.3,5.271365,3.8,27.2,100.23671694275801,97.0,Q3,September,USA,24797.0
1967-10-01,0.08,0.04,1.26,0.1,,,5.07,33.7,35.3976,5.48,5.261735,4.0,27.2,100.45659172295,97.0,Q4,October,USA,24836.0
1967-11-01,0.04,0.06,0.12,0.08,5.33,4.580,5.2490000000000006,33.9,35.9038,5.75,5.090616000000001,3.9,27.2,100.61547482945,92.9,Q4,November,USA,24986.666666666668
1967-12-01,0.06,1.26,0.14,0.04,5.67,5.010,5.492,34.0,36.2905,5.7,5.254071,3.8,27.2,100.71476702590799,92.9,Q4,December,USA,25137.333333333332
1968-01-01,1.26,0.12,0.1,0.1,.,.,5.235454545454545,34.1,36.2514,5.53,5.271944,3.7,27.3,100.750915673116,97.2,Q1,January,USA,25288.0
1968-02-01,0.12,0.14,0.08,0.22,5.22,4.840,5.1684210526315795,34.2,36.3813,5.56,5.018927,3.8,27.3,100.754590983907,97.2,Q1,February,USA,25409.333333333332
1968-03-01,0.14,0.1,0.04,0.08,5.33,5.010,5.331428571428571,34.3,36.4949,5.74,4.899619,3.7,27.3,100.74681114548099,97.2,Q1,March,USA,25530.666666666668
1968-04-01,0.1,0.08,0.1,0.06,5.34,5.130,5.4895000000000005,34.4,36.5477,5.64,5.271408,3.5,27.3,100.739781313871,97.2,Q2,April,USA,25652.0
1968-05-01,0.08,0.04,0.22,0.04,5.66,5.480,5.834090909090909,34.5,36.9577,5.87,5.432116000000001,3.5,27.7,100.74164624173099,92.4,Q2,May,USA,25695.0
1968-06-01,0.04,0.1,0.08,0.1,,,5.638,34.7,37.0934,5.72,5.608871,3.7,27.8,100.76642701141701,92.4,Q2,June,USA,25738.0
1968-07-01,0.1,0.22,0.06,0.08,5.64,5.300,5.407272727272727,34.9,37.0366,5.5,5.5867949999999995,3.7,27.9,100.82794538613199,92.4,Q3,July,USA,25781.0
1968-08-01,0.22,0.08,0.04,0.08,5.05,4.970,5.231363636363636,35.0,37.1399,5.42,5.450272,3.5,27.9,100.937850921322,92.4,Q3,August,USA,25791.666666666668
1968-09-01,0.08,0.06,0.1,0.08,,,5.254,35.1,37.2806,5.46,5.625068,3.4,28.0,101.096094384454,92.4,Q3,September,USA,25802.333333333332
