Exposure,Area,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region,ClaimNb,target
0.59,3,11,0,39,56,3,0,778,2,2,6.903948040639183
0.95,4,4,1,49,50,3,1,2354,0,1,7.02919384725252
0.71,3,4,2,32,106,3,1,570,7,1,7.524080808690677
0.78,2,4,1,49,57,3,1,288,15,1,7.094234845924755
0.86,5,12,0,37,50,3,0,27000,0,1,7.094234845924755
0.78,4,15,10,48,50,3,1,2400,0,1,7.094234845924755
0.71,2,5,3,58,50,3,1,208,19,1,7.094234845924755
0.21,5,8,2,53,52,3,0,15725,0,3,10.914062847540496
0.21,5,8,2,53,52,3,0,15725,0,3,8.938662873666118
0.78,0,7,2,29,60,3,0,45,16,1,7.094234845924755
0.77,0,7,10,27,85,9,1,39,2,1,4.359269647551265
0.84,2,7,2,44,95,3,0,384,15,1,6.952728644624869
0.28,4,10,4,64,50,3,0,5859,0,1,7.094234845924755
0.43,3,4,1,51,50,3,1,518,7,1,7.094234845924755
0.36,4,5,5,41,63,3,0,3301,15,1,7.094234845924755
0.95,4,4,1,50,50,3,0,2694,13,1,7.094234845924755
0.75,2,15,10,57,50,3,1,127,14,1,7.094234845924755
0.06,3,4,1,48,50,3,1,824,19,1,7.094234845924755
0.7,4,6,3,48,50,3,1,3386,0,1,6.322816554844147
0.36,2,8,2,63,50,3,0,258,12,1,7.094234845924755
0.86,4,9,0,37,50,3,1,9484,0,1,7.094234845924755
0.53,1,7,2,53,72,3,1,57,17,1,7.094234845924755
0.71,3,6,8,41,72,3,1,824,19,2,6.322816554844147
0.71,3,6,8,41,72,3,1,824,19,2,7.094234845924755
0.24,4,4,1,23,80,7,0,3317,20,2,6.322816554844147
0.24,4,4,1,23,80,7,0,3317,20,2,7.094234845924755
0.87,5,10,2,33,101,3,1,27000,0,1,7.094234845924755
0.72,3,6,4,35,50,6,0,936,7,1,6.036724678512846
0.62,2,10,2,29,64,3,1,247,20,1,7.094234845924755
0.17,2,11,9,31,57,0,0,269,7,1,7.094234845924755
0.45,2,7,2,80,50,3,0,196,14,1,7.094234845924755
0.53,2,7,7,23,85,3,0,317,0,1,6.040802180436441
0.46,3,5,4,25,85,9,0,538,12,1,7.094234845924755
0.66,3,6,1,49,50,3,1,684,7,1,9.166319516551528
0.24,3,6,8,31,68,3,1,910,7,1,4.350793932242783
0.51,3,10,5,41,50,3,0,581,17,1,7.094234845924755
0.65,4,4,2,23,95,3,1,5376,0,1,8.764743655976062
0.45,4,5,2,54,50,3,1,3214,18,1,6.401917196727186
0.87,0,6,2,65,50,3,1,21,21,1,7.094234845924755
0.71,0,12,1,47,51,3,0,21,20,1,5.3612921657094255
0.12,4,4,0,49,50,3,1,4762,20,2,6.479630365729802
0.75,2,6,3,46,50,10,0,478,8,1,8.619455512622293
0.71,5,5,2,46,50,6,0,27000,0,2,7.094234845924755
0.12,4,4,0,49,50,3,1,4762,20,2,7.02919384725252
0.43,2,5,0,32,57,3,1,408,8,1,7.094234845924755
0.62,2,9,4,56,50,3,1,187,17,1,7.094234845924755
0.39,4,9,3,45,85,10,0,3385,0,1,6.322816554844147
0.81,3,5,3,28,100,6,1,1313,4,1,7.094234845924755
0.36,4,5,10,43,68,7,0,3599,0,2,5.667014750463987
0.36,4,5,10,43,68,7,0,3599,0,2,6.322816554844147
0.01,2,4,3,60,68,3,1,391,7,1,8.490824575115965
0.69,4,5,0,77,50,3,1,2054,20,2,6.713842806311047
0.69,4,5,0,77,50,3,1,2054,20,2,4.663439094112067
