year,month,day,hour,pm_lag1,pm_lag2,pm_lag3,pm_lag24,pm_roll24,pm_roll168,DEWP_lag1,TEMP_lag1,PRES_lag1,Iws_lag1,Is_lag1,Ir_lag1,cbwd_lag1,hour_sin,hour_cos,mon_sin,mon_cos,target
2010,1,9,0,169.0,168.0,225.0,210.0,176.20833333333334,85.74404761904762,-16.0,-11.0,1027.0,6.71,0.0,0.0,1.0,0.0,1.0,0.49999999999999994,0.8660254037844387,165.0
2010,1,9,1,165.0,169.0,168.0,195.0,174.33333333333334,85.95833333333333,-17.0,-13.0,1027.0,0.89,0.0,0.0,3.0,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,159.0
2010,1,9,2,159.0,165.0,169.0,275.0,172.83333333333334,86.02380952380952,-17.0,-13.0,1027.0,3.13,0.0,0.0,1.0,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,167.0
2010,1,9,3,167.0,159.0,165.0,164.0,168.33333333333334,86.07142857142857,-17.0,-14.0,1027.0,4.92,0.0,0.0,1.0,0.7071067811865475,0.7071067811865476,0.49999999999999994,0.8660254037844387,196.0
2010,1,9,4,196.0,167.0,159.0,110.0,169.66666666666666,86.16071428571429,-17.0,-15.0,1027.0,8.05,0.0,0.0,1.0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,169.0
2010,1,9,5,169.0,196.0,167.0,100.0,172.125,86.3452380952381,-17.0,-13.0,1027.0,9.84,0.0,0.0,1.0,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,155.0
2010,1,9,6,155.0,169.0,196.0,81.0,174.41666666666666,86.61904761904762,-19.0,-16.0,1027.0,13.86,0.0,0.0,1.0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,119.0
2010,1,9,7,119.0,155.0,169.0,71.0,176.0,86.70238095238095,-18.0,-15.0,1027.0,17.88,0.0,0.0,1.0,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,106.0
2010,1,9,8,106.0,119.0,155.0,66.0,177.45833333333334,86.5952380952381,-19.0,-15.0,1027.0,21.9,0.0,0.0,1.0,0.8660254037844387,-0.49999999999999983,0.49999999999999994,0.8660254037844387,93.0
2010,1,9,9,93.0,106.0,119.0,92.0,178.58333333333334,86.43452380952381,-18.0,-14.0,1028.0,25.92,0.0,0.0,1.0,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,84.0
2010,1,9,10,84.0,93.0,106.0,135.0,178.25,86.14880952380952,-18.0,-9.0,1029.0,5.81,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,73.0
2010,1,9,11,73.0,84.0,93.0,155.0,175.66666666666666,85.75,-17.0,-7.0,1029.0,11.62,0.0,0.0,0.0,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,66.0
2010,1,9,12,66.0,73.0,84.0,198.0,171.95833333333334,85.23809523809524,-17.0,-6.0,1030.0,17.43,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,40.0
2010,1,9,13,40.0,66.0,73.0,250.0,165.375,84.5952380952381,-16.0,-6.0,1029.0,23.24,0.0,0.0,0.0,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,49.0
