date,cases_lag7,pos_lag7,cases_lag14,pos_lag14,cases_lag21,pos_lag21,rt_lag7,icu_lag7,hosp_lag7,strin_lag7,vax_lag7,deaths_lag14,deaths_roll28,target
2020-12-20,614.24,0.12,535.79,0.12,486.21,0.11,1.07,74.12,317.48,71.76,0.01,6.19,0.0,7.89
2020-12-21,170.27,0.05,160.09,0.05,141.1,0.05,1.05,14.46,98.69,72.69,0.0,2.19,1.9685714285714284,2.87
2020-12-21,614.24,0.12,535.79,0.12,486.21,0.11,1.06,75.56,324.25,71.76,0.01,6.19,0.0,7.89
2020-12-22,614.24,0.12,535.79,0.12,486.21,0.11,1.05,76.3,328.11,71.76,0.03,6.19,0.0,7.89
2020-12-22,170.27,0.05,160.09,0.05,141.1,0.05,1.05,14.98,98.56,72.69,0.0,2.19,2.015357142857143,2.87
2020-12-23,614.24,0.12,535.79,0.12,486.21,0.12,1.04,76.77,331.07,71.76,0.07,6.19,0.0,7.89
2020-12-23,170.27,0.05,160.09,0.05,141.1,0.05,1.04,15.19,98.25,72.69,0.01,2.19,2.062142857142857,2.87
2020-12-24,170.27,0.05,160.09,0.05,141.1,0.05,1.04,14.9,97.47,72.69,0.02,2.19,2.1089285714285713,2.87
2020-12-24,614.24,0.12,535.79,0.12,486.21,0.12,1.03,76.54,332.39,71.76,0.15,6.19,0.0,7.89
2020-12-25,170.27,0.05,160.09,0.05,141.1,0.05,1.04,15.0,97.67,72.69,0.03,2.19,2.1557142857142857,2.87
2020-12-25,441.86,0.03,254.21,0.03,211.01,0.02,1.16,13.43,96.56,51.85,0.0,1.33,1.042857142857143,2.03
2020-12-25,614.24,0.12,535.79,0.12,486.21,0.12,1.02,76.71,331.41,71.76,0.28,6.19,0.0,7.89
2020-12-26,170.27,0.05,160.09,0.05,141.1,0.05,1.03,15.0,98.53,72.69,0.03,2.19,2.2024999999999997,2.87
2020-12-26,188.29,0.04,141.76,0.03,99.84,0.02,1.38,15.24,110.17,71.3,0.0,0.94,0.6467857142857143,1.62
2020-12-26,614.24,0.12,535.79,0.12,486.21,0.12,1.0,76.27,328.23,71.76,0.33,6.19,0.0,7.89
2020-12-27,634.92,0.12,614.24,0.12,535.79,0.12,0.99,77.03,332.26,71.76,0.36,7.41,0.0,7.67
2020-12-27,271.9,0.04,188.29,0.03,141.76,0.03,1.38,15.45,118.85,71.3,0.08,1.25,0.6482142857142856,2.06
2020-12-27,171.13,0.05,170.27,0.05,160.09,0.05,1.03,14.88,100.98,72.69,0.03,2.75,2.2392857142857143,2.9
2020-12-28,271.9,0.04,188.29,0.03,141.76,0.03,1.39,15.98,120.22,71.3,0.34,1.25,0.6496428571428571,2.06
2020-12-28,634.92,0.12,614.24,0.12,535.79,0.12,0.98,78.13,338.91,71.76,0.48,7.41,0.0,7.67
2020-12-28,477.54,0.12,485.06,0.15,439.17,0.18,1.01,50.91,322.98,60.19,0.0,9.62,0.0,9.75
2020-12-28,171.13,0.05,170.27,0.05,160.09,0.05,1.02,15.08,102.54,72.69,0.05,2.75,2.2760714285714285,2.9
2020-12-29,171.13,0.05,170.27,0.05,160.09,0.05,1.02,14.98,102.12,72.69,0.07,2.75,2.312857142857143,2.9
2020-12-29,477.54,0.12,485.06,0.15,439.17,0.17,1.0,50.91,315.66,60.19,0.0,9.62,0.0,9.75
2020-12-29,634.92,0.12,614.24,0.12,535.79,0.12,0.96,79.02,347.42,71.76,0.61,7.41,0.0,7.67
2020-12-29,271.9,0.04,188.29,0.03,141.76,0.03,1.39,15.66,125.62,74.07,0.82,1.25,0.6510714285714284,2.06
2020-12-30,477.54,0.12,485.06,0.14,439.17,0.17,0.99,51.26,303.87,60.19,0.0,9.62,0.0,9.75
2020-12-30,634.92,0.12,614.24,0.12,535.79,0.12,0.95,79.6,349.13,71.76,0.78,7.41,0.0,7.67
2020-12-30,171.13,0.05,170.27,0.05,160.09,0.05,1.02,14.9,100.92,72.69,0.09,2.75,2.349642857142857,2.9
2020-12-30,271.9,0.04,188.29,0.03,141.76,0.03,1.38,15.66,129.11,74.07,1.48,1.25,0.6525,2.06
2020-12-31,477.54,0.12,485.06,0.13,439.17,0.17,0.98,51.14,290.72,60.19,0.01,9.62,0.0,9.75
2020-12-31,634.92,0.12,614.24,0.12,535.79,0.12,0.93,78.97,343.71,71.76,0.84,7.41,0.0,7.67
2020-12-31,171.13,0.05,170.27,0.05,160.09,0.05,1.02,14.93,99.68,72.69,0.12,2.75,2.3864285714285716,2.9
2020-12-31,271.9,0.04,188.29,0.03,141.76,0.03,1.4,16.19,129.11,74.07,2.26,1.25,0.6639285714285714,2.06
2021-01-01,477.54,0.12,485.06,0.13,439.17,0.16,0.98,50.57,282.02,60.19,0.01,9.62,0.0,9.75
2021-01-01,592.69,0.03,441.86,0.03,254.21,0.03,0.96,16.66,123.42,51.85,0.0,1.38,1.3882142857142856,3.24
2021-01-01,271.9,0.04,188.29,0.04,141.76,0.03,1.41,18.42,134.09,74.07,2.67,1.25,0.6753571428571429,2.06
2021-01-01,634.92,0.12,614.24,0.12,535.79,0.12,0.93,78.51,335.5,71.76,0.84,7.41,0.0,7.67
2021-01-01,171.13,0.05,170.27,0.05,160.09,0.05,1.02,15.29,104.18,72.69,0.13,2.75,2.4232142857142853,2.9
2021-01-02,271.9,0.04,188.29,0.04,141.76,0.03,1.4,17.67,138.32,74.07,3.01,1.25,0.6867857142857143,2.06
2021-01-02,477.54,0.12,485.06,0.13,439.17,0.16,0.99,51.37,290.94,60.19,0.01,9.62,0.0,9.75
2021-01-02,634.92,0.12,614.24,0.12,535.79,0.12,0.95,79.03,341.48,71.76,0.89,7.41,0.0,7.67
2021-01-02,171.13,0.05,170.27,0.05,160.09,0.05,1.02,15.11,108.6,72.69,0.13,2.75,2.46,2.9
2021-01-03,409.32,0.05,271.9,0.04,188.29,0.03,1.39,19.47,149.43,82.41,4.12,1.62,0.6982142857142858,3.0
2021-01-03,639.42,0.15,608.67,0.14,449.44,0.15,1.2,80.62,473.22,73.15,0.01,10.43,10.366785714285713,12.77
2021-01-03,241.29,0.1,269.11,0.12,277.44,0.11,0.89,43.7,442.96,82.41,0.01,10.57,3.3999999999999995,8.05
2021-01-03,615.2,0.27,642.75,0.28,706.1,0.29,1.03,96.7,556.17,81.48,0.29,20.13,0.0,16.75
2021-01-03,568.91,0.12,634.92,0.12,614.24,0.12,0.97,80.0,351.73,71.76,0.91,7.89,0.0,8.22
2021-01-03,186.44,0.03,206.51,0.04,172.63,0.06,1.03,39.08,363.06,63.89,0.0,7.52,0.7725,6.48
2021-01-03,394.68,0.11,391.08,0.1,333.94,0.09,1.07,24.89,323.51,55.56,0.01,2.96,5.068928571428572,4.13
2021-01-03,161.54,0.05,171.13,0.05,170.27,0.05,1.03,15.73,112.16,72.69,0.14,2.87,2.4910714285714284,3.3
2021-01-04,241.29,0.1,269.11,0.12,277.44,0.1,0.93,43.45,448.82,78.7,0.01,10.57,3.2925,8.05
2021-01-04,409.32,0.05,271.9,0.04,188.29,0.03,1.38,19.68,150.81,82.41,5.55,1.62,0.7096428571428571,3.0
2021-01-04,153.74,0.07,214.79,0.08,196.3,0.08,0.92,43.76,209.34,60.19,0.0,8.04,8.966785714285715,5.87
2021-01-04,615.2,0.28,642.75,0.28,706.1,0.29,1.06,95.76,575.99,81.48,0.37,20.13,0.0,16.75
2021-01-04,186.44,0.03,206.51,0.04,172.63,0.06,1.05,39.73,363.43,63.89,0.0,7.52,0.8049999999999999,6.48
2021-01-04,568.91,0.13,634.92,0.12,614.24,0.12,1.0,81.35,358.94,71.76,1.09,7.89,0.0,8.22
2021-01-04,281.86,0.03,573.56,0.03,708.69,0.05,0.79,49.41,242.43,67.59,0.07,3.5,0.0025,2.19
2021-01-04,639.42,0.16,608.67,0.14,449.44,0.15,1.22,86.24,545.65,73.15,0.03,10.43,10.30107142857143,12.77
2021-01-04,161.54,0.05,171.13,0.05,170.27,0.05,1.03,16.05,114.92,72.69,0.15,2.87,2.522142857142857,3.3
2021-01-04,386.46,0.13,477.54,0.12,485.06,0.15,1.02,50.91,303.07,60.19,0.03,10.24,0.0,9.33
2021-01-05,386.46,0.14,477.54,0.12,485.06,0.15,1.01,50.0,312.23,60.19,0.05,10.24,0.0,9.33
2021-01-05,568.91,0.13,634.92,0.12,614.24,0.12,1.03,82.12,362.6,71.76,1.3,7.89,0.0,8.22
2021-01-05,153.74,0.07,214.79,0.07,196.3,0.08,0.93,42.72,207.36,60.19,0.0,8.04,8.82392857142857,5.87
2021-01-05,639.42,0.18,608.67,0.14,449.44,0.16,1.24,89.48,569.47,73.15,0.07,10.43,10.235357142857142,12.77
2021-01-05,409.32,0.05,271.9,0.04,188.29,0.03,1.37,21.17,151.66,82.41,7.2,1.62,0.7210714285714286,3.0
2021-01-05,161.54,0.06,171.13,0.05,170.27,0.05,1.04,16.75,119.54,72.69,0.19,2.87,2.553214285714286,3.3
2021-01-05,241.29,0.1,269.11,0.12,277.44,0.1,0.98,43.18,443.97,78.7,0.02,10.57,3.1849999999999996,8.05
2021-01-05,281.86,0.03,573.56,0.03,708.69,0.04,0.8,47.87,226.99,67.59,0.12,3.5,0.0025,2.19
2021-01-05,186.44,0.04,206.51,0.03,172.63,0.06,1.07,39.31,364.87,63.89,0.0,7.52,0.8375,6.48
2021-01-05,615.2,0.28,642.75,0.27,706.1,0.29,1.08,94.82,551.93,81.48,0.43,20.13,0.0,16.75
2021-01-06,281.86,0.03,573.56,0.03,708.69,0.04,0.79,47.87,203.83,67.59,0.19,3.5,0.0025,2.19
2021-01-06,161.54,0.06,171.13,0.05,170.27,0.05,1.04,16.8,119.96,72.69,0.21,2.87,2.584285714285714,3.3
2021-01-06,153.74,0.07,214.79,0.07,196.3,0.08,0.93,42.55,200.16,60.19,0.01,8.04,8.681071428571428,5.87
2021-01-06,615.2,0.29,642.75,0.27,706.1,0.28,1.1,96.7,552.87,81.48,0.45,20.13,0.0,16.75
2021-01-06,386.46,0.15,477.54,0.12,485.06,0.14,1.01,48.51,300.79,60.19,0.07,10.24,0.0,9.33
2021-01-06,186.44,0.04,206.51,0.03,172.63,0.05,1.09,39.11,362.17,63.89,0.0,7.52,0.87,6.48
2021-01-06,639.42,0.2,608.67,0.14,449.44,0.15,1.25,90.91,585.1,73.15,0.1,10.43,10.169642857142858,12.77
2021-01-06,568.91,0.14,634.92,0.12,614.24,0.12,1.06,81.87,366.32,71.76,1.55,7.89,0.0,8.22
2021-01-06,241.29,0.11,269.11,0.1,277.44,0.11,1.04,42.82,441.99,78.7,0.02,10.57,3.0775,8.05
2021-01-06,409.32,0.05,271.9,0.04,188.29,0.03,1.36,21.7,153.24,82.41,8.82,1.62,0.7324999999999999,3.0
2021-01-07,615.2,0.3,642.75,0.27,706.1,0.28,1.1,90.1,553.82,81.48,0.54,20.13,0.0,16.75
2021-01-07,386.46,0.16,477.54,0.12,485.06,0.13,1.0,48.51,295.18,60.19,0.07,10.24,0.0,9.33
2021-01-07,186.44,0.05,206.51,0.03,172.63,0.05,1.09,38.71,359.92,63.89,0.0,7.52,0.9024999999999999,6.48
2021-01-07,639.42,0.22,608.67,0.14,449.44,0.15,1.24,92.72,587.29,73.15,0.11,10.43,10.10392857142857,12.77
2021-01-07,241.29,0.12,269.11,0.09,277.44,0.12,1.09,43.28,435.42,82.41,0.07,10.57,2.9699999999999998,8.05
2021-01-07,153.74,0.07,214.79,0.07,196.3,0.08,0.94,42.38,187.63,60.19,0.01,8.04,8.538214285714286,5.87
2021-01-07,161.54,0.07,171.13,0.05,170.27,0.05,1.04,16.64,119.65,72.69,0.25,2.87,2.615357142857143,3.3
2021-01-07,568.91,0.15,634.92,0.12,614.24,0.12,1.08,82.02,364.62,71.76,1.68,7.89,0.0,8.22
2021-01-07,409.32,0.05,271.9,0.04,188.29,0.03,1.37,23.39,160.23,82.41,10.5,1.62,0.7417857142857143,3.0
2021-01-08,409.32,0.06,271.9,0.04,188.29,0.04,1.37,23.81,163.19,82.41,11.26,1.62,0.7510714285714286,3.0
2021-01-08,153.74,0.07,214.79,0.07,196.3,0.08,0.94,41.95,178.54,60.19,0.01,8.04,8.395357142857144,5.87
2021-01-08,615.2,0.3,642.75,0.28,706.1,0.28,1.09,86.8,523.62,81.48,0.55,20.13,0.0,16.75
2021-01-08,161.54,0.07,171.13,0.05,170.27,0.05,1.04,16.51,120.14,72.69,0.27,2.87,2.646428571428572,3.3
2021-01-08,276.33,0.14,359.11,0.1,356.0,0.11,1.2,47.03,273.2,76.85,0.05,7.45,0.08,7.27
2021-01-08,473.4,0.03,592.69,0.03,441.86,0.03,0.85,21.93,150.45,51.85,0.09,2.03,1.9157142857142857,4.5
2021-01-08,386.46,0.16,477.54,0.12,485.06,0.13,0.99,48.17,289.23,60.19,0.07,10.24,0.0,9.33
2021-01-08,186.44,0.05,206.51,0.03,172.63,0.05,1.09,38.47,357.79,63.89,0.01,7.52,0.9557142857142856,6.48
2021-01-08,639.42,0.22,608.67,0.14,449.44,0.15,1.22,90.62,540.21,73.15,0.12,10.43,10.038214285714286,12.77
2021-01-08,241.29,0.12,269.11,0.1,277.44,0.12,1.09,43.24,429.81,82.41,0.09,10.57,2.8625000000000003,8.05
2021-01-08,568.91,0.15,634.92,0.12,614.24,0.12,1.08,81.21,357.84,71.76,1.72,7.89,0.0,8.22
2021-01-09,241.29,0.12,269.11,0.1,277.44,0.12,1.06,43.52,432.22,82.41,0.15,10.57,2.755,8.05
2021-01-09,615.2,0.3,642.75,0.27,706.1,0.28,1.08,86.8,524.1,81.48,0.57,20.13,0.0,16.75
2021-01-09,153.74,0.07,214.79,0.07,196.3,0.08,0.95,41.27,182.05,60.19,0.01,8.04,8.252500000000001,5.87
2021-01-09,639.42,0.22,608.67,0.14,449.44,0.15,1.2,91.58,569.28,73.15,0.13,10.43,9.972499999999998,12.77
2021-01-09,409.32,0.06,271.9,0.04,188.29,0.04,1.37,23.18,164.78,82.41,12.02,1.62,0.7603571428571428,3.0
2021-01-09,186.44,0.05,206.51,0.03,172.63,0.04,1.09,38.81,360.67,63.89,0.01,7.52,1.0089285714285714,6.48
2021-01-09,161.54,0.07,171.13,0.05,170.27,0.05,1.05,16.59,122.92,72.69,0.29,2.87,2.6774999999999998,3.3
2021-01-09,568.91,0.15,634.92,0.12,614.24,0.12,1.09,81.63,362.61,71.76,1.79,7.89,0.0,8.22
2021-01-09,386.46,0.17,477.54,0.12,485.06,0.13,1.0,48.17,293.81,60.19,0.07,10.24,0.0,9.33
2021-01-10,182.88,0.07,161.54,0.05,171.13,0.05,1.05,16.62,126.05,72.69,0.3,2.9,2.717142857142857,3.52
2021-01-10,712.52,0.3,615.2,0.27,642.75,0.28,1.11,87.74,553.34,81.48,0.59,17.36,0.0,13.58
2021-01-10,520.46,0.12,422.5,0.1,479.01,0.1,1.08,44.12,432.18,61.11,0.53,5.69,0.0,15.69
2021-01-10,392.46,0.13,394.68,0.11,391.08,0.1,1.04,30.16,301.64,55.56,0.19,3.39,5.091785714285714,3.6
2021-01-10,944.17,0.22,639.42,0.15,608.67,0.14,1.19,95.96,598.82,73.15,0.14,10.19,10.065357142857142,15.89
