date,1_year_rate,3_months_rate,6_months_rate,CPI,INDPRO,10_year_rate,share_price,unemployment_rate,PPI,OECD_CLI_index,CSI_index,gdp_per_capita,seasonally_adjusted_CPI,CPI_trend,seasonally_adjusted_unemployment_rate,INDPRO_trend,seasonally_adjusted_INDPRO,PPI_trend,recession_probability,unemployment_rate_trend,seasonally_adjusted_PPI,Year,3_month_recession_probability,6_month_recession_probability,1_month_recession_probability,anomaly_INDPRO,Month_Number,anomaly_3_months_rate,Quarter_Number,anomaly_6_months_rate,anomaly_1_year_rate,anomaly_10_year_rate,anomaly_unemployment_rate,anomaly_PPI,anomaly_CPI,anomaly_share_price,1_year_rate_acf1_original,1_year_rate_sumsq_acf_original,1_year_rate_acf1_diff1,1_year_rate_sumsq_acf_diff1,1_year_rate_acf1_diff2,1_year_rate_sumsq_acf_diff2,1_year_rate_acf_seasonal,3_months_rate_acf1_original,3_months_rate_sumsq_acf_original,3_months_rate_acf1_diff1,3_months_rate_sumsq_acf_diff1,recession_probability,1_month_recession_probability,3_month_recession_probability,6_month_recession_probability
1967-02-01,4.5744444444444445,4.561111111111111,4.590555555555556,33.0,34.765,4.63,1.700457068465636,3.8,27.2,98.5902660588199,94.1,24586.666666666668,32.90752857225821,32.86153179372854,3.825414093492156,34.28299293695746,34.426636977581694,27.062241408745624,,3.903097941513282,27.13757358214064,1967,,0.0,,0,2,0,1,0,0,0,0,0,0,0,0.992812397857096,8.972788811926204,0.35803726297557,0.2082917281542313,-0.1627081905033131,0.275906987387206,,0.9913854353815108,8.774737103828251,0.3410784112116864,0.2470385859230096,,,,0.0
1967-03-01,4.185,4.259090909090909,4.221818181818182,33.0,34.5691,4.54,1.7305958455220276,3.8,27.2,98.60635753598852,94.1,24571.33333333333,32.97641251003262,32.97060144920332,3.847483077933406,34.44054741316471,34.47748172173062,27.086381091606807,,3.889222157816158,27.163608829386163,1967,0.8,0.26,,0,3,0,1,0,0,0,0,0,0,0,0.992812397857096,8.972788811926204,0.35803726297557,0.2082917281542313,-0.1627081905033131,0.275906987387206,,0.9913854353815108,8.774737103828251,0.3410784112116864,0.2470385859230096,,,0.8,0.26
1967-04-01,3.8985,3.8375,3.8945,33.1,34.8951,4.59,1.7525168711187689,3.8,27.2,98.745386504646,94.1,24556.0,33.08270905186457,33.080240442793794,3.9216846211876617,34.59937162384203,34.724515827500106,27.111420953916557,,3.875038025366911,27.175457235960103,1967,0.5,0.08,,0,4,0,2,0,0,0,0,0,0,0,0.992812397857096,8.972788811926204,0.35803726297557,0.2082917281542313,-0.1627081905033131,0.275906987387206,,0.9913854353815108,8.774737103828251,0.3410784112116864,0.2470385859230096,,,0.5,0.08
1967-05-01,3.885,3.603181818181818,3.799545454545455,33.1,34.5907,4.85,1.7781008944592729,3.8,27.2,98.99399671532292,95.9,24610.33333333333,33.18234751503314,33.19044689092473,3.907702614834155,34.75937372620284,34.611585087391944,27.13738719780936,,3.860574195033584,27.15451456440181,1967,0.0,0.0,0.8,0,5,0,2,0,0,0,0,0,0,0,0.992812397857096,8.972788811926204,0.35803726297557,0.2082917281542313,-0.1627081905033131,0.275906987387206,,0.9913854353815108,8.774737103828251,0.3410784112116864,0.2470385859230096,,0.8,0.0,0.0
1967-06-01,4.164545454545455,3.535909090909091,3.889545454545454,33.3,34.5863,5.02,1.7673332150475274,3.9,27.2,99.3047939994294,95.9,24664.666666666668,33.30439345535427,33.30121845844332,3.827050168710964,34.92039520452196,34.80157303937745,27.16425863741097,0.8,3.845838782705669,27.153170595638368,1967,0.26,0.0,0.5,0,6,0,2,0,0,0,0,0,0,0,0.992812397857096,8.972788811926204,0.35803726297557,0.2082917281542313,-0.1627081905033131,0.275906987387206,,0.9913854353815108,8.774737103828251,0.3410784112116864,0.2470385859230096,0.8,0.5,0.26,0.0
1967-07-01,4.8955,4.2055,4.7205,33.4,34.5076,5.16,1.7939106852107063,3.8,27.2,99.63794008953458,95.9,24719.0,33.38047378536851,33.41255679770104,3.779548193328168,35.0823188058044,34.92417842748225,27.19198270413876,0.5,3.830812438493125,27.127891237311506,1967,0.08,1.54,0.0,0,7,0,3,0,0,0,0,0,0,0,0.992812397857096,8.972788811926204,0.35803726297557,0.2082917281542313,-0.1627081905033131,0.275906987387206,,0.9913854353815108,8.774737103828251,0.3410784112116864,0.2470385859230096,0.5,0.0,0.08,1.54
1967-08-01,5.045217391304348,4.265652173913043,4.828695652173913,33.5,35.1687,5.28,1.8122613063890056,3.8,27.2,99.9591982955933,97.0,24758.0,33.51088616832725,33.52446829871041,3.834871376437453,35.245113368503894,35.28224682810728,27.22048872270484,0.0,3.815477108092305,27.18604093635183,1967,0.0,0.02,0.26,0,8,0,3,0,0,0,0,0,0,0,0.992812397857096,8.972788811926204,0.35803726297557,0.2082917281542313,-0.1627081905033131,0.275906987387206,,0.9913854353815108,8.774737103828251,0.3410784112116864,0.2470385859230096,0.0,0.26,0.0,0.02
1967-09-01,5.103,4.4245,4.961,33.6,35.1116,5.3,1.829729207855142,3.8,27.2,100.235898297179,97.0,24797.0,33.635495296549806,33.63697884708239,3.873237494079614,35.40886857571939,35.351375603621925,27.249700520468224,0.26,3.7998340731090936,27.1699503187474,1967,0.0,0.04,0.08,0,9,0,3,0,0,0,0,0,0,0,0.992812397857096,8.972788811926204,0.35803726297557,0.2082917281542313,-0.1627081905033131,0.275906987387206,,0.9913854353815108,8.774737103828251,0.3410784112116864,0.2470385859230096,0.26,0.08,0.0,0.04
1967-10-01,5.222857142857143,4.557619047619047,5.07,33.7,35.3976,5.48,1.8275205752688668,4.0,27.2,100.455932228813,97.0,24836.0,33.72291603447942,33.75013507441181,3.765037502516328,35.57378755453542,35.5968617584047,27.279516795777926,0.08,3.7838775116232832,27.17593529824116,1967,1.54,0.02,0.0,0,10,0,4,0,0,0,0,0,0,0,0.992812397857096,8.972788811926204,0.35803726297557,0.2082917281542313,-0.1627081905033131,0.275906987387206,,0.9913854353815108,8.774737103828251,0.3410784112116864,0.2470385859230096,0.08,0.0,1.54,0.02
1967-11-01,5.387,4.727,5.2490000000000006,33.9,35.9038,5.75,1.7876648195723488,3.9,27.2,100.614888171617,92.9,24986.666666666668,33.88350368787004,33.86400889227683,3.8119667473637175,35.740316654024554,35.78227857230043,27.30981799465705,0.0,3.767556118323802,27.22641797883192,1967,0.02,0.0,0.0,0,11,0,4,0,0,0,0,0,0,0,0.992812397857096,8.972788811926204,0.35803726297557,0.2082917281542313,-0.1627081905033131,0.275906987387206,,0.9913854353815108,8.774737103828251,0.3410784112116864,0.2470385859230096,0.0,0.0,0.02,0.0
1967-12-01,5.5915,4.968999999999999,5.492,34.0,36.2905,5.7,1.8257602814563136,3.8,27.2,100.714201421608,92.9,25137.33333333333,33.984044334111054,33.97878775453759,3.7943281828461353,35.9095265547458,36.003853641982424,27.340739740612197,0.0,3.75069909137548,27.269793326825717,1967,0.04,0.0,1.54,0,12,0,4,0,0,0,0,0,0,0,0.992812397857096,8.972788811926204,0.35803726297557,0.2082917281542313,-0.1627081905033131,0.275906987387206,,0.9913854353815108,8.774737103828251,0.3410784112116864,0.2470385859230096,0.0,1.54,0.04,0.0
1968-01-01,5.297272727272728,4.995909090909091,5.235454545454545,34.1,36.2514,5.53,1.82986188702702,3.7,27.3,100.750372235043,97.2,25288.0,34.11015297169059,34.095195276268164,3.7484118191616074,36.08423852271326,36.11307287510892,27.37471770687971,1.54,3.7325282523084207,27.47842726602435,1968,0.02,0.0,0.02,0,1,0,1,0,0,0,0,0,0,0,0.992812397857096,8.972788811926204,0.35803726297557,0.2082917281542313,-0.1627081905033131,0.275906987387206,,0.9913854353815108,8.774737103828251,0.3410784112116864,0.2470385859230096,1.54,0.02,0.02,0.0
1968-02-01,5.243684210526316,4.978947368421053,5.16842105263158,34.2,36.3813,5.56,1.7706136543133948,3.8,27.3,100.754116310741,97.2,25409.33333333333,34.13809541587368,34.218114364981275,3.8387194722898337,36.26107373585605,36.09448257724394,27.42596929450027,0.02,3.7089714966037457,27.31798265538353,1968,0.0,0.14,0.04,0,2,0,1,0,0,0,0,0,0,0,0.992812397857096,8.972788811926204,0.35803726297557,0.2082917281542313,-0.1627081905033131,0.275906987387206,,0.9913854353815108,8.774737103828251,0.3410784112116864,0.2470385859230096,0.02,0.04,0.0,0.14
1968-03-01,5.416190476190476,5.1657142857142855,5.331428571428571,34.3,36.4949,5.74,1.7417517905546225,3.7,27.3,100.746450889828,97.2,25530.666666666668,34.28311530714241,34.34325810327682,3.738306150428011,36.43470992199209,36.34716214829268,27.4822344651374,0.04,3.683261512410696,27.37647520064013,1968,0.0,0.0,0.02,0,3,0,1,0,0,0,0,0,0,0,0.992812397857096,8.972788811926204,0.35803726297557,0.2082917281542313,-0.1627081905033131,0.275906987387206,,0.9913854353815108,8.774737103828251,0.3410784112116864,0.2470385859230096,0.04,0.02,0.0,0.0
