date,unemployment_rate,CPI,INDPRO,gdp_per_capita,1_year_rate,3_months_rate,6_months_rate,10_year_rate,share_price,unemployment_rate,PPI,OECD_CLI_index,CSI_index,Quarter_Number,Month_Number,gdp_per_capita,anomaly_INDPRO,anomaly_CPI,anomaly_unemployment_rate,anomaly_PPI,anomaly_share_price,anomaly_1_year_rate,anomaly_3_months_rate,anomaly_6_months_rate,anomaly_10_year_rate,1_year_rate_acf1_diff1,1_year_rate_sumsq_acf_diff1,1_year_rate_acf1_diff2,1_year_rate_sumsq_acf_diff2,3_months_rate_acf1_diff1,3_months_rate_sumsq_acf_diff1,3_months_rate_acf1_diff2,3_months_rate_sumsq_acf_diff2,6_months_rate_acf1_diff1,6_months_rate_sumsq_acf_diff1,6_months_rate_acf1_diff2,6_months_rate_sumsq_acf_diff2,CPI_acf1_diff1,CPI_sumsq_acf_diff1,CPI_acf1_diff2,CPI_sumsq_acf_diff2,INDPRO_acf1_diff1,INDPRO_sumsq_acf_diff1,INDPRO_acf1_diff2,INDPRO_sumsq_acf_diff2,10_year_rate_acf1_diff1,10_year_rate_sumsq_acf_diff1,10_year_rate_acf1_diff2,10_year_rate_sumsq_acf_diff2,share_price_acf1_diff1,share_price_sumsq_acf_diff1,share_price_acf1_diff2,share_price_sumsq_acf_diff2,unemployment_rate_acf1_diff1,unemployment_rate_sumsq_acf_diff1,unemployment_rate_acf1_diff2,unemployment_rate_sumsq_acf_diff2,PPI_acf1_diff1,PPI_sumsq_acf_diff1,PPI_acf1_diff2,PPI_sumsq_acf_diff2,OECD_CLI_index_acf1_diff1,OECD_CLI_index_sumsq_acf_diff1,OECD_CLI_index_acf1_diff2,OECD_CLI_index_sumsq_acf_diff2,CSI_index_acf1_diff1,CSI_index_sumsq_acf_diff1,CSI_index_acf1_diff2,CSI_index_sumsq_acf_diff2,gdp_per_capita_acf1_diff1,gdp_per_capita_sumsq_acf_diff1,gdp_per_capita_acf1_diff2,gdp_per_capita_sumsq_acf_diff2,seasonally_adjusted_INDPRO,seasonally_adjusted_CPI,seasonally_adjusted_unemployment_rate,seasonally_adjusted_PPI,1_year_rate_acf1_original,1_year_rate_sumsq_acf_original,1_year_rate_acf1_diff1,1_year_rate_sumsq_acf_diff1,1_year_rate_acf1_diff2,1_year_rate_sumsq_acf_diff2,1_year_rate_acf_seasonal,3_months_rate_acf1_original,3_months_rate_sumsq_acf_original,3_months_rate_acf1_diff1,3_months_rate_sumsq_acf_diff1,3_months_rate_acf1_diff2,3_months_rate_sumsq_acf_diff2,3_months_rate_acf_seasonal,6_months_rate_acf1_original,6_months_rate_sumsq_acf_original,6_months_rate_acf1_diff1,6_months_rate_sumsq_acf_diff1,6_months_rate_acf1_diff2,6_months_rate_sumsq_acf_diff2,6_months_rate_acf_seasonal,CPI_acf1_original,CPI_sumsq_acf_original,CPI_acf1_diff1,CPI_sumsq_acf_diff1,CPI_acf1_diff2,CPI_sumsq_acf_diff2,CPI_acf_seasonal,INDPRO_acf1_original,INDPRO_sumsq_acf_original,INDPRO_acf1_diff1,INDPRO_sumsq_acf_diff1,INDPRO_acf1_diff2,INDPRO_sumsq_acf_diff2,INDPRO_acf_seasonal,10_year_rate_acf1_original,10_year_rate_sumsq_acf_original,10_year_rate_acf1_diff1,10_year_rate_sumsq_acf_diff1,10_year_rate_acf1_diff2,10_year_rate_sumsq_acf_diff2,10_year_rate_acf_seasonal
1967-02-01,3.8,33.0,34.765,24586.666666666668,4.5744444444444445,4.561111111111111,4.590555555555556,4.63,1.700457068465636,3.8,27.2,98.5902660588199,94.1,1,2,24586.666666666668,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.426636977581694,32.90752857225821,3.825414093492156,27.13757358214064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-03-01,3.8,33.0,34.5691,24571.33333333333,4.185,4.259090909090909,4.221818181818182,4.54,1.7305958455220276,3.8,27.2,98.60635753598852,94.1,1,3,24571.33333333333,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.47748172173062,32.97641251003262,3.847483077933406,27.163608829386163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-04-01,3.8,33.1,34.8951,24556.0,3.8985,3.8375,3.8945,4.59,1.7525168711187689,3.8,27.2,98.745386504646,94.1,2,4,24556.0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.724515827500106,33.08270905186457,3.921684621187661,27.175457235960103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-05-01,3.8,33.1,34.5907,24610.33333333333,3.885,3.603181818181818,3.799545454545455,4.85,1.7781008944592729,3.8,27.2,98.99399671532292,95.9,2,5,24610.33333333333,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.611585087391944,33.18234751503314,3.907702614834156,27.15451456440181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-06-01,3.9,33.3,34.5863,24664.666666666668,4.164545454545455,3.535909090909091,3.889545454545454,5.02,1.7673332150475274,3.9,27.2,99.3047939994294,95.9,2,6,24664.666666666668,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.80157303937745,33.30439345535427,3.827050168710964,27.153170595638368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-07-01,3.8,33.4,34.5076,24719.0,4.8955,4.2055,4.7205,5.16,1.7939106852107063,3.8,27.2,99.63794008953458,95.9,3,7,24719.0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.92417842748225,33.38047378536851,3.779548193328168,27.127891237311506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-08-01,3.8,33.5,35.1687,24758.0,5.045217391304348,4.265652173913043,4.828695652173913,5.28,1.8122613063890056,3.8,27.2,99.9591982955933,97.0,3,8,24758.0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.28224682810728,33.51088616832725,3.834871376437453,27.18604093635183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-09-01,3.8,33.6,35.1116,24797.0,5.103,4.4245,4.961,5.3,1.829729207855142,3.8,27.2,100.235898297179,97.0,3,9,24797.0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.351375603621925,33.635495296549806,3.873237494079614,27.1699503187474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-10-01,4.0,33.7,35.3976,24836.0,5.222857142857143,4.557619047619047,5.07,5.48,1.8275205752688668,4.0,27.2,100.455932228813,97.0,4,10,24836.0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5968617584047,33.72291603447942,3.765037502516328,27.17593529824116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-11-01,3.9,33.9,35.9038,24986.666666666668,5.387,4.727,5.2490000000000006,5.75,1.7876648195723488,3.9,27.2,100.614888171617,92.9,4,11,24986.666666666668,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.78227857230043,33.88350368787004,3.8119667473637175,27.22641797883192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
