level_0,level_1,correlation
CPI,seasonally_adjusted_CPI,0.9999939875447977
INDPRO,seasonally_adjusted_INDPRO,0.9999537988495358
CPI,CPI_trend,0.9999389767700692
seasonally_adjusted_CPI,CPI_trend,0.9999342425235374
PPI,seasonally_adjusted_PPI,0.9992279582583012
INDPRO,INDPRO_trend,0.9985913022510764
seasonally_adjusted_INDPRO,INDPRO_trend,0.9985902222002466
3_months_rate,6_months_rate,0.9982453998255806
unemployment_rate,seasonally_adjusted_unemployment_rate,0.9980086658885604
1_year_rate,6_months_rate,0.9977484258262272
Year,CPI_trend,0.9958817399348564
CPI,Year,0.9955951931717397
Year,seasonally_adjusted_CPI,0.9955867256123452
PPI,PPI_trend,0.9949908382069145
PPI_trend,seasonally_adjusted_PPI,0.994311821596372
Year,gdp_per_capita,0.9938851329865561
gdp_per_capita,CPI_trend,0.9928979690692246
1_year_rate,3_months_rate,0.9927830463375779
gdp_per_capita,seasonally_adjusted_CPI,0.9927192951196632
CPI,gdp_per_capita,0.9927162646609249
share_price,gdp_per_capita,0.9878013786751926
share_price,INDPRO_trend,0.9833028169802259
INDPRO,share_price,0.9821567455546811
share_price,seasonally_adjusted_INDPRO,0.9821262127556087
share_price,Year,0.9802904640685743
gdp_per_capita,INDPRO_trend,0.9777846166963235
share_price,CPI_trend,0.9774496606030559
CPI,share_price,0.9771368531142721
share_price,seasonally_adjusted_CPI,0.9771283424438485
INDPRO,gdp_per_capita,0.9760696220739249
gdp_per_capita,seasonally_adjusted_INDPRO,0.9760530896710324
Year,INDPRO_trend,0.9716962754490113
Quarter_Number,Month_Number,0.9716429071314489
INDPRO,Year,0.9680901230215198
Year,seasonally_adjusted_INDPRO,0.9680614860099722
CPI_trend,INDPRO_trend,0.9595731075435233
seasonally_adjusted_CPI,INDPRO_trend,0.9593759634543741
CPI,INDPRO_trend,0.9593660937935857
INDPRO,CPI_trend,0.9565517988449999
seasonally_adjusted_INDPRO,CPI_trend,0.9565475866725451
INDPRO,seasonally_adjusted_CPI,0.9565287389802318
CPI,INDPRO,0.9565217434335992
seasonally_adjusted_INDPRO,seasonally_adjusted_CPI,0.9565159419509673
CPI,seasonally_adjusted_INDPRO,0.9565147301479008
1_year_rate,10_year_rate,0.9467774624535341
CPI,PPI_trend,0.9331508464384417
seasonally_adjusted_CPI,PPI_trend,0.9331349981604294
CPI_trend,PPI_trend,0.932361335819854
6_months_rate,10_year_rate,0.9283844237204192
anomaly_1_year_rate,anomaly_6_months_rate,0.9282902476604059
unemployment_rate,unemployment_rate_trend,0.9246493467267496
3_months_rate,10_year_rate,0.919380432595248
seasonally_adjusted_unemployment_rate,unemployment_rate_trend,0.9192573932580168
CPI,PPI,0.9189193111145015
PPI,seasonally_adjusted_CPI,0.9189171111900739
gdp_per_capita,PPI_trend,0.9186558055082499
CPI,seasonally_adjusted_PPI,0.9183369083779452
seasonally_adjusted_CPI,seasonally_adjusted_PPI,0.918333653586026
PPI,CPI_trend,0.9176606480556027
CPI_trend,seasonally_adjusted_PPI,0.917058093180128
Year,PPI_trend,0.914994231913925
recession_probability,1_month_recession_probability,0.9090789757147121
PPI,gdp_per_capita,0.9050421434732026
gdp_per_capita,seasonally_adjusted_PPI,0.9046033676855237
PPI,Year,0.9000833639866881
