date,recession_probability,1_month_recession_probability,3_month_recession_probability,6_month_recession_probability,1_year_rate,3_months_rate,6_months_rate,CPI,INDPRO,10_year_rate,share_price,unemployment_rate,PPI,OECD_CLI_index,CSI_index,Year,Quarter_Number,Month_Number,gdp_per_capita,seasonally_adjusted_INDPRO,seasonally_adjusted_CPI,seasonally_adjusted_unemployment_rate,anomaly_INDPRO,anomaly_CPI,anomaly_unemployment_rate,anomaly_PPI,anomaly_share_price,anomaly_1_year_rate,anomaly_3_months_rate,anomaly_6_months_rate,anomaly_10_year_rate,CPI_trend,INDPRO_trend,unemployment_rate_trend,PPI_trend,seasonally_adjusted_PPI,1_year_rate_acf1_original,1_year_rate_sumsq_acf_original,1_year_rate_acf1_diff1,1_year_rate_sumsq_acf_diff1,1_year_rate_acf1_diff2,1_year_rate_sumsq_acf_diff2,1_year_rate_acf_seasonal,3_months_rate_acf1_original,3_months_rate_sumsq_acf_original,3_months_rate_acf1_diff1,3_months_rate_sumsq_acf_diff1,3_months_rate_acf1_diff2,3_months_rate_sumsq_acf_diff2,3_months_rate_acf_seasonal,6_months_rate_acf1_original,6_months_rate_sumsq_acf_original,6_months_rate_acf1_diff1,6_months_rate_sumsq_acf_diff1,6_months_rate_acf1_diff2,6_months_rate_sumsq_acf_diff2,6_months_rate_acf_seasonal,CPI_acf1_original,CPI_sumsq_acf_original,CPI_acf1_diff1,CPI_sumsq_acf_diff1,CPI_acf1_diff2,CPI_sumsq_acf_diff2,CPI_acf_seasonal,INDPRO_acf1_original,INDPRO_sumsq_acf_original,INDPRO_acf1_diff1,INDPRO_sumsq_acf_diff1,INDPRO_acf1_diff2,INDPRO_sumsq_acf_diff2,INDPRO_acf_seasonal,10_year_rate_acf1_original,10_year_rate_sumsq_acf_original,10_year_rate_acf1_diff1,10_year_rate_sumsq_acf_diff1,10_year_rate_acf1_diff2,10_year_rate_sumsq_acf_diff2,10_year_rate_acf_seasonal,share_price_acf1_original,share_price_sumsq_acf_original,share_price_acf1_diff1,share_price_sumsq_acf_diff1,share_price_acf1_diff2,share_price_sumsq_acf_diff2,share_price_acf_seasonal,unemployment_rate_acf1_original,unemployment_rate_sumsq_acf_original,unemployment_rate_acf1_diff1,unemployment_rate_sumsq_acf_diff1,unemployment_rate_acf1_diff2,unemployment_rate_sumsq_acf_diff2,unemployment_rate_acf_seasonal,PPI_acf1_original,PPI_sumsq_acf_original,PPI_acf1_diff1,PPI_sumsq_acf_diff1,PPI_acf1_diff2,PPI_sumsq_acf_diff2,PPI_acf_seasonal,OECD_CLI_index_acf1_original,OECD_CLI_index_sumsq_acf_original,OECD_CLI_index_acf1_diff1,OECD_CLI_index_sumsq_acf_diff1,OECD_CLI_index_acf1_diff2,OECD_CLI_index_sumsq_acf_diff2,OECD_CLI_index_acf_seasonal,CSI_index_acf1_original,CSI_index_sumsq_acf_original,CSI_index_acf1_diff1,CSI_index_sumsq_acf_diff1,CSI_index_acf1_diff2,CSI_index_sumsq_acf_diff2,CSI_index_acf_seasonal,gdp_per_capita_acf1_original,gdp_per_capita_sumsq_acf_original,gdp_per_capita_acf1_diff1,gdp_per_capita_sumsq_acf_diff1,gdp_per_capita_acf1_diff2,gdp_per_capita_sumsq_acf_diff2,gdp_per_capita_acf_seasonal
1967-02-01,,,,0.0,4.5744444444444445,4.561111111111111,4.590555555555556,33.0,34.765,4.63,1.700457068465636,3.8,27.2,98.5902660588199,94.1,1967,1,2,24586.666666666668,34.426636977581694,32.90752857225821,3.825414093492156,0,0,0,0,0,0,0,0,0,32.86153179372854,34.28299293695746,3.903097941513282,27.062241408745624,27.13757358214064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-03-01,,,0.8,0.26,4.185,4.259090909090909,4.221818181818182,33.0,34.5691,4.54,1.7305958455220276,3.8,27.2,98.60635753598852,94.1,1967,1,3,24571.33333333333,34.47748172173062,32.97641251003262,3.847483077933406,0,0,0,0,0,0,0,0,0,32.97060144920332,34.44054741316471,3.889222157816158,27.086381091606807,27.163608829386163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-04-01,,,0.5,0.08,3.8985,3.8375,3.8945,33.1,34.8951,4.59,1.7525168711187689,3.8,27.2,98.745386504646,94.1,1967,2,4,24556.0,34.724515827500106,33.08270905186457,3.921684621187661,0,0,0,0,0,0,0,0,0,33.080240442793794,34.59937162384203,3.875038025366911,27.111420953916557,27.175457235960103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-05-01,,0.8,0.0,0.0,3.885,3.603181818181818,3.799545454545455,33.1,34.5907,4.85,1.7781008944592729,3.8,27.2,98.99399671532292,95.9,1967,2,5,24610.33333333333,34.611585087391944,33.18234751503314,3.907702614834156,0,0,0,0,0,0,0,0,0,33.19044689092473,34.75937372620284,3.860574195033584,27.13738719780936,27.15451456440181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-06-01,0.8,0.5,0.26,0.0,4.164545454545455,3.535909090909091,3.889545454545454,33.3,34.5863,5.02,1.7673332150475274,3.9,27.2,99.3047939994294,95.9,1967,2,6,24664.666666666668,34.80157303937745,33.30439345535427,3.827050168710964,0,0,0,0,0,0,0,0,0,33.30121845844332,34.92039520452196,3.845838782705669,27.16425863741097,27.153170595638368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-07-01,0.5,0.0,0.08,1.54,4.8955,4.2055,4.7205,33.4,34.5076,5.16,1.7939106852107063,3.8,27.2,99.63794008953458,95.9,1967,3,7,24719.0,34.92417842748225,33.38047378536851,3.779548193328168,0,0,0,0,0,0,0,0,0,33.41255679770104,35.0823188058044,3.830812438493125,27.19198270413876,27.127891237311506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-08-01,0.0,0.26,0.0,0.02,5.045217391304348,4.265652173913043,4.828695652173913,33.5,35.1687,5.28,1.8122613063890056,3.8,27.2,99.9591982955933,97.0,1967,3,8,24758.0,35.28224682810728,33.51088616832725,3.834871376437453,0,0,0,0,0,0,0,0,0,33.52446829871041,35.245113368503894,3.815477108092305,27.22048872270484,27.18604093635183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-09-01,0.26,0.08,0.0,0.04,5.103,4.4245,4.961,33.6,35.1116,5.3,1.829729207855142,3.8,27.2,100.235898297179,97.0,1967,3,9,24797.0,35.351375603621925,33.635495296549806,3.873237494079614,0,0,0,0,0,0,0,0,0,33.63697884708239,35.40886857571939,3.7998340731090936,27.249700520468224,27.1699503187474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-10-01,0.08,0.0,1.54,0.02,5.222857142857143,4.557619047619047,5.07,33.7,35.3976,5.48,1.8275205752688668,4.0,27.2,100.455932228813,97.0,1967,4,10,24836.0,35.5968617584047,33.72291603447942,3.765037502516328,0,0,0,0,0,0,0,0,0,33.75013507441181,35.57378755453542,3.7838775116232832,27.279516795777926,27.17593529824116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-11-01,0.0,0.0,0.02,0.0,5.387,4.727,5.2490000000000006,33.9,35.9038,5.75,1.7876648195723488,3.9,27.2,100.614888171617,92.9,1967,4,11,24986.666666666668,35.78227857230043,33.88350368787004,3.8119667473637175,0,0,0,0,0,0,0,0,0,33.86400889227683,35.740316654024554,3.767556118323802,27.30981799465705,27.22641797883192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
