date,recession_probability,1_month_recession_probability,3_month_recession_probability,6_month_recession_probability,1_year_rate,3_months_rate,6_months_rate,CPI,INDPRO,10_year_rate,share_price,unemployment_rate,PPI,OECD_CLI_index,CSI_index,Business_Quarter,Month,Country,gdp_per_capita
1967-02-01,,,,0.0,4.5744444444444445,4.561111111111111,4.590555555555556,33.0,34.765,4.63,4.733288,3.8,27.2,98.5902660588199,94.1,Q1,February,USA,24586.666666666668
1967-03-01,,,0.8,0.26,4.185,4.259090909090909,4.221818181818182,33.0,34.5691,4.54,4.854181,3.8,27.2,98.60635753598852,94.1,Q1,March,USA,24571.33333333333
1967-04-01,,,0.5,0.08,3.8985,3.8375,3.8945,33.1,34.8951,4.59,4.943822,3.8,27.2,98.745386504646,94.1,Q2,April,USA,24556.0
1967-05-01,,0.8,0.0,0.0,3.885,3.603181818181818,3.799545454545455,33.1,34.5907,4.85,5.050294999999999,3.8,27.2,98.99399671532292,95.9,Q2,May,USA,24610.33333333333
1967-06-01,0.8,0.5,0.26,0.0,4.164545454545455,3.535909090909091,3.889545454545454,33.3,34.5863,5.02,5.005237999999999,3.9,27.2,99.3047939994294,95.9,Q2,June,USA,24664.666666666668
1967-07-01,0.5,0.0,0.08,1.54,4.8955,4.2055,4.7205,33.4,34.5076,5.16,5.117102,3.8,27.2,99.63794008953458,95.9,Q3,July,USA,24719.0
1967-08-01,0.0,0.26,0.0,0.02,5.045217391304348,4.265652173913043,4.828695652173913,33.5,35.1687,5.28,5.195627,3.8,27.2,99.9591982955933,97.0,Q3,August,USA,24758.0
1967-09-01,0.26,0.08,0.0,0.04,5.103,4.4245,4.961,33.6,35.1116,5.3,5.271365,3.8,27.2,100.235898297179,97.0,Q3,September,USA,24797.0
1967-10-01,0.08,0.0,1.54,0.02,5.222857142857143,4.557619047619047,5.07,33.7,35.3976,5.48,5.261735,4.0,27.2,100.455932228813,97.0,Q4,October,USA,24836.0
1967-11-01,0.0,0.0,0.02,0.0,5.387,4.727,5.2490000000000006,33.9,35.9038,5.75,5.090616000000001,3.9,27.2,100.614888171617,92.9,Q4,November,USA,24986.666666666668
1967-12-01,0.0,1.54,0.04,0.0,5.5915,4.968999999999999,5.492,34.0,36.2905,5.7,5.254071,3.8,27.2,100.714201421608,92.9,Q4,December,USA,25137.33333333333
1968-01-01,1.54,0.02,0.02,0.0,5.297272727272728,4.995909090909091,5.235454545454545,34.1,36.2514,5.53,5.271944,3.7,27.3,100.750372235043,97.2,Q1,January,USA,25288.0
1968-02-01,0.02,0.04,0.0,0.14,5.243684210526316,4.978947368421053,5.16842105263158,34.2,36.3813,5.56,5.018927,3.8,27.3,100.754116310741,97.2,Q1,February,USA,25409.33333333333
1968-03-01,0.04,0.02,0.0,0.0,5.416190476190476,5.1657142857142855,5.331428571428571,34.3,36.4949,5.74,4.899619,3.7,27.3,100.746450889828,97.2,Q1,March,USA,25530.666666666668
1968-04-01,0.02,0.0,0.0,0.0,5.4725,5.377000000000001,5.4895000000000005,34.4,36.5477,5.64,5.271408,3.5,27.3,100.739582986566,97.2,Q2,April,USA,25652.0
1968-05-01,0.0,0.0,0.14,0.0,5.842727272727273,5.655909090909091,5.834090909090909,34.5,36.9577,5.87,5.432116000000001,3.5,27.7,100.741587322869,92.4,Q2,May,USA,25695.0
1968-06-01,0.0,0.0,0.0,0.06,5.6770000000000005,5.5235,5.638,34.7,37.0934,5.72,5.608871,3.7,27.8,100.766466224131,92.4,Q2,June,USA,25738.0
1968-07-01,0.0,0.14,0.0,0.04,5.3940909090909095,5.313181818181818,5.407272727272727,34.9,37.0366,5.5,5.586795,3.7,27.9,100.828044993566,92.4,Q3,July,USA,25781.0
1968-08-01,0.14,0.0,0.0,0.0,5.149090909090909,5.086818181818182,5.231363636363636,35.0,37.1399,5.42,5.450272,3.5,27.9,100.937993934745,92.4,Q3,August,USA,25791.666666666668
1968-09-01,0.0,0.0,0.06,0.02,5.182,5.194,5.254,35.1,37.2806,5.46,5.625068,3.4,28.0,101.09627493651,92.4,Q3,September,USA,25802.33333333333
1968-10-01,0.0,0.0,0.04,0.18,5.328260869565217,5.351304347826087,5.410434782608696,35.3,37.3546,5.58,5.775299,3.4,28.0,101.253891611791,92.4,Q4,October,USA,25813.0
1968-11-01,0.0,0.06,0.0,0.1,5.511666666666667,5.451666666666666,5.595,35.4,37.8378,5.7,5.886394,3.4,28.0,101.352918948343,91.7,Q4,November,USA,25929.33333333333
1968-12-01,0.06,0.04,0.02,0.08,5.972857142857142,5.956190476190476,6.055714285714286,35.6,37.9573,6.03,5.973374,3.4,28.0,101.372923392385,91.7,Q4,December,USA,26045.666666666668
1969-01-01,0.04,0.0,0.18,0.14,6.069090909090909,6.140000000000001,6.282272727272727,35.7,38.1869,6.04,5.725548000000001,3.4,28.0,101.31872133176,98.2,Q1,January,USA,26162.0
1969-02-01,0.0,0.02,0.1,0.28,6.214210526315789,6.121052631578947,6.299473684210526,35.8,38.4313,6.19,5.677547,3.4,28.2,101.198714845094,98.2,Q1,February,USA,26168.33333333333
1969-03-01,0.02,0.18,0.08,4.14,6.1975,6.0165,6.164,36.1,38.7326,6.3,5.514977,3.4,28.2,101.02268363425,98.2,Q1,March,USA,26174.666666666668
1969-04-01,0.18,0.1,0.14,6.96,6.0390476190476186,6.1138095238095245,6.13,36.3,38.5901,6.17,5.605755,3.4,28.6,100.792073041778,98.2,Q2,April,USA,26181.0
1969-05-01,0.1,0.08,0.28,36.56,6.1138095238095245,6.042380952380952,6.153809523809524,36.4,38.4443,6.32,5.793253,3.4,28.6,100.512227364257,91.5,Q2,May,USA,26214.33333333333
1969-06-01,0.08,0.14,4.14,40.22,6.880476190476191,6.439047619047619,6.752857142857143,36.6,38.8198,6.57,5.466130000000001,3.5,28.6,100.228576027395,91.5,Q2,June,USA,26247.666666666668
1969-07-01,0.14,0.28,6.96,50.0,7.187142857142858,7.00047619047619,7.244761904761904,36.8,39.0248,6.72,5.189364,3.5,28.9,99.97712316321171,91.5,Q3,July,USA,26281.0
1969-08-01,0.28,4.14,36.56,39.6,7.275238095238096,6.9819047619047625,7.193809523809524,36.9,39.1145,6.69,5.158938,3.5,28.9,99.76734275091673,86.4,Q3,August,USA,26212.666666666668
1969-09-01,4.14,6.96,40.22,40.06,7.351904761904761,7.089999999999999,7.318095238095238,37.1,39.1057,7.16,5.185778,3.7,29.1,99.57605701679672,86.4,Q3,September,USA,26144.33333333333
1969-10-01,6.96,36.56,50.0,42.32,7.206818181818182,6.998636363636364,7.286363636363637,37.3,39.1171,7.1,5.275016,3.7,29.5,99.3680973878311,86.4,Q4,October,USA,26076.0
1969-11-01,36.56,40.22,39.6,39.4,7.356470588235294,7.241176470588235,7.621176470588235,37.5,38.7484,7.14,5.332546,3.5,29.4,99.1237662052853,79.7,Q4,November,USA,26041.666666666668
1969-12-01,40.22,50.0,40.06,37.62,7.614545454545455,7.8172727272727265,7.895909090909091,37.7,38.6444,7.65,5.038553,3.5,29.4,98.8389754002542,79.7,Q4,December,USA,26007.33333333333
1970-01-01,50.0,39.6,42.32,38.38,7.513333333333334,7.868095238095238,7.776666666666666,37.9,37.9288,7.79,5.003093,3.9,29.4,98.52233904583592,78.1,Q1,January,USA,25973.0
1970-02-01,39.6,40.06,39.4,56.12,7.050555555555556,7.127777777777778,7.215,38.1,37.9038,7.24,4.828743,4.2,29.4,98.2087014845852,78.1,Q1,February,USA,25958.33333333333
1970-03-01,40.06,42.32,37.62,75.94,6.504285714285714,6.626190476190477,6.579047619047619,38.3,37.8546,7.07,4.897915,4.4,29.4,97.9285557199139,78.1,Q1,March,USA,25943.666666666668
1970-04-01,42.32,39.4,38.38,86.34,6.526363636363637,6.512727272727273,6.6031818181818185,38.5,37.7573,7.39,4.705036,4.6,29.7,97.7083824996513,78.1,Q2,April,USA,25929.0
1970-05-01,39.4,37.62,56.12,32.38,7.119523809523809,6.838095238095238,7.02,38.6,37.7133,7.91,4.124212,4.8,30.6,97.577528833252,75.4,Q2,May,USA,25979.0
1970-06-01,37.62,38.38,75.94,0.0,7.068181818181818,6.676363636363636,6.8568181818181815,38.8,37.5913,7.84,4.087809,4.9,30.7,97.5275333197072,75.4,Q2,June,USA,26029.0
1970-07-01,38.38,56.12,86.34,0.1,6.619999999999999,6.45,6.512272727272728,38.9,37.6836,7.46,4.074982,5.0,30.8,97.5288677415917,75.4,Q3,July,USA,26079.0
1970-08-01,56.12,75.94,32.38,1.38,6.548571428571429,6.410952380952381,6.554285714285713,39.0,37.6164,7.53,4.186646,5.1,30.8,97.5727039118688,77.6,Q3,August,USA,25956.0
1970-09-01,75.94,86.34,0.0,0.36,6.39047619047619,6.124761904761905,6.460952380952381,39.2,37.3571,7.39,4.466088,5.4,30.8,97.67742761361478,77.6,Q3,September,USA,25833.0
1970-10-01,86.34,32.38,0.1,0.0,6.229047619047619,5.906666666666667,6.206190476190477,39.4,36.6098,7.33,4.560902,5.5,30.8,97.8756897774861,77.6,Q4,October,USA,25710.0
1970-11-01,32.38,0.0,1.38,0.04,5.394444444444444,5.282222222222222,5.415555555555556,39.6,36.3881,6.84,4.539128,5.9,30.8,98.20584328460708,72.4,Q4,November,USA,25916.0
1970-12-01,0.0,0.1,0.36,0.2,4.844090909090909,4.865454545454546,4.89,39.8,37.2237,6.39,4.852874,6.1,30.8,98.6592925643544,72.4,Q4,December,USA,26122.0
1971-01-01,0.1,1.38,0.0,0.4,4.3950000000000005,4.4350000000000005,4.468999999999999,39.9,37.5101,6.24,5.0791900000000005,5.9,30.8,99.15310829654942,78.1,Q1,January,USA,26328.0
1971-02-01,1.38,0.36,0.04,0.16,3.836111111111111,3.695,3.777222222222222,39.9,37.4386,6.11,5.290019999999999,5.9,31.3,99.5942124689797,78.1,Q1,February,USA,26350.0
1971-03-01,0.36,0.0,0.2,0.0,3.6030434782608696,3.3773913043478263,3.500869565217392,40.0,37.398,5.7,5.436094000000001,6.0,31.3,99.9238446041691,78.1,Q1,March,USA,26372.0
1971-04-01,0.0,0.04,0.4,0.0,4.090476190476191,3.861428571428572,4.028095238095238,40.1,37.608,5.83,5.625946,5.9,31.7,100.138399483965,78.1,Q2,April,USA,26394.0
1971-05-01,0.04,0.2,0.16,0.0,4.643,4.143,4.355,40.3,37.7989,6.39,5.5455190000000005,5.9,32.6,100.248532518699,80.2,Q2,May,USA,26439.0
1971-06-01,0.2,0.4,0.0,0.0,5.329090909090909,4.753636363636364,4.967272727272728,40.5,37.9574,6.52,5.452541,5.9,32.7,100.286990981381,80.2,Q2,June,USA,26484.0
1971-07-01,0.4,0.16,0.0,0.0,5.741904761904761,5.400476190476191,5.630952380952381,40.6,37.8472,6.73,5.42943,6.0,32.9,100.295454660474,80.2,Q3,July,USA,26529.0
1971-08-01,0.16,0.0,0.0,0.0,5.52,4.9354545454545455,5.222727272727273,40.7,37.6276,6.58,5.321332,6.1,35.0,100.318719617579,82.1,Q3,August,USA,26522.666666666668
1971-09-01,0.0,0.0,0.0,0.0,5.190952380952381,4.690952380952381,4.973333333333334,40.8,38.2391,6.14,5.441507,6.0,35.0,100.403207265645,82.1,Q3,September,USA,26516.33333333333
1971-10-01,0.0,0.0,0.0,0.0,4.750526315789474,4.4605263157894735,4.597894736842105,40.9,38.5253,5.93,5.324319,5.8,35.0,100.582960222643,82.1,Q4,October,USA,26510.0
1971-11-01,0.0,0.0,0.0,0.02,4.4865,4.217499999999999,4.38,41.0,38.6888,5.81,5.0672120000000005,6.0,35.0,100.871726676165,82.0,Q4,November,USA,26650.666666666668
1971-12-01,0.0,0.0,0.0,0.06,4.394545454545455,4.009545454545454,4.234545454545454,41.1,39.1355,5.93,5.422477,6.0,35.0,101.250450357621,82.0,Q4,December,USA,26791.33333333333
