date,recession_probability,1_month_recession_probability,3_month_recession_probability,6_month_recession_probability,1_year_rate,3_months_rate,6_months_rate,CPI,INDPRO,10_year_rate,share_price,unemployment_rate,PPI,OECD_CLI_index,CSI_index,Business_Quarter,Month,Country
1967-06-01,4.1375407439756735,3.4270596186826703,1.9866735689304322,-0.8460083657910886,0.08290613525742295,-0.11307754878495714,-0.027687743224263088,-1.7403502306324683,-1.8118855833558645,-0.23098265930721587,-1.0460255004426129,-1.3513980361659095,-1.2137700565215463,-0.9956276679134115,0.7874031633654404,Q2,June,USA
1967-08-01,-0.6470851923290872,1.4123667067091792,-0.8372953738787263,-0.6208511895296152,0.41295306064930226,0.1692953319124079,0.33052142893584935,-1.737618565837668,-1.7856826625095972,-0.13507792739961377,-1.0416669855715177,-1.4112343736068396,-1.2137700565215463,-0.3095495472110665,0.889263635349919,Q3,August,USA
1967-09-01,0.9079182369699601,-0.09865297727093927,-0.8372953738787263,-0.3956940132681418,0.4346080851199447,0.23076123585773534,0.3809847425012856,-1.7362527334402678,-1.7882516645362485,-0.12770064032979841,-1.0399331396071658,-1.4112343736068396,-1.2137700565215463,-0.019456987918460282,0.889263635349919,Q3,September,USA
1967-11-01,-0.6470851923290872,-0.770217281262103,-0.6200669936626372,-0.8460083657910886,0.5410419600952928,0.34781311123740283,0.4908332436703454,-1.7321552362480672,-1.7526095733713916,0.038288318741050965,-1.0440709690218672,-1.3513980361659095,-1.2137700565215463,0.3778763767062059,0.5096018761350427,Q4,November,USA
1968-02-01,-0.5274695439214682,-0.43443512926652117,-0.8372953738787263,0.7300918680392252,0.4873319079162952,0.4453037293222166,0.46009894994047906,-1.728057739055867,-1.731126237684419,-0.031795908422196664,-1.0457121225159973,-1.4112343736068396,-1.212966895185851,0.5238432974599725,0.9077837211652792,Q1,February,USA
1968-03-01,-0.4078538955138492,-0.602326205264312,-0.8372953738787263,-0.8460083657910886,0.5519815921140534,0.5175728794975957,0.5222730180624816,-1.7266919066584667,-1.7260152283984713,0.034599675206143286,-1.0484434026437388,-1.4710707110477694,-1.212966895185851,0.5158068624835946,0.9077837211652792,Q1,March,USA
1968-04-01,-0.5274695439214682,-0.770217281262103,-0.8372953738787263,-0.8460083657910886,0.5730845527375192,0.599329537673052,0.5825643705146469,-1.7253260742610665,-1.7236396888712,-0.002286760142934538,-1.0399321552218312,-1.5907433859296294,-1.212966895185851,0.5086065458127329,0.9077837211652792,Q2,April,USA
1968-05-01,-0.6470851923290872,-0.770217281262103,0.6833032876338977,-0.8460083657910886,0.7118335782935709,0.7072529497436213,0.7139976860706192,-1.7239602418636664,-1.7051932645117052,0.08255204115994416,-1.0362531180510708,-1.5907433859296294,-1.2097542498430696,0.5107078940038601,0.46330166159664316,Q2,May,USA
1968-06-01,-0.6470851923290872,-0.770217281262103,-0.8372953738787263,-0.17053683700666847,0.6497244380630782,0.6560174707081635,0.6392050039299432,-1.7212285770688662,-1.6990879479615018,0.027222388136327588,-1.0322067220090703,-1.4710707110477694,-1.208951088507374,0.5367909590494737,0.46330166159664316,Q2,June,USA
1968-07-01,-0.6470851923290872,0.40502025072243364,-0.8372953738787263,-0.3956940132681418,0.5436993999954458,0.574635197623006,0.5512013751524578,-1.7184969122740659,-1.701643452604476,-0.0539277696316431,-1.032712100861285,-1.4710707110477694,-1.2081479271716788,0.6013502027109006,0.46330166159664316,Q3,July,USA
1968-08-01,0.190224346524246,-0.770217281262103,-0.8372953738787263,-0.8460083657910886,0.4518814444709377,0.4870441624027592,0.48410640994976517,-1.7171310798766657,-1.6969958534914618,-0.08343691791090523,-1.0358374785130744,-1.5907433859296294,-1.2081479271716788,0.7166207829615056,0.46330166159664316,Q3,August,USA
1968-09-01,-0.6470851923290872,-0.770217281262103,-0.18561023323045903,-0.6208511895296152,0.46421469118703124,0.5285179899227075,0.49274033570453013,-1.7157652474792657,-1.6906655805466304,-0.06868234377127416,-1.0318359292355008,-1.6505797233705595,-1.2073447658359835,0.8825627440250112,0.46330166159664316,Q3,September,USA
1968-10-01,-0.6470851923290872,-0.770217281262103,-0.4028386134465481,1.1804062205621717,0.5190284626838271,0.5893866475042578,0.5524074412610334,-1.7130335826844654,-1.6873362259061364,-0.02441862135238097,-1.0283967386961341,-1.6505797233705595,-1.2073447658359835,1.0478082245361322,0.46330166159664316,Q4,October,USA
1968-11-01,-0.6470851923290872,-0.26654405326873026,-0.8372953738787263,0.2797775155162784,0.5877629333825937,0.6282216810174543,0.6228040124359515,-1.711667750287065,-1.665596439929288,0.01984510106651222,-1.0258534761672888,-1.6505797233705595,-1.2073447658359835,1.1516285835374713,0.3984813612428834,Q4,November,USA
1968-12-01,-0.28823824710623014,-0.43443512926652117,-0.6200669936626372,0.05462033925480494,0.7606019808568133,0.8234463358222677,0.798528921300147,-1.708936085492265,-1.6602199820976795,0.14157033771846841,-1.0238622706696612,-1.6505797233705595,-1.2073447658359835,1.1726012627427962,0.3984813612428834,Q4,December,USA
1969-01-01,-0.4078538955138492,-0.770217281262103,1.1177600480660757,0.7300918680392252,0.7966672366446007,0.8945711274736676,0.8849424811348441,-1.7075702530948647,-1.6498899844563624,0.1452589812533761,-1.029535672528193,-1.6505797233705595,-1.2073447658359835,1.1157757679992792,1.0003841502420783,Q1,January,USA
1969-02-01,-0.6470851923290872,-0.602326205264312,0.24884652720171932,2.306192101869539,0.851053304236795,0.8872394745573245,0.8915032427261315,-1.7062044206974647,-1.6388941158869466,0.20058863427699267,-1.0306345441664044,-1.6505797233705595,-1.2057384431645928,0.9899608469687478,1.0003841502420783,Q1,February,USA
1970-12-01,-0.6470851923290872,0.0692380987268517,3.0728154700108776,1.4055633968236454,0.3375774590220601,0.40138786892432515,0.3539040356158575,-1.6515711248014588,-1.6932255843174968,0.27436150497514766,-1.049513521073109,-0.03499861246545007,-1.1848562484365133,-1.6723720201173813,-1.3887069199393414,Q4,December,USA
