realtime_start,realtime_end,date,value
2025-07-29,2025-07-29,1967-02-01,98.5902660588199
2025-07-29,2025-07-29,1967-03-01,98.60635753598851
2025-07-29,2025-07-29,1967-04-01,98.74538650464599
2025-07-29,2025-07-29,1967-05-01,98.99399671532291
2025-07-29,2025-07-29,1967-06-01,99.30479399942939
2025-07-29,2025-07-29,1967-07-01,99.63794008953458
2025-07-29,2025-07-29,1967-08-01,99.9591982955933
2025-07-29,2025-07-29,1967-09-01,100.23589829717899
2025-07-29,2025-07-29,1967-10-01,100.455932228813
2025-07-29,2025-07-29,1967-11-01,100.614888171617
2025-07-29,2025-07-29,1967-12-01,100.71420142160801
2025-07-29,2025-07-29,1968-01-01,100.75037223504299
2025-07-29,2025-07-29,1968-02-01,100.75411631074101
2025-07-29,2025-07-29,1968-03-01,100.746450889828
2025-07-29,2025-07-29,1968-04-01,100.739582986566
2025-07-29,2025-07-29,1968-05-01,100.741587322869
2025-07-29,2025-07-29,1968-06-01,100.766466224131
2025-07-29,2025-07-29,1968-07-01,100.828044993566
2025-07-29,2025-07-29,1968-08-01,100.93799393474501
2025-07-29,2025-07-29,1968-09-01,101.09627493650999
2025-07-29,2025-07-29,1968-10-01,101.253891611791
2025-07-29,2025-07-29,1968-11-01,101.35291894834299
2025-07-29,2025-07-29,1968-12-01,101.372923392385
2025-07-29,2025-07-29,1969-01-01,101.31872133176
2025-07-29,2025-07-29,1969-02-01,101.19871484509399
2025-07-29,2025-07-29,1969-03-01,101.02268363424999
2025-07-29,2025-07-29,1969-04-01,100.792073041778
2025-07-29,2025-07-29,1969-05-01,100.51222736425699
2025-07-29,2025-07-29,1969-06-01,100.22857602739501
2025-07-29,2025-07-29,1969-07-01,99.97712316321171
2025-07-29,2025-07-29,1969-08-01,99.76734275091671
2025-07-29,2025-07-29,1969-09-01,99.57605701679671
2025-07-29,2025-07-29,1969-10-01,99.3680973878311
2025-07-29,2025-07-29,1969-11-01,99.1237662052853
2025-07-29,2025-07-29,1969-12-01,98.83897540025421
2025-07-29,2025-07-29,1970-01-01,98.52233904583592
2025-07-29,2025-07-29,1970-02-01,98.2087014845852
2025-07-29,2025-07-29,1970-03-01,97.9285557199139
2025-07-29,2025-07-29,1970-04-01,97.7083824996513
2025-07-29,2025-07-29,1970-05-01,97.57752883325199
2025-07-29,2025-07-29,1970-06-01,97.5275333197072
2025-07-29,2025-07-29,1970-07-01,97.5288677415917
2025-07-29,2025-07-29,1970-08-01,97.5727039118688
2025-07-29,2025-07-29,1970-09-01,97.67742761361478
2025-07-29,2025-07-29,1970-10-01,97.8756897774861
2025-07-29,2025-07-29,1970-11-01,98.20584328460708
2025-07-29,2025-07-29,1970-12-01,98.6592925643544
2025-07-29,2025-07-29,1971-01-01,99.15310829654942
2025-07-29,2025-07-29,1971-02-01,99.5942124689797
2025-07-29,2025-07-29,1971-03-01,99.9238446041691
2025-07-29,2025-07-29,1971-04-01,100.138399483965
2025-07-29,2025-07-29,1971-05-01,100.248532518699
2025-07-29,2025-07-29,1971-06-01,100.286990981381
2025-07-29,2025-07-29,1971-07-01,100.295454660474
2025-07-29,2025-07-29,1971-08-01,100.318719617579
2025-07-29,2025-07-29,1971-09-01,100.40320726564501
2025-07-29,2025-07-29,1971-10-01,100.582960222643
2025-07-29,2025-07-29,1971-11-01,100.87172667616501
2025-07-29,2025-07-29,1971-12-01,101.250450357621
2025-07-29,2025-07-29,1972-01-01,101.647091836067
2025-07-29,2025-07-29,1972-02-01,102.001319596061
2025-07-29,2025-07-29,1972-03-01,102.278642984673
2025-07-29,2025-07-29,1972-04-01,102.482937301095
2025-07-29,2025-07-29,1972-05-01,102.639726639738
2025-07-29,2025-07-29,1972-06-01,102.778310652277
2025-07-29,2025-07-29,1972-07-01,102.935349344407
2025-07-29,2025-07-29,1972-08-01,103.134727971658
2025-07-29,2025-07-29,1972-09-01,103.355074841978
2025-07-29,2025-07-29,1972-10-01,103.56129882501499
2025-07-29,2025-07-29,1972-11-01,103.725784277483
2025-07-29,2025-07-29,1972-12-01,103.81266532024901
2025-07-29,2025-07-29,1973-01-01,103.79780017503201
2025-07-29,2025-07-29,1973-02-01,103.670857825371
2025-07-29,2025-07-29,1973-03-01,103.42900924033
2025-07-29,2025-07-29,1973-04-01,103.090305001318
2025-07-29,2025-07-29,1973-05-01,102.693357361006
2025-07-29,2025-07-29,1973-06-01,102.28615129717
2025-07-29,2025-07-29,1973-07-01,101.90729895369199
2025-07-29,2025-07-29,1973-08-01,101.579799686249
2025-07-29,2025-07-29,1973-09-01,101.318665824436
2025-07-29,2025-07-29,1973-10-01,101.107110459289
2025-07-29,2025-07-29,1973-11-01,100.8990040102
2025-07-29,2025-07-29,1973-12-01,100.67682341674102
2025-07-29,2025-07-29,1974-01-01,100.45043211321199
2025-07-29,2025-07-29,1974-02-01,100.193392521158
2025-07-29,2025-07-29,1974-03-01,99.8846994720709
2025-07-29,2025-07-29,1974-04-01,99.50722164293092
2025-07-29,2025-07-29,1974-05-01,99.06826763978559
2025-07-29,2025-07-29,1974-06-01,98.580476377593
2025-07-29,2025-07-29,1974-07-01,98.0573194346385
2025-07-29,2025-07-29,1974-08-01,97.502067679821
2025-07-29,2025-07-29,1974-09-01,96.9260604419708
2025-07-29,2025-07-29,1974-10-01,96.3840334819426
2025-07-29,2025-07-29,1974-11-01,95.9248852038738
2025-07-29,2025-07-29,1974-12-01,95.6166924219803
2025-07-29,2025-07-29,1975-01-01,95.520685847295
2025-07-29,2025-07-29,1975-02-01,95.6267065854517
2025-07-29,2025-07-29,1975-03-01,95.90268510136819
2025-07-29,2025-07-29,1975-04-01,96.3141874358922
2025-07-29,2025-07-29,1975-05-01,96.79669483822211
2025-07-29,2025-07-29,1975-06-01,97.3043090333999
2025-07-29,2025-07-29,1975-07-01,97.8060146874313
2025-07-29,2025-07-29,1975-08-01,98.2762942796113
2025-07-29,2025-07-29,1975-09-01,98.71285368718081
2025-07-29,2025-07-29,1975-10-01,99.12722726905459
2025-07-29,2025-07-29,1975-11-01,99.5324405139201
2025-07-29,2025-07-29,1975-12-01,99.9363086425029
2025-07-29,2025-07-29,1976-01-01,100.322704728373
2025-07-29,2025-07-29,1976-02-01,100.648567222021
