domain,model,method,n,coverage,mean_width,width_spread_ratio,vacuous,winkler_mean,winkler_median
healthcare,ridge,pooled_trailing,146,89.04,20.201,0.9,False,30.828,20.219
healthcare,ridge,diversity_optimal,146,89.04,20.201,0.9,False,30.828,20.219
healthcare,ridge,mondrian,146,91.78,20.823,0.92,False,25.961,17.48
healthcare,ridge,pid_conformal,146,88.36,19.765,0.88,False,31.267,19.852
healthcare,ridge,evt_tail,146,89.04,21.116,0.94,False,30.831,21.143
healthcare,ridge,dtaci,146,89.73,19.857,0.88,False,30.374,19.836
healthcare,ridge,acmcp,146,80.82,31.151,1.38,False,52.333,40.948
healthcare,ridge,bellman_ci,146,70.55,13.409,0.6,False,36.702,17.567
healthcare,ridge,errordir,146,89.04,20.138,0.89,False,29.852,20.509
climate,ridge,pooled_trailing,243,90.95,10.349,1.18,False,12.306,10.394
climate,ridge,diversity_optimal,243,94.65,11.704,1.33,False,12.822,11.667
climate,ridge,mondrian,243,91.36,11.001,1.25,False,12.88,8.92
climate,ridge,pid_conformal,243,89.71,9.812,1.12,False,12.426,9.932
climate,ridge,evt_tail,243,90.12,10.009,1.14,False,12.268,10.052
climate,ridge,dtaci,243,90.12,9.924,1.13,False,12.271,10.17
climate,ridge,acmcp,243,90.95,19.534,2.23,False,22.983,20.002
climate,ridge,bellman_ci,243,76.54,7.552,0.86,False,13.846,8.046
climate,ridge,errordir,243,91.36,9.443,1.08,False,11.215,9.5
