dataset,model,method,n,coverage,mean_width,width_spread_ratio,vacuous,winkler_mean,winkler_median
insurance,xgboost,pooled_trailing,400,88.0,3.995,0.93,False,5.198,4.146
insurance,xgboost,diversity_optimal,400,97.5,5.689,1.32,False,5.846,5.649
insurance,xgboost,mondrian,400,89.25,3.442,0.8,False,4.68,3.074
insurance,xgboost,pid_conformal,400,90.5,4.159,0.97,False,5.184,4.146
insurance,xgboost,evt_tail,400,89.25,4.204,0.98,False,5.151,4.227
insurance,xgboost,dtaci,400,89.25,4.155,0.96,False,5.145,4.185
insurance,xgboost,acmcp,400,87.5,12.58,2.92,False,14.844,13.303
insurance,xgboost,bellman_ci,400,75.25,2.856,0.66,False,6.337,3.423
insurance,xgboost,errordir,400,91.0,4.144,0.96,False,5.03,4.276
insurance,lightgbm,pooled_trailing,400,88.0,3.974,0.92,False,5.263,4.096
insurance,lightgbm,diversity_optimal,400,97.75,5.685,1.32,False,5.856,5.563
insurance,lightgbm,mondrian,400,89.0,3.503,0.81,False,4.754,3.145
insurance,lightgbm,pid_conformal,400,90.0,4.169,0.97,False,5.299,4.299
insurance,lightgbm,evt_tail,400,89.25,4.176,0.97,False,5.186,4.212
insurance,lightgbm,dtaci,400,89.0,4.1,0.95,False,5.174,4.12
insurance,lightgbm,acmcp,400,87.0,12.263,2.85,False,14.634,14.282
insurance,lightgbm,bellman_ci,400,74.5,2.849,0.66,False,6.427,3.455
insurance,lightgbm,errordir,400,91.0,4.21,0.98,False,5.086,4.377
insurance,ridge,pooled_trailing,400,87.75,3.951,0.92,False,5.283,4.02
insurance,ridge,diversity_optimal,400,98.0,5.607,1.3,False,5.807,5.503
insurance,ridge,mondrian,400,89.0,3.4,0.79,False,4.857,3.018
insurance,ridge,pid_conformal,400,90.5,4.427,1.03,False,5.281,4.695
insurance,ridge,evt_tail,400,89.0,4.173,0.97,False,5.216,4.222
insurance,ridge,dtaci,400,89.25,4.226,0.98,False,5.184,4.311
insurance,ridge,acmcp,400,87.5,12.458,2.89,False,14.697,14.822
insurance,ridge,bellman_ci,400,73.25,2.663,0.62,False,6.648,3.365
insurance,ridge,errordir,400,90.25,4.165,0.97,False,5.049,4.272
energy,xgboost,pooled_trailing,400,83.75,6.532,0.54,False,27.885,6.848
energy,xgboost,diversity_optimal,400,89.25,8.669,0.71,False,27.13,8.807
energy,xgboost,mondrian,400,68.5,3.658,0.3,False,28.632,3.121
energy,xgboost,pid_conformal,400,85.5,7.554,0.62,False,28.325,7.945
energy,xgboost,evt_tail,400,83.25,6.321,0.52,False,27.908,6.809
energy,xgboost,dtaci,400,82.0,5.539,0.45,False,27.496,5.744
energy,xgboost,acmcp,400,97.5,73.941,6.07,False,80.238,71.671
energy,xgboost,bellman_ci,400,63.5,3.133,0.26,False,33.26,3.468
energy,xgboost,errordir,400,86.25,6.381,0.52,False,26.703,6.086
energy,lightgbm,pooled_trailing,400,84.5,6.559,0.54,False,28.726,6.876
energy,lightgbm,diversity_optimal,400,88.75,9.044,0.74,False,27.679,9.265
energy,lightgbm,mondrian,400,67.5,3.727,0.31,False,29.88,3.164
energy,lightgbm,pid_conformal,400,85.0,7.704,0.63,False,29.265,8.118
energy,lightgbm,evt_tail,400,84.0,6.518,0.54,False,28.855,6.992
energy,lightgbm,dtaci,400,82.0,5.675,0.47,False,28.378,5.903
energy,lightgbm,acmcp,400,97.5,67.59,5.55,False,74.511,65.454
energy,lightgbm,bellman_ci,400,63.5,3.187,0.26,False,34.54,3.548
energy,lightgbm,errordir,400,85.5,6.568,0.54,False,27.376,6.323
energy,ridge,pooled_trailing,400,83.0,6.791,0.56,False,30.616,7.222
energy,ridge,diversity_optimal,400,89.5,10.075,0.83,False,29.314,10.501
energy,ridge,mondrian,400,73.0,4.122,0.34,False,29.96,3.505
energy,ridge,pid_conformal,400,84.0,7.59,0.62,False,30.898,7.846
energy,ridge,evt_tail,400,84.5,7.112,0.58,False,30.232,7.713
energy,ridge,dtaci,400,82.25,5.866,0.48,False,29.702,5.914
energy,ridge,acmcp,400,93.75,72.16,5.92,False,82.686,75.857
energy,ridge,bellman_ci,400,68.0,3.385,0.28,False,35.44,3.997
energy,ridge,errordir,400,86.25,7.395,0.61,False,28.775,6.974
