dataset,model,method,n,coverage,mean_width,width_spread_ratio,vacuous,winkler_mean,winkler_median
insurance,ridge,pooled_trailing,400,87.75,3.951,0.92,False,5.283,4.02
insurance,ridge,diversity_optimal,400,98.0,5.607,1.3,False,5.807,5.503
insurance,ridge,mondrian,400,89.0,3.4,0.79,False,4.857,3.018
insurance,ridge,pid_conformal,400,90.5,4.427,1.03,False,5.281,4.695
insurance,ridge,evt_tail,400,89.0,4.173,0.97,False,5.216,4.222
insurance,ridge,dtaci,400,89.25,4.226,0.98,False,5.184,4.311
insurance,ridge,acmcp,400,87.5,12.458,2.89,False,14.697,14.822
insurance,ridge,bellman_ci,400,73.25,2.663,0.62,False,6.648,3.365
insurance,ridge,errordir,400,90.25,4.165,0.97,False,5.049,4.272
energy,ridge,pooled_trailing,400,83.0,6.791,0.56,False,30.616,7.222
energy,ridge,diversity_optimal,400,89.5,10.075,0.83,False,29.314,10.501
energy,ridge,mondrian,400,73.0,4.122,0.34,False,29.96,3.505
energy,ridge,pid_conformal,400,84.0,7.59,0.62,False,30.898,7.846
energy,ridge,evt_tail,400,84.5,7.112,0.58,False,30.232,7.713
energy,ridge,dtaci,400,82.25,5.866,0.48,False,29.702,5.914
energy,ridge,acmcp,400,93.75,72.16,5.92,False,82.686,75.857
energy,ridge,bellman_ci,400,68.0,3.385,0.28,False,35.44,3.997
energy,ridge,errordir,400,86.25,7.395,0.61,False,28.775,6.974
