condition,method,n,coverage,mean_width,width_spread_ratio,vacuous,winkler_mean,winkler_median
temporal,pooled_trailing,600,88.33,60.575,0.2,False,118.132,57.078
temporal,diversity_optimal,600,92.67,82.71,0.27,False,123.56,82.062
temporal,mondrian,600,86.17,55.933,0.18,False,114.426,50.055
temporal,pid_conformal,600,89.0,69.882,0.23,False,118.039,71.112
temporal,evt_tail,600,88.33,60.227,0.2,False,118.383,57.476
temporal,dtaci,600,88.33,55.689,0.18,False,107.469,55.847
temporal,acmcp,600,82.67,177.898,0.58,False,264.746,249.618
temporal,bellman_ci,600,78.33,41.584,0.14,False,124.376,47.363
temporal,errordir,600,89.33,60.829,0.2,False,113.739,61.668
random,pooled_trailing,600,92.0,55.036,0.24,False,95.647,52.005
random,diversity_optimal,600,97.33,96.972,0.42,False,118.429,92.432
random,mondrian,600,93.5,66.193,0.29,False,99.571,52.031
random,pid_conformal,600,89.17,50.031,0.22,False,95.2,47.624
random,evt_tail,600,93.33,61.736,0.27,False,97.566,60.345
random,dtaci,600,91.33,54.994,0.24,False,95.75,52.127
random,acmcp,600,88.83,103.929,0.45,False,148.285,118.762
random,bellman_ci,600,86.17,45.5,0.2,False,97.484,53.515
random,errordir,600,93.5,61.792,0.27,False,95.731,64.507
