domain,beta,baseline,n,mean_winkler_diff,win_rate_pct,perm_signflip_p,perm_signflip_p_bh
climate,errordir_mean,pooled_trailing,243,-1.086,76.5,0.0,0.0
climate,errordir_mean,diversity_optimal,243,-1.602,89.7,0.0,0.0
climate,errordir_mean,mondrian,243,-0.925,35.0,0.0675,0.0838
climate,errordir_mean,pid_conformal,243,-1.206,64.6,0.0,0.0
climate,errordir_mean,evt_tail,243,-1.048,68.3,0.0,0.0
climate,errordir_mean,dtaci,243,-1.051,67.5,0.0,0.0
climate,errordir_mean,acmcp,243,-11.763,81.1,0.0,0.0
climate,errordir_mean,bellman_ci,243,-2.626,37.0,0.0005,0.0009
climate,errordir_mean,cqr,243,-2.131,84.8,0.0005,0.0009
climate,errordir_tail,pooled_trailing,243,-0.54,64.6,0.018,0.027
climate,errordir_tail,diversity_optimal,243,-1.056,83.5,0.0,0.0
climate,errordir_tail,mondrian,243,-0.379,29.2,0.283,0.3184
climate,errordir_tail,pid_conformal,243,-0.66,57.2,0.014,0.0219
climate,errordir_tail,evt_tail,243,-0.502,60.1,0.0285,0.0395
climate,errordir_tail,dtaci,243,-0.505,56.8,0.024,0.0346
climate,errordir_tail,acmcp,243,-11.217,78.2,0.0,0.0
climate,errordir_tail,bellman_ci,243,-2.08,32.5,0.0005,0.0009
climate,errordir_tail,cqr,243,-1.585,80.7,0.0045,0.0074
energy,errordir_mean,pooled_trailing,400,-1.841,52.2,0.0005,0.0009
energy,errordir_mean,diversity_optimal,400,-0.539,82.0,0.326,0.3452
energy,errordir_mean,mondrian,400,-1.185,21.0,0.1475,0.1713
energy,errordir_mean,pid_conformal,400,-2.123,70.8,0.0,0.0
energy,errordir_mean,evt_tail,400,-1.457,51.5,0.0005,0.0009
energy,errordir_mean,dtaci,400,-0.926,25.2,0.0535,0.0688
energy,errordir_mean,acmcp,400,-53.911,91.5,0.0,0.0
energy,errordir_mean,bellman_ci,400,-6.665,27.8,0.0,0.0
energy,errordir_mean,cqr,400,-1.035,42.8,0.401,0.401
energy,errordir_tail,pooled_trailing,400,-1.93,48.8,0.0,0.0
energy,errordir_tail,diversity_optimal,400,-0.629,82.5,0.3155,0.3442
energy,errordir_tail,mondrian,400,-1.274,21.0,0.1345,0.1614
energy,errordir_tail,pid_conformal,400,-2.213,66.0,0.0,0.0
energy,errordir_tail,evt_tail,400,-1.547,49.0,0.0,0.0
energy,errordir_tail,dtaci,400,-1.016,22.2,0.043,0.0573
energy,errordir_tail,acmcp,400,-54.0,91.2,0.0,0.0
energy,errordir_tail,bellman_ci,400,-6.755,27.3,0.0,0.0
energy,errordir_tail,cqr,400,-1.124,43.0,0.369,0.3795
