domain,n_cal,n_cal_actual,method,reps,coverage,coverage_sd,mean_width,width_spread_ratio,winkler_mean,winkler_sd
climate,50,50,errordir,20,91.36,2.88,9.518,1.08,11.331,0.145
climate,50,50,dtaci,20,89.07,2.49,9.649,1.1,12.329,0.113
climate,50,50,mondrian,20,86.32,4.12,9.143,1.04,12.182,0.487
climate,50,50,cqr,20,86.21,8.71,11.704,1.33,13.865,0.897
climate,100,100,errordir,20,90.99,2.25,9.349,1.07,11.273,0.129
climate,100,100,dtaci,20,89.24,1.93,9.655,1.1,12.305,0.08
climate,100,100,mondrian,20,86.81,2.91,9.301,1.06,12.252,0.487
climate,100,100,cqr,20,86.38,5.53,11.733,1.34,13.628,0.313
climate,200,200,errordir,20,91.56,1.06,9.424,1.07,11.224,0.076
climate,200,200,dtaci,20,90.19,0.86,9.871,1.12,12.252,0.06
climate,200,200,mondrian,20,87.3,1.25,9.597,1.09,12.346,0.408
climate,200,200,cqr,20,87.9,2.92,11.877,1.35,13.381,0.153
climate,400,400,errordir,20,91.44,0.56,9.389,1.07,11.221,0.038
climate,400,400,dtaci,20,90.21,0.4,9.925,1.13,12.248,0.041
climate,400,400,mondrian,20,87.39,0.75,9.591,1.09,12.304,0.352
climate,400,400,cqr,20,86.6,1.75,11.746,1.34,13.381,0.091
climate,full,551,errordir,1,91.36,0.0,9.441,1.08,11.22,0.0
climate,full,551,dtaci,1,90.12,0.0,9.924,1.13,12.271,0.0
climate,full,551,mondrian,1,87.24,0.0,9.441,1.08,12.145,0.0
climate,full,551,cqr,1,87.24,0.0,11.773,1.34,13.351,0.0
energy,50,50,errordir,20,83.97,3.31,6.754,0.55,29.566,0.89
energy,50,50,dtaci,20,80.79,2.67,5.529,0.45,30.42,1.253
energy,50,50,mondrian,20,73.04,5.13,4.131,0.34,31.025,1.617
energy,50,50,cqr,20,58.12,5.55,5.596,0.46,29.205,1.533
energy,100,100,errordir,20,83.45,3.79,6.509,0.53,29.731,1.168
energy,100,100,dtaci,20,80.14,2.85,5.373,0.44,30.618,1.337
energy,100,100,mondrian,20,71.38,3.72,3.83,0.31,31.277,1.633
energy,100,100,cqr,20,55.85,3.27,5.37,0.44,29.829,0.797
energy,200,200,errordir,20,84.9,2.29,6.889,0.57,29.212,0.557
energy,200,200,dtaci,20,81.29,1.42,5.635,0.46,30.175,0.784
energy,200,200,mondrian,20,73.21,2.43,4.061,0.33,30.38,0.723
energy,200,200,cqr,20,55.77,1.87,5.355,0.44,29.849,0.427
energy,400,400,errordir,20,85.72,1.04,7.176,0.59,28.962,0.252
energy,400,400,dtaci,20,81.88,0.77,5.741,0.47,29.857,0.372
energy,400,400,mondrian,20,73.14,1.49,4.078,0.33,30.213,0.487
energy,400,400,cqr,20,56.2,1.17,5.376,0.44,29.771,0.251
energy,full,1600,errordir,1,86.25,0.0,7.395,0.61,28.775,0.0
energy,full,1600,dtaci,1,82.25,0.0,5.866,0.48,29.702,0.0
energy,full,1600,mondrian,1,73.0,0.0,4.122,0.34,29.96,0.0
energy,full,1600,cqr,1,56.0,0.0,5.363,0.44,29.81,0.0
