domain,method,n,coverage,mean_width,width_spread_ratio,vacuous,winkler_mean,winkler_median
climate,pooled_trailing,243,90.95,10.349,1.18,False,12.306,10.394
climate,diversity_optimal,243,94.65,11.704,1.33,False,12.822,11.667
climate,mondrian,243,87.24,9.441,1.08,False,12.145,8.018
climate,pid_conformal,243,89.71,9.812,1.12,False,12.426,9.932
climate,evt_tail,243,90.12,10.009,1.14,False,12.268,10.052
climate,dtaci,243,90.12,9.924,1.13,False,12.271,10.17
climate,acmcp,243,90.95,19.534,2.23,False,22.983,20.002
climate,bellman_ci,243,76.54,7.552,0.86,False,13.846,8.046
climate,cqr,243,87.24,11.773,1.34,False,13.351,11.875
climate,rlcp,243,91.77,9.124,1.04,False,10.799,9.036
climate,errordir_fixed,243,91.36,9.441,1.08,False,11.22,9.528
climate,errordir_qalpha,243,89.3,8.666,0.99,False,10.77,7.939
energy,pooled_trailing,400,83.0,6.791,0.56,False,30.616,7.222
energy,diversity_optimal,400,89.5,10.075,0.83,False,29.314,10.501
energy,mondrian,400,73.0,4.122,0.34,False,29.96,3.505
energy,pid_conformal,400,84.0,7.59,0.62,False,30.898,7.846
energy,evt_tail,400,84.5,7.112,0.58,False,30.232,7.713
energy,dtaci,400,82.25,5.866,0.48,False,29.702,5.914
energy,acmcp,400,93.75,72.16,5.92,False,82.686,75.857
energy,bellman_ci,400,68.0,3.385,0.28,False,35.44,3.997
energy,cqr,400,56.0,5.363,0.44,False,29.81,7.037
energy,rlcp,400,72.75,3.899,0.32,False,29.951,3.777
energy,errordir_fixed,400,86.25,7.395,0.61,False,28.775,6.974
energy,errordir_qalpha,400,68.5,3.775,0.31,False,30.987,4.706
