domain,method,baseline,n,mean_winkler_diff,win_rate_pct,perm_signflip_p,perm_signflip_p_bh
climate,errordir_qalpha,pooled_trailing,243,-1.536,78.2,0.002,0.0035
climate,errordir_qalpha,diversity_optimal,243,-2.052,79.8,0.0,0.0
climate,errordir_qalpha,mondrian,243,-1.376,65.0,0.0285,0.0475
climate,errordir_qalpha,pid_conformal,243,-1.656,73.3,0.0015,0.0027
climate,errordir_qalpha,evt_tail,243,-1.498,75.3,0.001,0.002
climate,errordir_qalpha,dtaci,243,-1.501,73.3,0.0015,0.0027
climate,errordir_qalpha,acmcp,243,-12.214,81.5,0.0,0.0
climate,errordir_qalpha,bellman_ci,243,-3.076,65.4,0.0,0.0
climate,errordir_qalpha,cqr,243,-2.581,90.5,0.0,0.0
climate,errordir_qalpha,rlcp,243,-0.029,72.4,0.462,0.5961
climate,errordir_fixed,pooled_trailing,243,-1.086,76.5,0.0,0.0
climate,errordir_fixed,diversity_optimal,243,-1.602,89.7,0.0,0.0
climate,errordir_fixed,mondrian,243,-0.925,35.0,0.0765,0.1177
climate,errordir_fixed,pid_conformal,243,-1.206,64.6,0.0,0.0
climate,errordir_fixed,evt_tail,243,-1.048,68.3,0.0,0.0
climate,errordir_fixed,dtaci,243,-1.051,67.5,0.0,0.0
climate,errordir_fixed,acmcp,243,-11.763,81.1,0.0,0.0
climate,errordir_fixed,bellman_ci,243,-2.626,37.0,0.0,0.0
climate,errordir_fixed,cqr,243,-2.131,84.8,0.001,0.002
climate,errordir_fixed,rlcp,243,0.421,20.2,0.995,0.995
energy,errordir_qalpha,pooled_trailing,400,0.372,74.5,0.613,0.743
energy,errordir_qalpha,diversity_optimal,400,1.673,74.8,0.874,0.9449
energy,errordir_qalpha,mondrian,400,1.028,51.7,0.939,0.9631
energy,errordir_qalpha,pid_conformal,400,0.089,76.8,0.5405,0.6756
energy,errordir_qalpha,evt_tail,400,0.755,74.5,0.751,0.8583
energy,errordir_qalpha,dtaci,400,1.286,63.7,0.928,0.9631
energy,errordir_qalpha,acmcp,400,-51.698,87.5,0.0,0.0
energy,errordir_qalpha,bellman_ci,400,-4.453,61.3,0.0005,0.0011
energy,errordir_qalpha,cqr,400,1.178,69.8,0.6455,0.7594
energy,errordir_qalpha,rlcp,400,1.036,48.8,0.7875,0.875
energy,errordir_fixed,pooled_trailing,400,-1.841,52.2,0.0,0.0
energy,errordir_fixed,diversity_optimal,400,-0.539,82.0,0.33,0.4552
energy,errordir_fixed,mondrian,400,-1.185,21.0,0.1525,0.2259
energy,errordir_fixed,pid_conformal,400,-2.123,70.8,0.0,0.0
energy,errordir_fixed,evt_tail,400,-1.457,51.5,0.0005,0.0011
energy,errordir_fixed,dtaci,400,-0.926,25.2,0.06,0.096
energy,errordir_fixed,acmcp,400,-53.911,91.5,0.0,0.0
energy,errordir_fixed,bellman_ci,400,-6.665,27.8,0.0005,0.0011
energy,errordir_fixed,cqr,400,-1.035,42.8,0.3815,0.5087
energy,errordir_fixed,rlcp,400,-1.176,22.0,0.2735,0.3907
