domain,n_cal,n_cal_actual,method,reps,coverage,mean_width,width_spread_ratio,winkler_mean,winkler_median,unbounded_rate,uninformative
climate,50,50,errordir,20,91.36,9.518,1.08,11.331,9.623,0.0,False
climate,50,50,rlcp,20,92.63,10.965,1.25,,10.438,0.0294,False
climate,50,50,dtaci,20,89.07,9.649,1.1,12.329,9.821,0.0,False
climate,50,50,mondrian,20,86.32,9.143,1.04,12.182,8.052,0.0,False
climate,50,50,cqr,20,86.21,11.704,1.33,13.865,11.942,0.0,False
climate,100,100,errordir,20,90.99,9.349,1.07,11.273,9.424,0.0,False
climate,100,100,rlcp,20,90.82,9.976,1.14,11.502,9.704,0.0076,False
climate,100,100,dtaci,20,89.24,9.655,1.1,12.305,9.85,0.0,False
climate,100,100,mondrian,20,86.81,9.301,1.06,12.252,8.025,0.0,False
climate,100,100,cqr,20,86.38,11.733,1.34,13.628,11.902,0.0,False
climate,200,200,errordir,20,91.56,9.424,1.07,11.224,9.527,0.0,False
climate,200,200,rlcp,20,91.03,9.826,1.12,11.592,9.647,0.0016,False
climate,200,200,dtaci,20,90.19,9.871,1.12,12.252,9.986,0.0,False
climate,200,200,mondrian,20,87.3,9.597,1.09,12.346,8.073,0.0,False
climate,200,200,cqr,20,87.9,11.877,1.35,13.381,11.949,0.0,False
climate,400,400,errordir,20,91.44,9.389,1.07,11.221,9.457,0.0,False
climate,400,400,rlcp,20,90.58,9.591,1.09,11.515,9.572,0.0006,False
climate,400,400,dtaci,20,90.21,9.925,1.13,12.248,10.098,0.0,False
climate,400,400,mondrian,20,87.39,9.591,1.09,12.304,8.042,0.0,False
climate,400,400,cqr,20,86.6,11.746,1.34,13.381,11.858,0.0,False
climate,full,551,errordir,1,91.36,9.441,1.08,11.22,9.528,0.0,False
climate,full,551,rlcp,1,91.77,9.631,1.1,11.292,9.642,0.0,False
climate,full,551,dtaci,1,90.12,9.924,1.13,12.271,10.17,0.0,False
climate,full,551,mondrian,1,87.24,9.441,1.08,12.145,8.018,0.0,False
climate,full,551,cqr,1,87.24,11.773,1.34,13.351,11.875,0.0,False
energy,50,50,errordir,20,83.97,6.754,0.55,29.566,6.758,0.0,False
energy,50,50,rlcp,20,85.67,4.695,0.39,,5.446,0.1993,False
energy,50,50,dtaci,20,80.79,5.529,0.45,30.42,5.662,0.0,False
energy,50,50,mondrian,20,73.04,4.131,0.34,31.025,3.787,0.0,False
energy,50,50,cqr,20,58.12,5.596,0.46,29.205,7.165,0.0,False
energy,100,100,errordir,20,83.45,6.509,0.53,29.731,6.491,0.0,False
energy,100,100,rlcp,20,81.58,3.924,0.32,,4.684,0.1512,False
energy,100,100,dtaci,20,80.14,5.373,0.44,30.618,5.584,0.0,False
energy,100,100,mondrian,20,71.38,3.83,0.31,31.277,3.375,0.0,False
energy,100,100,cqr,20,55.85,5.37,0.44,29.829,7.039,0.0,False
energy,200,200,errordir,20,84.9,6.889,0.57,29.212,6.723,0.0,False
energy,200,200,rlcp,20,80.61,3.885,0.32,,4.692,0.1275,False
energy,200,200,dtaci,20,81.29,5.635,0.46,30.175,5.725,0.0,False
energy,200,200,mondrian,20,73.21,4.061,0.33,30.38,3.526,0.0,False
energy,200,200,cqr,20,55.77,5.355,0.44,29.849,7.013,0.0,False
energy,400,400,errordir,20,85.72,7.176,0.59,28.962,6.933,0.0,False
energy,400,400,rlcp,20,79.2,3.823,0.31,,4.415,0.101,False
energy,400,400,dtaci,20,81.88,5.741,0.47,29.857,5.802,0.0,False
energy,400,400,mondrian,20,73.14,4.078,0.33,30.213,3.509,0.0,False
energy,400,400,cqr,20,56.2,5.376,0.44,29.771,7.012,0.0,False
energy,full,1600,errordir,1,86.25,7.395,0.61,28.775,6.974,0.0,False
energy,full,1600,rlcp,1,76.75,3.831,0.31,,4.233,0.0675,False
energy,full,1600,dtaci,1,82.25,5.866,0.48,29.702,5.914,0.0,False
energy,full,1600,mondrian,1,73.0,4.122,0.34,29.96,3.505,0.0,False
energy,full,1600,cqr,1,56.0,5.363,0.44,29.81,7.037,0.0,False
