domain,method,anchor,n,coverage,mean_width,width_spread_ratio,vacuous,unbounded_rate,winkler_mean,winkler_median
epidemic,pooled_trailing,online,400,91.5,1.2051,1.11,False,0.0,1.4343,1.1742
epidemic,diversity_optimal,online,400,100.0,6.4857,5.95,False,0.0,6.4857,6.1608
epidemic,mondrian,online,400,99.25,2.6371,2.42,False,0.0,2.6439,1.712
epidemic,pid_conformal,online,400,90.25,1.1585,1.06,False,0.0,1.4376,1.1041
epidemic,evt_tail,online,400,99.5,2.2901,2.1,False,0.0,2.2915,2.1684
epidemic,dtaci,online,400,92.75,1.4521,1.33,False,0.0,1.5942,1.1616
epidemic,acmcp,online,400,90.0,1.8648,1.71,False,0.0,2.2368,1.6536
epidemic,bellman_ci,online,400,89.25,1.0823,0.99,False,0.0,1.4989,1.1225
epidemic,cqr,frozen,400,92.25,2.1739,1.99,False,0.0,2.6224,2.1177
epidemic,rlcp,frozen,400,99.75,2.6429,2.42,False,0.0,2.6443,2.2924
epidemic,errordir,online,400,100.0,2.0155,1.85,False,0.0,2.0155,1.9375
