domain,model,model_class,mechanism,check2_percentile,check2_pass,DS,DS_percentile,n_matched_dirs,DS_pass
insurance,xgboost,tree,beta,0.41,False,-0.1501,0.3,200,False
insurance,xgboost,tree,A_local_knn,0.515,False,-0.0036,0.66,200,False
insurance,xgboost,tree,B_disagreement,0.565,False,-0.0977,0.455,200,False
insurance,xgboost,tree,D_local_nw,0.76,False,0.158,0.935,200,False
insurance,lightgbm,tree,beta,0.32,False,0.063,0.73,200,False
insurance,lightgbm,tree,A_local_knn,0.395,False,0.0966,0.78,200,False
insurance,lightgbm,tree,B_disagreement,0.6,False,-0.0141,0.455,200,False
insurance,lightgbm,tree,D_local_nw,0.545,False,0.1447,0.855,200,False
insurance,ridge,linear,beta,1.0,True,0.1938,0.859,156,False
insurance,ridge,linear,A_local_knn,0.965,True,0.1624,0.8712,163,False
insurance,ridge,linear,B_disagreement,0.41,False,-0.0591,0.6738,187,False
insurance,ridge,linear,D_local_nw,0.945,False,-0.1377,0.0296,169,False
energy,xgboost,tree,beta,0.465,False,-0.0715,0.16,200,False
energy,xgboost,tree,A_local_knn,0.74,False,-0.0752,0.23,200,False
energy,xgboost,tree,B_disagreement,0.54,False,0.1413,0.84,200,False
energy,xgboost,tree,D_local_nw,0.775,False,-0.1328,0.12,200,False
energy,lightgbm,tree,beta,0.52,False,-0.2244,0.09,200,False
energy,lightgbm,tree,A_local_knn,0.775,False,-0.1689,0.185,200,False
energy,lightgbm,tree,B_disagreement,0.645,False,-0.2122,0.11,200,False
energy,lightgbm,tree,D_local_nw,0.775,False,-0.2531,0.075,200,False
energy,ridge,linear,beta,1.0,True,-0.0154,0.4852,169,False
energy,ridge,linear,A_local_knn,1.0,True,0.0932,0.6871,163,False
energy,ridge,linear,B_disagreement,0.175,False,-0.1069,0.2205,195,False
energy,ridge,linear,D_local_nw,0.92,False,0.2488,0.9553,179,True
