domain,model,model_class,mechanism,check2_percentile,check2_pass,DS,DS_percentile,n_matched_dirs,DS_pass
insurance,xgboost,tree,beta,0.665,False,-0.0561,0.255,200,False
insurance,xgboost,tree,A_local_knn,0.62,False,-0.0687,0.18,200,False
insurance,xgboost,tree,B_disagreement,0.625,False,-0.0513,0.31,200,False
insurance,xgboost,tree,D_local_nw,0.255,False,0.0244,0.81,200,False
insurance,lightgbm,tree,beta,0.84,False,-0.028,0.265,200,False
insurance,lightgbm,tree,A_local_knn,0.775,False,-0.0392,0.195,200,False
insurance,lightgbm,tree,B_disagreement,0.66,False,0.0103,0.55,200,False
insurance,lightgbm,tree,D_local_nw,0.625,False,-0.0118,0.38,200,False
insurance,ridge,linear,beta,0.995,True,0.0345,0.5152,165,False
insurance,ridge,linear,A_local_knn,0.975,True,0.0386,0.7931,174,False
insurance,ridge,linear,B_disagreement,0.365,False,-0.0316,0.3368,193,False
insurance,ridge,linear,D_local_nw,0.93,False,-0.0372,0.3182,176,False
energy,xgboost,tree,beta,0.53,False,0.1064,0.315,200,False
energy,xgboost,tree,A_local_knn,0.74,False,0.0743,0.195,200,False
energy,xgboost,tree,B_disagreement,0.545,False,0.1038,0.295,200,False
energy,xgboost,tree,D_local_nw,0.79,False,-0.0493,0.0,200,False
energy,lightgbm,tree,beta,0.545,False,-0.061,0.055,200,False
energy,lightgbm,tree,A_local_knn,0.805,False,-0.0764,0.08,200,False
energy,lightgbm,tree,B_disagreement,0.66,False,-0.0622,0.085,200,False
energy,lightgbm,tree,D_local_nw,0.795,False,-0.124,0.01,200,False
energy,ridge,linear,beta,0.995,True,-0.0373,0.2038,157,False
energy,ridge,linear,A_local_knn,1.0,True,0.0376,0.6732,153,False
energy,ridge,linear,B_disagreement,0.225,False,-0.0009,0.5381,197,False
energy,ridge,linear,D_local_nw,0.92,False,0.1725,0.9942,173,True
