Experiment,Horizon,Gamma,Cal_Fraction,Coverage,Width,Coverage_Gap
Original,Current,0.005,20%,70.77,2.49,19.23
Original,1M,0.005,20%,71.88,2.41,18.12
Original,3M,0.005,20%,59.68,4.39,30.32
Original,6M,0.005,20%,59.32,11.71,30.68
Exp_A_BestGamma,Current,0.02,20%,81.54,4.04,8.46
Exp_A_BestGamma,1M,0.02,20%,76.56,3.3,13.44
Exp_A_BestGamma,3M,0.02,20%,69.35,4.82,20.65
Exp_A_BestGamma,6M,0.02,20%,67.8,16.87,22.2
Exp_B_Cal20%,Current,0.005,20%,70.77,2.49,19.23
Exp_B_Cal20%,1M,0.005,20%,71.88,2.41,18.12
Exp_B_Cal20%,3M,0.005,20%,59.68,4.39,30.32
Exp_B_Cal20%,6M,0.005,20%,59.32,11.71,30.68
Exp_B_Cal30%,Current,0.005,30%,87.69,6.03,2.31
Exp_B_Cal30%,1M,0.005,30%,81.25,4.22,8.75
Exp_B_Cal30%,3M,0.005,30%,87.1,16.9,2.9
Exp_B_Cal30%,6M,0.005,30%,66.1,10.38,23.9
Exp_B_Cal40%,Current,0.005,40%,89.23,7.45,0.77
Exp_B_Cal40%,1M,0.005,40%,85.94,7.35,4.06
Exp_B_Cal40%,3M,0.005,40%,85.48,14.95,4.52
Exp_B_Cal40%,6M,0.005,40%,67.8,10.64,22.2
Exp_B_Cal100%,Current,0.005,100%,89.23,8.99,0.77
Exp_B_Cal100%,1M,0.005,100%,87.5,10.76,2.5
Exp_B_Cal100%,3M,0.005,100%,88.71,16.85,1.29
Exp_B_Cal100%,6M,0.005,100%,72.88,17.04,17.12
Exp_C_Combined,Current,0.02,100%,90.77,11.89,0.77
Exp_C_Combined,1M,0.02,100%,90.62,16.87,0.62
Exp_C_Combined,3M,0.02,100%,88.71,27.09,1.29
Exp_C_Combined,6M,0.02,100%,77.97,31.53,12.03
