iter	RMSE
0	6.045698289
1	5.938379923
2	5.83906008
3	5.744664627
4	5.676496574
5	5.593393668
6	5.51611709
7	5.438951082
8	5.359752284
9	5.285215421
10	5.217028314
11	5.14845076
12	5.0848112
13	5.02175876
14	4.972260154
15	4.912637488
16	4.862470637
17	4.821928751
18	4.780132073
19	4.73532708
20	4.691445515
21	4.653369875
22	4.612087444
23	4.569409818
24	4.531523968
25	4.491932104
26	4.462515266
27	4.423674112
28	4.398651461
29	4.360970179
30	4.334617011
31	4.304778738
32	4.279779257
33	4.25211207
34	4.231100678
35	4.200140111
36	4.182941269
37	4.163310058
38	4.133560028
39	4.108060473
40	4.083188477
41	4.06342885
42	4.051135085
43	4.031318607
44	4.000749803
45	3.989821334
46	3.967225687
47	3.946763766
48	3.932767586
49	3.902992546
50	3.878617583
51	3.858476312
52	3.828485375
53	3.805060876
54	3.78771256
55	3.764067682
56	3.750081
57	3.73287991
58	3.717876884
59	3.703287609
60	3.689744142
61	3.667977303
62	3.654208872
63	3.642051311
64	3.631540835
65	3.614690697
66	3.600825964
67	3.585956221
68	3.572110814
69	3.552330158
70	3.532347045
71	3.517306704
72	3.506994532
73	3.494384219
74	3.477380131
75	3.463247701
76	3.451820964
77	3.440908562
78	3.42919333
79	3.415054825
80	3.395706207
81	3.387448252
82	3.377344117
83	3.359213129
84	3.344694991
85	3.331976089
86	3.323276428
87	3.31176198
88	3.294058261
89	3.284183818
90	3.276309991
91	3.264225651
92	3.25602013
93	3.245657854
94	3.229007563
95	3.215241071
96	3.205068104
97	3.195110237
98	3.181476404
99	3.174506534
100	3.168543024
101	3.16219835
102	3.148938758
103	3.138519973
104	3.133399229
105	3.125068632
106	3.111065401
107	3.09686202
108	3.093270699
109	3.082465742
110	3.076233217
111	3.073219489
112	3.065494283
113	3.055391582
114	3.050857217
115	3.035676388
116	3.02447718
117	3.0162156
118	3.014337525
119	3.010395876
120	2.996275454
121	2.981396085
122	2.969616206
123	2.965334999
124	2.956780139
125	2.947269877
126	2.936575216
127	2.927359436
128	2.922177926
129	2.917990145
130	2.912488343
131	2.902217107
132	2.894062903
133	2.886549723
134	2.87906825
135	2.87125156
136	2.867952836
137	2.862727589
138	2.856115199
139	2.844814645
140	2.835034428
141	2.830444932
142	2.824193315
143	2.814799858
144	2.801121298
145	2.796312329
146	2.793129383
147	2.786514128
148	2.780248746
149	2.777358177
150	2.775005349
151	2.769187446
152	2.75455464
153	2.743067516
154	2.735609874
155	2.732926297
156	2.730119468
157	2.724553983
158	2.712685883
159	2.709670953
160	2.697189117
161	2.690971582
162	2.680719088
163	2.6666454
164	2.662399138
165	2.648397402
166	2.636445022
167	2.633612632
168	2.630890213
169	2.62801253
170	2.616626604
171	2.609190712
172	2.606584733
173	2.597383076
