model,draw,rare_count,supp,IQR,ent,Q_C,cov,width
gradboost,0,23,6.6486,2.47549,1.71909,5.37269,90.535,10.542
gradboost,1,23,7.40173,2.90137,1.94917,6.44616,93.0041,11.628
gradboost,2,28,8.24332,2.72565,1.81987,6.58957,93.0041,11.8657
gradboost,3,24,7.74835,2.87803,2.34566,5.99232,92.1811,11.0053
gradboost,4,24,8.44749,2.99583,1.49444,6.29084,92.5926,11.4263
gradboost,5,30,8.2246,3.00832,1.86295,6.84515,92.1811,11.1934
gradboost,6,30,8.24717,3.08554,1.60838,5.89341,91.7695,10.8154
gradboost,7,26,9.56645,2.66203,1.43814,6.55396,92.1811,11.1844
gradboost,8,28,7.95424,3.02952,1.43142,5.89959,90.9465,10.577
gradboost,9,30,7.18039,3.01439,1.77325,6.11825,92.5926,11.1691
gradboost,10,31,7.89428,3.1047,2.26288,6.78532,94.2387,12.041
gradboost,11,29,8.68655,2.91954,1.82633,6.68024,93.0041,11.9033
gradboost,12,27,6.97439,2.98712,1.71892,5.21091,90.1235,10.256
gradboost,13,25,8.46838,2.8991,1.46921,6.85038,94.2387,12.2311
gradboost,14,21,7.09759,3.09383,1.74764,6.02701,92.5926,11.0866
gradboost,15,32,8.36224,2.73551,1.80016,6.14236,91.7695,10.8265
gradboost,16,29,7.94871,2.7446,2.05491,6.03981,91.358,10.8177
gradboost,17,29,8.64233,2.66342,1.45046,6.51053,92.5926,11.1999
gradboost,18,30,8.25716,2.89552,1.99278,5.97394,90.9465,10.6687
gradboost,19,25,8.44948,3.04923,1.84474,6.67585,93.0041,11.8453
gradboost,20,41,9.91527,3.29281,1.73309,7.73173,94.6502,12.8028
gradboost,21,28,8.10684,2.64893,1.61062,6.45204,92.5926,11.2813
gradboost,22,30,6.88997,3.01744,2.1287,5.75741,91.358,10.6381
gradboost,23,26,7.2287,3.03538,1.40335,5.78812,91.358,10.8871
gradboost,24,35,10.15904,3.22385,1.5026,7.09027,93.4156,11.7973
gradboost,25,25,7.10351,2.67696,1.97361,6.03166,92.5926,11.3417
gradboost,26,27,6.95567,2.78034,1.94254,5.21749,89.7119,10.2034
gradboost,27,24,7.65004,2.97639,2.1817,6.20464,92.5926,11.4333
gradboost,28,28,8.63992,3.31701,1.51899,6.43993,93.8272,11.9106
gradboost,29,22,7.23958,2.90596,2.52026,6.15932,92.5926,11.3216
gradboost,30,31,8.20118,2.87731,1.81173,6.00693,91.7695,10.9784
