model,draw,rare_count,supp,IQR,ent,Q_C,cov,width
gradboost,0,26,13.87339,5.38236,2.14524,10.62045,90.411,20.8664
gradboost,1,24,14.25738,5.73166,2.21523,10.60263,90.411,20.5627
gradboost,2,28,15.47841,5.4159,2.20543,11.11662,90.411,21.2185
gradboost,3,23,13.92413,4.63033,2.1222,10.06482,89.726,19.68
gradboost,4,30,15.02587,5.24277,2.12992,9.76181,89.726,19.3664
gradboost,5,30,12.73154,5.00107,2.17671,10.19826,89.726,20.3126
gradboost,6,22,14.91766,5.40897,2.18445,11.03224,90.411,21.4063
gradboost,7,31,14.71043,5.25435,2.21015,11.74434,90.411,22.1418
gradboost,8,27,15.5027,5.16163,2.20921,11.47327,90.411,22.4549
gradboost,9,28,15.49185,5.47575,2.18535,12.1917,91.0959,22.5781
gradboost,10,25,13.80986,5.02432,2.16864,10.55295,89.726,20.5002
gradboost,11,24,13.97678,4.95091,2.16938,10.9859,90.411,20.9383
gradboost,12,27,14.25052,5.02497,2.14806,10.17743,89.726,20.2157
gradboost,13,28,13.78971,4.47067,2.08652,9.92339,89.726,19.324
gradboost,14,26,13.79337,5.16269,2.14089,10.12319,89.726,20.1328
gradboost,15,23,13.34785,5.09563,2.12405,10.34673,89.726,20.4876
gradboost,16,29,15.63974,5.37121,2.22435,11.21992,90.411,21.5011
gradboost,17,25,14.31535,5.12395,2.17568,11.36332,90.411,22.0355
gradboost,18,31,15.73163,5.46655,2.23135,11.85549,90.411,22.6255
gradboost,19,32,14.86488,5.66826,2.18426,11.46619,90.411,22.392
gradboost,20,21,12.38492,4.74562,2.09456,9.82099,89.726,19.2711
gradboost,21,29,15.37612,5.27336,2.22646,11.37985,90.411,22.0952
gradboost,22,22,15.64542,4.80377,2.23087,11.46619,90.411,21.8523
gradboost,23,25,14.45375,5.24013,2.15324,10.62045,90.411,20.898
gradboost,24,26,14.82944,5.00385,2.1873,11.11662,90.411,21.6711
gradboost,25,28,14.09543,5.57774,2.18178,10.9859,90.411,21.1411
gradboost,26,25,13.50519,5.00599,2.14276,10.46263,89.726,20.3968
gradboost,27,27,13.63407,5.24658,2.1078,10.34673,89.726,20.4136
gradboost,28,27,14.10416,5.35046,2.14076,10.9356,90.411,21.2086
gradboost,29,25,13.68859,5.02844,2.26476,10.60263,90.411,20.5248
gradboost,30,27,14.2331,5.10315,2.19688,11.37985,90.411,21.9362
