model,draw,rare_count,supp,IQR,ent,Q_C,cov,width
ridge,0,26,13.35619,4.75614,1.90952,10.88352,89.726,21.2326
ridge,1,24,12.6905,4.87536,2.14585,9.88141,89.0411,19.5241
ridge,2,28,14.49434,4.80546,2.17049,10.62538,89.0411,21.1478
ridge,3,23,12.82445,4.1481,1.89156,9.88712,88.3562,19.7154
ridge,4,30,15.27625,4.60086,1.91167,9.81103,89.0411,19.4661
ridge,5,30,13.19983,4.46309,2.16297,9.9507,89.0411,20.0188
ridge,6,22,13.38893,4.77777,2.11511,9.86593,89.0411,19.6314
ridge,7,31,14.91938,5.00044,2.20667,11.28305,89.726,21.4545
ridge,8,27,15.23919,4.80303,2.18271,11.33369,90.411,21.5697
ridge,9,28,15.19462,5.15801,1.96873,10.95629,89.726,21.0927
ridge,10,25,12.79071,4.86521,1.96877,10.29136,89.0411,20.3542
ridge,11,24,13.0948,4.83423,1.96316,10.44777,89.0411,20.8382
ridge,12,27,14.13121,4.92587,2.15568,10.41181,89.0411,20.766
ridge,13,28,12.8741,4.51183,1.93326,9.69964,89.0411,19.4861
ridge,14,26,14.46941,5.13174,2.12192,9.88712,88.3562,19.7905
ridge,15,23,12.60427,4.73131,2.08825,10.44777,89.0411,20.7662
ridge,16,29,15.07556,4.98334,2.18407,10.85423,89.726,21.5166
ridge,17,25,14.13546,4.6106,2.1254,10.25202,89.0411,20.4237
ridge,18,31,15.69198,4.9631,2.03901,10.62538,89.0411,21.2488
ridge,19,32,14.48902,5.1238,1.95222,10.85423,89.726,21.2176
ridge,20,21,11.74846,4.73141,2.08779,9.83411,88.3562,19.8097
ridge,21,29,15.10387,4.86451,2.20079,9.99627,89.0411,20.4452
ridge,22,22,14.14166,4.79279,2.13544,10.22696,89.0411,20.3311
ridge,23,25,12.50673,4.88915,1.91661,9.82293,89.0411,19.5534
ridge,24,26,13.27302,5.00836,2.15223,10.29341,89.0411,20.4754
ridge,25,28,14.037,4.99133,2.00814,11.02318,89.726,21.5502
ridge,26,25,12.27211,4.92289,2.13286,9.69712,89.0411,19.3645
ridge,27,27,12.88492,4.69961,1.9447,9.88712,89.0411,19.9445
ridge,28,27,13.71317,5.04262,1.93185,10.78145,89.726,20.9894
ridge,29,25,12.02476,4.70301,2.17565,9.25417,88.3562,18.3854
ridge,30,27,14.46321,5.02319,2.1693,10.22186,89.0411,20.3024
ridge,31,28,11.73939,4.41867,2.16573,9.69964,88.3562,19.2518
ridge,32,29,13.23995,4.76863,1.91066,9.64326,88.3562,19.217
ridge,33,27,14.36203,5.20508,2.1821,10.85423,89.726,21.0215
ridge,34,22,13.66139,4.36629,1.9287,10.85423,89.726,21.0343
ridge,35,25,12.88279,4.8924,2.09207,9.40599,88.3562,18.976
ridge,36,28,14.40957,4.6625,2.18802,10.44777,89.0411,20.765
ridge,37,24,12.75563,4.50168,2.07381,9.83411,89.0411,19.3966
ridge,38,28,13.52325,5.19681,2.20798,10.44777,89.0411,20.9837
ridge,39,29,15.68282,5.1004,1.97452,10.78145,89.726,21.0941
ridge,40,22,14.06674,4.67395,1.94069,9.71511,89.0411,19.3225
ridge,41,25,13.04787,4.99803,2.20371,9.81103,89.0411,19.7923
ridge,42,28,13.35542,4.79555,1.93529,10.25202,89.0411,20.3081
ridge,43,25,13.01814,4.64873,2.15565,10.44777,89.0411,20.7972
ridge,44,27,14.12908,4.73239,2.12164,10.29341,89.0411,20.3077
ridge,45,23,13.13533,4.67892,2.14389,9.5853,88.3562,19.3475
ridge,46,27,14.36898,4.8575,1.95818,9.9507,89.0411,20.3354
ridge,47,26,11.80104,4.84105,2.11536,9.40599,88.3562,18.7519
ridge,48,27,12.71052,4.46493,1.87546,9.83411,88.3562,19.667
ridge,49,27,14.11504,4.74954,1.98828,10.85423,89.726,21.3756
ridge,50,23,13.13925,3.85679,2.07337,8.46151,86.9863,18.5233
ridge,51,26,12.91098,4.55294,2.12213,9.36384,88.3562,18.7957
ridge,52,28,13.28515,4.85433,1.93414,9.84601,89.0411,19.8596
ridge,53,21,12.42801,5.09792,2.18864,9.88712,88.3562,19.7488
ridge,54,26,13.13533,4.46309,2.12839,10.41181,89.0411,20.3754
ridge,55,27,12.89537,4.94532,1.92904,9.79556,89.0411,19.5531
ridge,56,30,15.54545,4.9434,1.98014,10.85423,89.726,21.2341
ridge,57,25,13.76724,4.26105,2.07952,9.54333,89.0411,19.2402
ridge,58,28,13.63025,4.60659,1.95211,10.77364,89.0411,20.3946
ridge,59,26,12.75917,4.86145,2.13865,9.64578,89.0411,19.5414
ridge,60,28,13.3208,4.72024,1.93329,9.83411,88.3562,19.523
ridge,61,22,12.88917,4.42529,2.11512,9.84601,89.0411,19.6694
ridge,62,28,15.25365,4.61971,1.98211,10.44777,89.0411,20.817
ridge,63,28,13.60218,4.93288,2.18657,10.29136,89.0411,20.7749
ridge,64,29,13.6266,5.16539,2.21816,10.41181,89.0411,20.6476
ridge,65,21,11.78457,4.59106,2.11348,9.30159,88.3562,18.7775
ridge,66,28,13.44587,4.97419,1.97551,10.29136,89.0411,20.5503
ridge,67,26,14.6808,4.3649,1.95926,10.06754,89.0411,20.1741
ridge,68,27,12.03942,4.83598,1.90954,9.83411,88.3562,19.4559
ridge,69,20,12.36404,4.5204,1.87845,9.83411,89.0411,19.5762
ridge,70,25,13.01142,5.14444,2.16645,10.29136,89.0411,20.4623
ridge,71,30,15.26363,4.94917,1.98666,10.44777,89.0411,20.8555
ridge,72,28,14.05875,4.75772,1.96428,10.62538,89.0411,20.6138
ridge,73,31,14.40094,4.85997,1.9901,11.02318,89.726,21.6021
ridge,74,21,12.13392,4.55643,1.84564,8.81067,86.9863,17.9734
ridge,75,29,15.38409,4.70947,1.95388,10.06754,89.0411,20.2011
ridge,76,23,13.60873,4.63013,1.95012,9.71511,88.3562,19.5737
ridge,77,27,13.31638,4.88547,1.9788,10.41181,89.0411,20.6353
ridge,78,29,13.33956,4.8985,1.95793,10.28148,89.0411,20.4439
ridge,79,26,13.35619,4.9102,1.94915,10.03738,89.0411,19.9872
ridge,80,24,11.80803,4.61693,2.159,9.54123,88.3562,18.8423
ridge,81,29,14.51663,5.03693,1.99454,10.92226,89.726,21.2895
ridge,82,31,15.51752,4.79099,1.9516,9.9456,89.0411,20.0388
ridge,83,31,13.69839,4.87031,1.99983,10.77364,89.0411,21.0238
ridge,84,23,12.55204,4.40809,1.86567,9.25417,88.3562,18.6115
ridge,85,29,14.51145,5.00287,2.15529,10.62538,89.726,20.8886
ridge,86,23,12.97913,4.46098,2.10026,9.60716,88.3562,19.2799
ridge,87,31,15.6463,4.85844,2.00366,10.29136,89.0411,20.4791
ridge,88,20,12.33878,4.51513,2.08205,9.40599,88.3562,18.953
ridge,89,29,14.49568,5.01811,2.19429,10.62538,89.726,20.7903
ridge,90,29,13.34371,4.80481,1.93269,10.33274,89.0411,20.6278
ridge,91,28,15.34855,4.95367,1.96825,11.02318,89.726,21.2996
ridge,92,26,12.37087,4.92519,1.91089,9.83411,88.3562,19.6617
ridge,93,26,14.36979,4.26081,1.90965,10.78145,89.726,20.9465
ridge,94,27,12.06457,4.15783,1.82553,9.25417,87.6712,19.1118
ridge,95,26,12.59341,4.96998,1.9283,9.83411,89.0411,19.7384
ridge,96,23,14.46533,5.04675,2.19791,10.61757,89.0411,21.2094
ridge,97,27,14.91938,5.06711,2.0243,11.57508,91.7808,22.6218
ridge,98,22,11.75425,4.31516,2.04573,9.54123,88.3562,18.8056
ridge,99,23,13.44587,4.95358,1.95924,10.44777,89.0411,21.0448
ridge,100,22,12.66294,4.57422,1.88283,9.73299,88.3562,19.2076
ridge,101,29,14.04875,5.11284,2.21873,10.95629,89.726,21.0168
ridge,102,27,14.08167,4.85142,2.14708,10.85423,89.726,21.2203
ridge,103,33,16.46546,5.50515,2.07427,11.75897,91.0959,22.3986
ridge,104,24,12.96664,4.98352,2.17484,10.41181,89.0411,20.6447
ridge,105,27,13.2733,4.76482,2.23328,10.41181,89.0411,20.8335
ridge,106,22,13.40371,4.73943,1.96529,10.41181,89.0411,20.5882
ridge,107,26,13.13925,5.06926,2.14,9.88712,89.0411,19.8697
ridge,108,19,11.83597,4.63811,1.86941,9.54333,88.3562,19.0646
ridge,109,31,15.37965,5.07479,1.96282,10.95629,89.726,21.4777
ridge,110,21,12.13064,4.61004,2.11334,9.30159,88.3562,18.9281
ridge,111,27,13.40371,4.51241,1.94922,10.85423,89.726,21.2259
ridge,112,26,14.08582,4.99487,2.25512,10.61757,89.0411,21.0471
ridge,113,22,13.33151,5.27702,1.91094,9.64578,88.3562,19.4235
ridge,114,24,13.28515,4.89454,1.99439,10.44777,89.0411,20.8498
ridge,115,28,14.10279,4.87228,2.18742,10.78145,89.726,21.0497
ridge,116,28,14.41356,4.95954,2.18431,10.77364,89.0411,21.171
ridge,117,31,15.5303,4.90129,2.13452,11.10566,89.726,21.5189
ridge,118,22,12.75563,4.63818,2.13514,9.88712,89.0411,19.5856
ridge,119,28,14.57257,4.86797,2.00005,10.43003,89.0411,20.8284
ridge,120,25,12.98539,4.77239,1.96616,10.62538,89.0411,20.7414
ridge,121,25,14.06888,4.91267,2.17686,10.06754,89.0411,20.5294
ridge,122,26,13.60562,4.8638,2.1658,10.95629,89.726,20.9496
ridge,123,31,15.25717,4.82962,2.20131,11.3434,90.411,22.046
ridge,124,30,15.55805,4.81738,1.97907,10.85423,89.726,21.0938
ridge,125,32,14.35696,4.74999,2.00956,10.61757,89.0411,21.1472
ridge,126,23,12.83544,4.79267,1.85233,9.5492,89.0411,19.1808
ridge,127,23,12.2019,4.9419,2.16185,9.54123,88.3562,19.0263
ridge,128,34,13.56013,4.96087,2.15713,10.43003,89.0411,20.8105
ridge,129,28,13.28321,4.8296,2.16108,10.43003,89.0411,20.6198
ridge,130,20,12.9405,4.91153,2.09969,9.5492,88.3562,19.071
ridge,131,32,15.51186,4.90266,2.2164,11.06192,89.726,21.5665
ridge,132,25,12.66219,4.72389,2.09083,10.41181,89.0411,20.4954
ridge,133,22,12.60525,4.84971,2.14712,9.81103,89.0411,19.7063
ridge,134,29,13.61693,4.34841,2.09757,9.60716,88.3562,19.5182
ridge,135,23,12.94293,5.00725,2.10474,9.88712,88.3562,19.7482
ridge,136,25,13.69167,4.81226,2.10928,10.18359,89.0411,20.1737
ridge,137,26,13.66832,4.32187,2.08689,9.49908,88.3562,18.8427
ridge,138,26,13.14824,4.80457,2.19713,9.64578,88.3562,19.2328
ridge,139,25,13.66651,4.7955,1.97286,10.59983,89.0411,21.1057
ridge,140,30,13.22148,4.84422,1.983,10.29136,89.0411,20.4229
ridge,141,25,14.45463,4.84002,1.96682,11.02318,89.726,21.1273
ridge,142,31,13.59993,5.00775,2.17284,10.33274,89.0411,20.6479
ridge,143,29,15.52183,5.21626,2.00154,11.10566,89.726,21.5185
ridge,144,27,14.39545,5.01811,2.01511,11.10566,90.411,21.4649
ridge,145,23,11.38929,4.73509,1.85944,9.14309,86.9863,18.7799
ridge,146,30,15.3518,4.93723,2.15671,11.57508,91.0959,22.2907
ridge,147,26,11.40382,4.99716,1.88395,9.31646,88.3562,18.7965
ridge,148,28,14.62717,4.62569,1.95803,11.3434,90.411,22.059
ridge,149,28,15.64286,5.16278,2.08142,11.82343,91.0959,22.5822
ridge,150,28,15.31951,4.96632,2.19506,11.06192,89.726,21.6831
ridge,151,20,13.71488,4.95142,1.92013,10.62538,89.726,20.8575
ridge,152,22,12.88372,4.33016,2.09545,9.64578,88.3562,19.4798
ridge,153,29,15.22116,4.74068,1.97289,10.25202,89.0411,20.5589
ridge,154,28,13.55599,4.92519,1.94615,9.9507,89.0411,20.0693
ridge,155,30,14.49568,5.09151,2.15736,10.33274,89.0411,20.7071
ridge,156,28,13.03989,4.32779,1.92772,10.06754,89.0411,20.2511
ridge,157,26,13.66651,4.8922,1.9174,9.69964,88.3562,19.2975
ridge,158,21,13.37145,4.95625,1.9096,9.88712,88.3562,19.8489
ridge,159,29,14.48836,5.07149,1.98161,10.41181,89.0411,20.4672
ridge,160,28,13.18008,5.08331,1.93989,10.06754,89.0411,20.0764
ridge,161,30,13.32975,4.83782,2.12366,9.9456,89.0411,19.854
ridge,162,19,13.25727,5.14327,1.96508,10.25202,89.0411,20.5733
ridge,163,24,15.60789,5.54274,2.0128,11.02318,89.726,21.6012
ridge,164,30,13.68521,4.56577,1.91501,10.41181,89.0411,20.5573
ridge,165,24,12.70729,5.0921,1.92228,9.88712,88.3562,19.7105
ridge,166,23,13.62443,4.38933,2.12514,9.64578,88.3562,19.3699
ridge,167,30,13.16496,4.71122,2.15321,10.25202,89.0411,20.2446
ridge,168,28,12.78381,4.62646,1.94542,9.40599,89.0411,19.0588
ridge,169,27,13.12273,4.65334,2.11379,9.5471,89.0411,19.0692
ridge,170,21,12.62167,4.73723,1.87922,9.40599,88.3562,18.8646
ridge,171,29,15.00104,4.94315,1.9946,10.85423,89.726,21.2451
ridge,172,32,14.37203,5.00083,1.99872,11.10566,90.411,21.7472
ridge,173,30,15.15877,4.70755,1.90164,9.5853,89.0411,19.2854
ridge,174,24,11.96948,4.60538,1.92306,9.71511,89.0411,19.829
ridge,175,24,14.07768,5.01,2.19382,10.62538,89.0411,20.7957
ridge,176,24,14.40941,5.2796,1.99001,11.21617,89.726,21.5244
ridge,177,23,13.25241,4.44961,2.09862,9.83411,88.3562,19.7413
ridge,178,29,15.10863,4.22774,1.91059,9.9456,89.0411,19.9733
ridge,179,28,14.70345,5.10874,1.97791,10.85423,89.726,21.1949
ridge,180,29,15.34855,5.2573,1.98383,10.62538,89.726,21.075
ridge,181,29,14.41356,5.11949,2.01056,10.99503,89.726,21.5416
ridge,182,24,13.62824,4.29716,1.91863,9.64578,89.0411,19.5804
ridge,183,22,12.56418,4.99502,1.92413,9.69712,89.0411,19.2897
ridge,184,25,14.18457,4.48603,1.92138,10.06754,89.0411,20.0517
