Horizon,score,regime,rec_prob
Current,0.5378,expansion,0.8
Current,0.7354,expansion,0.5
Current,0.8594,expansion,0.0
Current,0.6809,expansion,0.26
Current,0.7974,expansion,0.08
Current,0.8573,expansion,0.0
Current,0.8573,expansion,0.0
Current,0.4371,expansion,1.54
Current,0.8736,expansion,0.02
Current,0.8622,expansion,0.04
Current,0.8641,expansion,0.02
Current,0.8616,expansion,0.0
Current,0.8616,expansion,0.0
Current,0.8767,expansion,0.0
Current,0.7335,expansion,0.14
Current,0.8709,expansion,0.0
Current,0.8699,expansion,0.0
Current,0.8583,expansion,0.0
Current,0.8043,expansion,0.06
Current,0.8498,expansion,0.04
Current,0.8664,expansion,0.0
Current,0.8506,expansion,0.02
Current,0.8873,expansion,0.18
Current,0.9883,expansion,0.1
Current,0.9736,expansion,0.08
Current,0.9289,expansion,0.14
Current,0.8972,expansion,0.28
Current,0.5866,expansion,4.14
Current,0.8391,expansion,6.96
Current,14.3712,expansion,36.56
Current,0.0305,expansion,40.22
Current,2.5123,rare,50.0
Current,2.107,expansion,39.6
Current,4.1199,expansion,40.06
Current,1.4731,expansion,42.32
Current,5.7236,expansion,39.4
Current,14.614,expansion,37.62
Current,2.3128,expansion,38.38
Current,3.2359,rare,56.12
Current,4.8794,rare,75.94
Current,8.8268,rare,86.34
Current,7.3294,expansion,32.38
Current,0.9024,expansion,0.0
Current,0.8231,expansion,0.1
Current,0.4536,expansion,1.38
Current,0.6062,expansion,0.36
Current,0.871,expansion,0.0
Current,0.8386,expansion,0.04
Current,0.7587,expansion,0.2
Current,0.6925,expansion,0.4
Current,0.8148,expansion,0.16
Current,0.8712,expansion,0.0
Current,0.8615,expansion,0.0
Current,0.857,expansion,0.0
Current,0.8564,expansion,0.0
Current,0.8563,expansion,0.0
Current,0.8562,expansion,0.0
Current,0.8562,expansion,0.0
Current,0.8562,expansion,0.0
Current,0.8437,expansion,0.02
Current,0.8156,expansion,0.06
Current,0.7682,expansion,0.12
Current,0.8573,expansion,0.0
Current,0.8562,expansion,0.0
Current,0.8562,expansion,0.0
Current,0.8562,expansion,0.0
Current,0.8565,expansion,0.0
Current,0.8566,expansion,0.0
Current,0.8607,expansion,0.0
Current,0.6626,expansion,0.24
Current,0.7648,expansion,0.24
Current,0.9569,expansion,0.08
Current,0.9781,expansion,0.08
Current,1.2247,expansion,0.1
Current,0.9209,expansion,0.22
Current,0.9858,expansion,0.06
Current,0.9276,expansion,0.1
Current,0.7596,expansion,1.02
Current,12.2786,expansion,29.88
Current,4.4191,expansion,33.2
Current,6.1121,expansion,28.78
Current,2.0527,expansion,26.04
Current,7.136,expansion,24.8
Current,6.3272,expansion,24.02
Current,4.9568,expansion,34.02
Current,0.3794,expansion,44.82
Current,2.5514,rare,77.44
Current,3.6327,rare,82.08
Current,1.8769,rare,92.62
Current,4.5358,rare,99.98
Current,4.5302,rare,100.0
Current,4.3744,rare,99.8
Current,4.7855,rare,99.7
Current,5.0282,rare,94.24
Current,11.5423,expansion,15.68
Current,3.9293,expansion,2.26
Current,0.7748,expansion,0.62
Current,0.9891,expansion,0.12
Current,0.9138,expansion,0.0
Current,0.8751,expansion,0.04
Current,0.8608,expansion,0.02
Current,0.8132,expansion,0.06
Current,0.8658,expansion,0.0
Current,0.86,expansion,0.0
Current,0.8608,expansion,0.0
Current,0.78,expansion,0.1
Current,0.8449,expansion,0.04
Current,0.817,expansion,0.1
Current,0.8895,expansion,0.08
Current,0.9111,expansion,0.02
Current,0.8674,expansion,0.02
Current,0.8096,expansion,0.06
Current,0.6621,expansion,0.3
Current,0.859,expansion,0.0
Current,0.8578,expansion,0.0
Current,0.364,expansion,0.5
Current,0.8563,expansion,0.0
Current,0.8562,expansion,0.0
Current,0.8563,expansion,0.0
Current,0.8563,expansion,0.0
Current,0.8569,expansion,0.0
Current,0.8038,expansion,0.06
Current,0.8047,expansion,0.12
Current,0.9122,expansion,0.02
Current,0.9505,expansion,0.04
Current,0.9131,expansion,0.02
Current,0.4902,expansion,0.8
Current,9.5916,expansion,13.88
Current,0.9268,expansion,0.06
Current,0.8687,expansion,0.0
Current,0.8585,expansion,0.0
Current,0.8072,expansion,0.14
Current,0.825,expansion,0.08
Current,0.7174,expansion,0.32
Current,0.881,expansion,0.02
Current,0.8594,expansion,0.04
Current,0.8609,expansion,0.0
Current,0.8765,expansion,0.0
Current,0.812,expansion,0.1
Current,0.2539,expansion,1.4
Current,0.8658,expansion,0.7
Current,0.8213,expansion,1.12
Current,25.6091,expansion,31.26
Current,1.6135,expansion,1.18
Current,2.2241,expansion,1.52
Current,0.4702,expansion,2.66
Current,2.2314,expansion,3.22
Current,4.1389,expansion,2.48
Current,3.8074,expansion,2.1
Current,2.3655,expansion,2.82
Current,0.7759,expansion,4.44
Current,4.9226,expansion,7.18
Current,15.407,expansion,42.52
Current,3.3607,rare,87.08
Current,5.25,rare,99.9
Current,4.5772,rare,99.9
Current,3.5009,rare,89.34
Current,6.0667,expansion,32.28
Current,1.375,expansion,0.42
Current,0.8492,expansion,0.06
Current,0.8814,expansion,0.04
Current,0.8562,expansion,0.04
Current,1.1565,expansion,0.38
Current,0.3896,expansion,2.38
Current,0.4692,expansion,2.04
Current,2.7085,expansion,1.16
Current,2.6336,expansion,1.0
Current,1.4165,expansion,0.88
Current,0.5244,expansion,1.0
Current,0.3861,expansion,2.96
Current,12.9057,expansion,44.92
Current,4.9558,rare,81.36
Current,7.2796,rare,93.6
Current,5.4941,rare,96.26
Current,4.4691,rare,96.12
Current,4.3692,rare,93.88
Current,36.5243,expansion,10.86
Current,1.1788,rare,60.84
Current,30.4022,rare,73.04
Current,2.5618,rare,76.56
Current,1.7995,rare,80.36
Current,1.9426,rare,80.66
Current,1.0184,rare,79.24
Current,7.1399,rare,76.1
Current,7.7335,rare,72.88
Current,12.7917,expansion,39.46
Current,2.4745,expansion,15.14
Current,0.878,expansion,0.58
Current,0.341,expansion,1.66
Current,0.7818,expansion,0.16
Current,0.8608,expansion,0.0
Current,0.8585,expansion,0.0
Current,0.8575,expansion,0.0
Current,0.8572,expansion,0.0
Current,0.7808,expansion,0.1
Current,0.8576,expansion,0.0
Current,0.8424,expansion,0.02
Current,0.8576,expansion,0.0
Current,0.8579,expansion,0.0
Current,0.8586,expansion,0.0
Current,0.8586,expansion,0.0
Current,0.8412,expansion,0.02
Current,0.8591,expansion,0.0
Current,0.8491,expansion,0.02
Current,0.8621,expansion,0.0
Current,0.8137,expansion,0.1
Current,0.9209,expansion,0.1
Current,0.9009,expansion,0.1
Current,0.939,expansion,0.12
Current,0.9129,expansion,0.04
Current,0.7677,expansion,0.2
Current,0.7607,expansion,0.2
Current,0.8665,expansion,0.06
Current,0.8817,expansion,0.04
Current,0.8412,expansion,0.12
Current,0.9016,expansion,0.04
Current,0.6489,expansion,0.38
Current,0.788,expansion,0.26
Current,0.8863,expansion,0.02
Current,0.8995,expansion,0.0
Current,0.7989,expansion,0.18
Current,0.8662,expansion,0.06
Current,0.873,expansion,0.02
Current,0.7957,expansion,0.08
Current,0.6869,expansion,0.32
Current,0.7733,expansion,0.24
Current,0.9743,expansion,0.12
Current,0.9512,expansion,0.06
Current,0.7333,expansion,0.2
