Indicator,Horizon,MAE_Oracle,MAE_with_AR1,Delta_MAE
share_price,Current,6.8292,6.8292,0.0
share_price,1-Month,5.6336,5.6336,0.0
share_price,3-Month,7.7285,7.7283,-0.0002
share_price,6-Month,10.1696,10.2588,0.0892
OECD_CLI_index,Current,6.8292,6.935,0.1058
OECD_CLI_index,1-Month,5.6336,5.5378,-0.0958
OECD_CLI_index,3-Month,7.7285,7.6766,-0.0519
OECD_CLI_index,6-Month,10.1696,10.1632,-0.0064
CSI_index,Current,6.8292,6.8378,0.0087
CSI_index,1-Month,5.6336,5.368,-0.2656
CSI_index,3-Month,7.7285,7.7198,-0.0087
CSI_index,6-Month,10.1696,10.4846,0.315
gdp_per_capita_residual,Current,6.8292,6.8161,-0.0131
gdp_per_capita_residual,1-Month,5.6336,5.6923,0.0588
gdp_per_capita_residual,3-Month,7.7285,7.7419,0.0134
gdp_per_capita_residual,6-Month,10.1696,10.1666,-0.0029
PPI_diff1,Current,6.8292,6.7836,-0.0456
PPI_diff1,1-Month,5.6336,5.5452,-0.0884
PPI_diff1,3-Month,7.7285,7.6237,-0.1048
PPI_diff1,6-Month,10.1696,9.464,-0.7056
1_year_rate,Current,6.8292,6.8299,0.0007
1_year_rate,1-Month,5.6336,5.6018,-0.0318
1_year_rate,3-Month,7.7285,7.7221,-0.0064
1_year_rate,6-Month,10.1696,10.2195,0.05
3_months_rate,Current,6.8292,6.8279,-0.0013
3_months_rate,1-Month,5.6336,5.6373,0.0038
3_months_rate,3-Month,7.7285,7.7257,-0.0028
3_months_rate,6-Month,10.1696,10.2193,0.0498
6_months_rate,Current,6.8292,6.8297,0.0005
6_months_rate,1-Month,5.6336,5.5735,-0.06
6_months_rate,3-Month,7.7285,7.7185,-0.01
6_months_rate,6-Month,10.1696,10.1016,-0.068
10_year_rate,Current,6.8292,6.8222,-0.007
10_year_rate,1-Month,5.6336,5.6332,-0.0004
10_year_rate,3-Month,7.7285,7.7296,0.0011
10_year_rate,6-Month,10.1696,10.1707,0.0012
unemployment_rate,Current,6.8292,6.832,0.0028
unemployment_rate,1-Month,5.6336,5.615,-0.0186
unemployment_rate,3-Month,7.7285,7.728,-0.0005
unemployment_rate,6-Month,10.1696,10.2084,0.0389
gdp_per_capita_diff1,Current,6.8292,6.8444,0.0152
gdp_per_capita_diff1,1-Month,5.6336,5.9701,0.3365
gdp_per_capita_diff1,3-Month,7.7285,7.9823,0.2538
gdp_per_capita_diff1,6-Month,10.1696,11.4065,1.2369
gdp_per_capita_pct_change1,Current,6.8292,6.7917,-0.0374
gdp_per_capita_pct_change1,1-Month,5.6336,5.6889,0.0554
gdp_per_capita_pct_change1,3-Month,7.7285,7.7634,0.0349
gdp_per_capita_pct_change1,6-Month,10.1696,10.5036,0.3341
