draw,rare_count,Current_IQR,Current_supp,Current_ent,Current_cov,Current_width,1M_IQR,1M_supp,1M_ent,1M_cov,1M_width,3M_IQR,3M_supp,3M_ent,3M_cov,3M_width,6M_IQR,6M_supp,6M_ent,6M_cov,6M_width
0,22,0.0944,5.2434,0.7558,89.231,9.029,0.073,7.6076,0.788,87.5,10.127,0.0708,10.0638,1.0603,85.484,14.936,0.0814,8.6847,0.7731,71.186,14.279
1,24,0.185,5.3449,0.8377,89.231,9.879,0.0837,8.2051,0.811,87.5,12.939,0.0811,10.5751,0.984,88.71,18.934,0.0851,10.3548,0.9484,72.881,18.296
2,23,0.1301,6.5087,0.7014,89.231,9.164,0.1033,6.0019,0.6616,87.5,8.05,0.0907,10.1754,0.8433,87.097,16.213,0.0639,9.1211,0.8951,71.186,16.156
3,19,0.1404,5.5833,0.72,89.231,9.656,0.0784,7.4496,0.7829,87.5,10.681,0.0861,10.4703,0.8364,88.71,18.224,0.1009,8.9005,0.9886,71.186,16.507
4,22,0.1465,4.6001,0.7155,89.231,8.893,0.0806,6.2454,0.6965,87.5,8.955,0.0853,9.8891,0.7079,85.484,15.195,0.0917,9.4536,1.2672,71.186,15.517
5,19,0.1044,4.4649,0.6831,89.231,7.899,0.0816,7.0956,0.7336,87.5,9.453,0.0838,10.4871,0.8308,88.71,18.94,0.0869,15.2077,0.9682,76.271,20.645
6,15,0.1204,5.662,0.7016,89.231,8.907,0.0908,7.8793,0.7321,87.5,10.75,0.0919,10.3471,0.8368,85.484,15.933,0.088,11.4719,0.929,72.881,19.402
7,17,0.1151,5.3824,1.3112,89.231,8.991,0.0826,7.8843,0.6809,87.5,9.991,0.0847,10.077,0.6765,85.484,12.832,0.0998,8.8893,0.8399,71.186,14.917
8,19,0.1447,4.4153,0.6906,89.231,8.379,0.072,8.5438,0.7932,87.5,13.242,0.0667,10.3055,1.0047,85.484,16.677,0.0701,10.5296,0.8552,72.881,15.035
9,15,0.141,4.3142,0.6605,89.231,8.486,0.1028,5.6736,0.8162,87.5,7.896,0.0865,10.4119,0.8197,87.097,16.917,0.0661,10.6193,0.9042,72.881,16.641
10,16,0.118,4.8608,0.7433,89.231,8.903,0.0726,9.9874,0.8107,87.5,13.611,0.0879,10.4101,0.7339,85.484,14.061,0.0667,10.3798,0.9252,72.881,16.137
