Horizon,Date,Probit_MAE_roll12,Ens_MAE_roll12,Window
Current,2020-01-01,,,Pre-COVID
Current,2020-02-01,,,COVID
Current,2020-03-01,,,COVID
Current,2020-04-01,,,COVID
Current,2020-05-01,,,COVID
Current,2020-06-01,33.3554,62.284,COVID
Current,2020-07-01,28.6262,53.5117,Post-COVID
Current,2020-08-01,25.0807,46.9348,Post-COVID
Current,2020-09-01,22.3226,41.8196,Post-COVID
Current,2020-10-01,20.1103,37.7233,Post-COVID
Current,2020-11-01,18.2826,34.3555,Post-COVID
Current,2020-12-01,16.7754,31.5658,Post-COVID
Current,2021-01-01,16.7869,24.4501,Post-COVID
Current,2021-02-01,16.7782,17.4914,Post-COVID
Current,2021-03-01,8.4775,17.0383,Post-COVID
Current,2021-04-01,0.1687,16.6603,Post-COVID
Current,2021-05-01,0.1546,8.3995,Post-COVID
Current,2021-06-01,0.1534,1.0412,Post-COVID
Current,2021-07-01,0.1429,1.0415,Post-COVID
Current,2021-08-01,0.1503,0.9987,Post-COVID
Current,2021-09-01,0.1605,0.9882,Post-COVID
Current,2021-10-01,0.1539,1.0044,Post-COVID
Current,2021-11-01,0.1603,1.0372,Post-COVID
Current,2021-12-01,0.1513,1.032,Post-COVID
Current,2022-01-01,0.1355,1.0337,Post-COVID
Current,2022-02-01,0.1307,0.9139,Post-COVID
Current,2022-03-01,0.1233,0.905,Post-COVID
Current,2022-04-01,0.1256,0.8903,Post-COVID
Current,2022-05-01,0.1471,0.9127,Post-COVID
Current,2022-06-01,0.1476,1.2947,Post-COVID
Current,2022-07-01,0.1557,1.4224,Post-COVID
Current,2022-08-01,0.1475,1.5218,Post-COVID
Current,2022-09-01,0.1282,1.5284,Post-COVID
Current,2022-10-01,0.121,1.5274,Post-COVID
Current,2022-11-01,0.1393,1.5362,Post-COVID
Current,2022-12-01,0.154,1.7428,Post-COVID
Current,2023-01-01,0.2054,1.8274,Post-COVID
Current,2023-02-01,0.2344,1.854,Post-COVID
Current,2023-03-01,0.2701,1.8408,Post-COVID
Current,2023-04-01,0.324,1.8282,Post-COVID
Current,2023-05-01,0.3668,1.8118,Post-COVID
Current,2023-06-01,0.4183,1.4852,Post-COVID
Current,2023-07-01,0.4697,1.3787,Post-COVID
Current,2023-08-01,0.507,1.3334,Post-COVID
