Horizon,Model,Month,MAE,N
Current,Ensemble (Ours),1,15.3557,6
Current,Ensemble (Ours),2,15.5282,6
Current,Ensemble (Ours),3,1.8319,6
Current,Ensemble (Ours),4,1.7324,6
Current,Ensemble (Ours),5,17.3148,6
Current,Ensemble (Ours),6,19.5641,5
Current,Ensemble (Ours),7,1.2176,5
Current,Ensemble (Ours),8,0.9621,5
Current,Ensemble (Ours),9,0.9311,5
Current,Ensemble (Ours),10,1.1792,5
Current,Ensemble (Ours),11,1.3093,5
Current,Ensemble (Ours),12,1.5,5
Current,Naive Mean,1,8.7274,6
Current,Naive Mean,2,8.8708,6
Current,Naive Mean,3,22.505,6
Current,Naive Mean,4,22.4283,6
Current,Naive Mean,5,8.5341,6
Current,Naive Mean,6,8.7914,5
Current,Naive Mean,7,8.8354,5
Current,Naive Mean,8,8.7674,5
Current,Naive Mean,9,8.7434,5
Current,Naive Mean,10,8.7914,5
Current,Naive Mean,11,8.6994,5
Current,Naive Mean,12,8.6794,5
Current,Probit (YC),1,0.1851,6
Current,Probit (YC),2,0.3189,6
Current,Probit (YC),3,16.8382,6
Current,Probit (YC),4,16.8342,6
Current,Probit (YC),5,0.521,6
Current,Probit (YC),6,0.3188,5
Current,Probit (YC),7,0.3353,5
Current,Probit (YC),8,0.4181,5
Current,Probit (YC),9,0.365,5
Current,Probit (YC),10,0.1834,5
Current,Probit (YC),11,0.2321,5
Current,Probit (YC),12,0.2884,5
Current,Single-Stage XGB,1,2.8811,6
Current,Single-Stage XGB,2,2.4051,6
Current,Single-Stage XGB,3,8.8138,6
Current,Single-Stage XGB,4,3.5395,6
Current,Single-Stage XGB,5,5.1472,6
Current,Single-Stage XGB,6,1.5633,5
Current,Single-Stage XGB,7,0.5189,5
Current,Single-Stage XGB,8,0.535,5
Current,Single-Stage XGB,9,0.3295,5
Current,Single-Stage XGB,10,0.4995,5
Current,Single-Stage XGB,11,0.9303,5
Current,Single-Stage XGB,12,0.9437,5
1-Month,Ensemble (Ours),1,8.2704,6
1-Month,Ensemble (Ours),2,11.2575,6
1-Month,Ensemble (Ours),3,6.0092,6
1-Month,Ensemble (Ours),4,15.8433,6
1-Month,Ensemble (Ours),5,6.0734,6
1-Month,Ensemble (Ours),6,9.8455,5
1-Month,Ensemble (Ours),7,2.285,5
1-Month,Ensemble (Ours),8,0.7754,5
1-Month,Ensemble (Ours),9,0.7642,5
1-Month,Ensemble (Ours),10,0.6716,5
1-Month,Ensemble (Ours),11,0.8196,5
1-Month,Ensemble (Ours),12,1.1305,5
1-Month,Naive Mean,1,8.8699,6
1-Month,Naive Mean,2,22.5044,6
1-Month,Naive Mean,3,22.4277,6
1-Month,Naive Mean,4,8.5332,6
1-Month,Naive Mean,5,8.5432,6
1-Month,Naive Mean,6,8.8346,5
1-Month,Naive Mean,7,8.7666,5
1-Month,Naive Mean,8,8.7426,5
1-Month,Naive Mean,9,8.7906,5
1-Month,Naive Mean,10,8.6986,5
1-Month,Naive Mean,11,8.6786,5
1-Month,Naive Mean,12,8.7346,5
1-Month,Probit (YC),1,0.522,6
1-Month,Probit (YC),2,16.9498,6
1-Month,Probit (YC),3,16.9458,6
1-Month,Probit (YC),4,0.6709,6
1-Month,Probit (YC),5,0.6788,6
1-Month,Probit (YC),6,0.5444,5
1-Month,Probit (YC),7,0.645,5
1-Month,Probit (YC),8,0.6406,5
