Window,Eval_Start,Eval_End,N_train,N_eval,Horizon,MAE_Naive,MAE_Probit,MAE_XGB,MAE_Chain,Chain_vs_XGB
Dot-Com/9-11,2001-03-01,2003-12-31,409,34,Current,11.0756,7.6826,6.5429,6.5429,0.0
Dot-Com/9-11,2001-03-01,2003-12-31,409,34,1-Month,10.8852,6.9157,6.6295,6.7965,0.167
Dot-Com/9-11,2001-03-01,2003-12-31,409,34,3-Month,10.2679,5.0918,4.8237,5.1069,0.2832
Dot-Com/9-11,2001-03-01,2003-12-31,409,34,6-Month,9.4809,2.481,2.9602,2.8337,-0.1264
GFC,2007-10-01,2010-12-31,488,39,Current,38.9058,39.0659,13.0438,13.0438,0.0
GFC,2007-10-01,2010-12-31,488,39,1-Month,38.9387,39.0356,12.3734,12.7948,0.4214
GFC,2007-10-01,2010-12-31,488,39,3-Month,39.1707,38.8058,36.9274,21.3729,-15.5545
GFC,2007-10-01,2010-12-31,488,39,6-Month,37.2842,35.5685,31.7613,28.7836,-2.9777
COVID,2020-01-01,2023-12-31,635,48,Current,12.2122,4.4236,3.2235,3.2235,0.0
COVID,2020-01-01,2023-12-31,635,48,1-Month,12.2048,4.5677,4.5414,4.1928,-0.3486
COVID,2020-01-01,2023-12-31,635,48,3-Month,10.6379,3.0073,16.4597,9.0583,-7.4014
COVID,2020-01-01,2023-12-31,635,48,6-Month,9.0829,2.0828,53.8957,49.2563,-4.6394
