,Current,1-Month,3-Month,6-Month
share_price,0.026225337071326592,0.06941962933771817,0.25848659750670233,0.8465437404484272
OECD_CLI_index,1.0347808443712871,0.790289315459856,0.917664572448008,2.7174321803795447
CSI_index,0.30665079069274387,0.8447314080505202,0.6178724092343497,3.291554357405802
gdp_per_capita_residual,0.00014380053550802074,0.0009377386127413481,0.0017311690929924445,0.0021534558141932136
PPI_diff1,0.08240967388783556,0.23694932219936138,0.17426272481004923,2.2477421801049444
1_year_rate,0.09455481742643686,1.07352162127044,0.3227548647845426,1.864408499228325
3_months_rate,0.1266378215460141,0.564783222055248,0.2720224162296701,1.8842015623964385
6_months_rate,0.195741580296142,0.7762049234819618,0.22514017348738324,1.9110392198657924
10_year_rate,0.06315746683554355,0.4182412508501582,0.14567132978716335,2.769291798638728
unemployment_rate,0.06681053671919689,0.27498511852018603,0.21239577525923875,1.6310565142353972
gdp_per_capita_diff1,0.1520721887944895,0.802402004890677,0.8327681287714321,4.2389346193103545
gdp_per_capita_pct_change1,0.11329941913410572,0.6480116057264762,1.0171422880623064,4.364495982111381
