Feature,Current,1M,3M,6M
OECD_CLI_index_trend,1.1066,0.4553,0.8828,0.2906
INDPRO_diff3,1.5497,0.3305,0.1744,0.2353
gdp_per_capita_residual,0.2389,0.6547,0.5965,0.7993
OECD_CLI_index_residual,0.1631,0.1236,0.7083,0.8814
gdp_per_capita_diff3,0.3947,0.3256,0.3818,0.4774
gdp_per_capita,0.0422,0.1619,0.1928,1.1628
10_year_rate_residual,0.2027,0.3074,0.6228,0.3865
OECD_CLI_index_diff1,0.1979,0.4394,0.4322,0.2894
gdp_per_capita_diff1,0.4634,0.4758,0.2987,0.1117
OECD_CLI_index_pct_change1,0.2233,0.3171,0.3945,0.3531
share_price,0.2661,0.049,0.6098,0.2212
gdp_per_capita_pct_change1,0.4026,0.3005,0.167,0.128
