Indicator,MAE_AR1,MAE_Naive,Pearson_r,Improvement,N_valid
share_price,4.0806,109.4586,0.9616,105.378,65
OECD_CLI_index,0.2918,1.0349,0.8701,0.7431,65
CSI_index,4.0565,16.3982,0.8872,12.3417,65
gdp_per_capita_residual,332.9582,3308.3213,0.979,2975.363,65
PPI_diff1,8.6605,10.4015,0.5867,1.7411,65
1_year_rate,0.1534,2.5592,0.9931,2.4058,65
3_months_rate,0.1299,2.3386,0.9942,2.2087,65
6_months_rate,0.1367,2.3095,0.9939,2.1728,65
10_year_rate,0.1835,3.474,0.9861,3.2905,65
unemployment_rate,0.4035,2.1457,0.8119,1.7422,65
gdp_per_capita_diff1,173.9349,265.8814,0.5111,91.9465,65
gdp_per_capita_pct_change1,0.0028,0.004,0.5114,0.0013,65
