domain,model,horizon,arm,sw_cov,q_cov,d_cov,sw_w,q_w,width_ratio,strict_win
Climate,gradboost,region-month,quantile_targeted,98.77,97.12,-1.65,19.36,17.867,0.923,False
Climate,gradboost,region-month,quantile_targeted_k0.75,98.77,97.12,-1.65,19.36,17.867,0.923,False
Climate,gradboost,region-month,quantile_targeted_k1.0,98.77,97.12,-1.65,19.36,17.867,0.923,False
Climate,gradboost,region-month,quantile_targeted_k1.5,98.77,97.12,-1.65,19.36,17.867,0.923,False
Climate,ridge,region-month,quantile_targeted,99.59,97.94,-1.65,17.774,16.026,0.902,False
Climate,ridge,region-month,quantile_targeted_k0.75,99.59,97.94,-1.65,17.774,16.026,0.902,False
Climate,ridge,region-month,quantile_targeted_k1.0,99.59,97.94,-1.65,17.774,16.026,0.902,False
Climate,ridge,region-month,quantile_targeted_k1.5,99.59,97.94,-1.65,17.774,16.026,0.902,False
Healthcare,gradboost,30-day,quantile_targeted,93.84,93.84,0.0,25.736,25.736,1.0,False
Healthcare,gradboost,30-day,quantile_targeted_k0.75,93.84,93.84,0.0,25.736,25.736,1.0,False
Healthcare,gradboost,30-day,quantile_targeted_k1.0,93.84,93.84,0.0,25.736,25.736,1.0,False
Healthcare,gradboost,30-day,quantile_targeted_k1.5,93.84,93.84,0.0,25.736,25.736,1.0,False
Healthcare,ridge,30-day,quantile_targeted,92.47,92.47,0.0,25.261,25.261,1.0,False
Healthcare,ridge,30-day,quantile_targeted_k0.75,92.47,92.47,0.0,25.261,25.261,1.0,False
Healthcare,ridge,30-day,quantile_targeted_k1.0,92.47,92.47,0.0,25.261,25.261,1.0,False
Healthcare,ridge,30-day,quantile_targeted_k1.5,92.47,92.47,0.0,25.261,25.261,1.0,False
Recession,stacking-chain,1M,quantile_targeted,96.88,96.88,0.0,92.111,92.111,1.0,False
Recession,stacking-chain,1M,quantile_targeted_k0.75,96.88,96.88,0.0,92.111,92.111,1.0,False
Recession,stacking-chain,1M,quantile_targeted_k1.0,96.88,96.88,0.0,92.111,92.111,1.0,False
Recession,stacking-chain,1M,quantile_targeted_k1.5,96.88,96.88,0.0,92.111,92.111,1.0,False
Recession,stacking-chain,3M,quantile_targeted,95.16,95.16,0.0,109.113,109.113,1.0,False
Recession,stacking-chain,3M,quantile_targeted_k0.75,95.16,95.16,0.0,109.113,109.113,1.0,False
Recession,stacking-chain,3M,quantile_targeted_k1.0,95.16,95.16,0.0,109.113,109.113,1.0,False
Recession,stacking-chain,3M,quantile_targeted_k1.5,95.16,95.16,0.0,109.113,109.113,1.0,False
Recession,stacking-chain,6M,quantile_targeted,96.61,96.61,0.0,123.864,123.864,1.0,False
Recession,stacking-chain,6M,quantile_targeted_k0.75,96.61,96.61,0.0,123.864,123.864,1.0,False
Recession,stacking-chain,6M,quantile_targeted_k1.0,96.61,96.61,0.0,123.864,123.864,1.0,False
Recession,stacking-chain,6M,quantile_targeted_k1.5,96.61,96.61,0.0,123.864,123.864,1.0,False
Recession,stacking-chain,Current,quantile_targeted,93.85,93.85,0.0,108.692,108.692,1.0,False
Recession,stacking-chain,Current,quantile_targeted_k0.75,93.85,93.85,0.0,108.692,108.692,1.0,False
Recession,stacking-chain,Current,quantile_targeted_k1.0,93.85,93.85,0.0,108.692,108.692,1.0,False
Recession,stacking-chain,Current,quantile_targeted_k1.5,93.85,93.85,0.0,108.692,108.692,1.0,False
