domain,model,horizon,arm,n,coverage,wilson_lo,wilson_hi,boot_lo,boot_hi,mean_width,width_vs_base,sel_n,sel_support_p95_p5,sel_q90,sel_q95,sel_q99,sel_median,sel_mean
Recession,stacking-chain,Current,pooled_trailing,65,93.85,85.22,97.58,90.77,100.0,21.704,1.0,,,,,,,
Recession,stacking-chain,Current,support_width,65,93.85,85.22,97.58,90.77,100.0,108.692,5.008,254.0,80.693,52.4098,80.693,92.2137,0.4316,12.4831
Recession,stacking-chain,Current,quantile_targeted,65,93.85,85.22,97.58,90.77,100.0,108.692,5.008,254.0,80.692,52.4098,80.693,92.2137,0.1509,11.0389
Recession,stacking-chain,Current,quantile_targeted_k0.75,65,93.85,85.22,97.58,90.77,100.0,108.692,5.008,254.0,80.692,52.4098,80.693,92.2137,0.1509,11.0389
Recession,stacking-chain,Current,quantile_targeted_k1.0,65,93.85,85.22,97.58,90.77,100.0,108.692,5.008,254.0,80.692,52.4098,80.693,92.2137,0.1509,11.0389
Recession,stacking-chain,Current,quantile_targeted_k1.5,65,93.85,85.22,97.58,90.77,100.0,108.692,5.008,254.0,80.692,52.4098,80.693,92.2137,0.1509,11.0389
Recession,stacking-chain,1M,pooled_trailing,64,89.06,79.1,94.6,82.81,100.0,21.472,1.0,,,,,,,
Recession,stacking-chain,1M,support_width,64,96.88,89.3,99.14,95.31,100.0,92.111,4.29,254.0,83.5048,48.6184,83.505,96.0154,0.4336,12.8795
Recession,stacking-chain,1M,quantile_targeted,64,96.88,89.3,99.14,95.31,100.0,92.111,4.29,254.0,83.5041,48.6184,83.505,96.0154,0.1526,11.3976
Recession,stacking-chain,1M,quantile_targeted_k0.75,64,96.88,89.3,99.14,95.31,100.0,92.111,4.29,254.0,83.5041,48.6184,83.505,96.0154,0.1526,11.3976
Recession,stacking-chain,1M,quantile_targeted_k1.0,64,96.88,89.3,99.14,95.31,100.0,92.111,4.29,254.0,83.5041,48.6184,83.505,96.0154,0.1526,11.3976
Recession,stacking-chain,1M,quantile_targeted_k1.5,64,96.88,89.3,99.14,95.31,100.0,92.111,4.29,254.0,83.5041,48.6184,83.505,96.0154,0.1526,11.3976
Recession,stacking-chain,3M,pooled_trailing,62,90.32,80.45,95.49,83.87,100.0,31.883,1.0,,,,,,,
Recession,stacking-chain,3M,support_width,62,95.16,86.71,98.34,91.94,100.0,109.113,3.422,254.0,71.3596,56.6006,71.3598,86.4792,0.4728,12.6312
Recession,stacking-chain,3M,quantile_targeted,62,95.16,86.71,98.34,91.94,100.0,109.113,3.422,254.0,71.359,56.6006,71.3598,86.4792,0.1758,10.851
Recession,stacking-chain,3M,quantile_targeted_k0.75,62,95.16,86.71,98.34,91.94,100.0,109.113,3.422,254.0,71.359,56.6006,71.3598,86.4792,0.1758,10.851
Recession,stacking-chain,3M,quantile_targeted_k1.0,62,95.16,86.71,98.34,91.94,100.0,109.113,3.422,254.0,71.359,56.6006,71.3598,86.4792,0.1758,10.851
Recession,stacking-chain,3M,quantile_targeted_k1.5,62,95.16,86.71,98.34,91.94,100.0,109.113,3.422,254.0,71.359,56.6006,71.3598,86.4792,0.1758,10.851
Recession,stacking-chain,6M,pooled_trailing,59,84.75,73.48,91.76,72.88,98.31,53.279,1.0,,,,,,,
Recession,stacking-chain,6M,support_width,59,96.61,88.46,99.07,89.83,100.0,123.864,2.325,254.0,86.4481,68.7195,86.4483,99.4346,0.7436,16.3977
Recession,stacking-chain,6M,quantile_targeted,59,96.61,88.46,99.07,89.83,100.0,123.864,2.325,254.0,86.4455,68.7195,86.4483,99.4346,0.2022,13.7171
Recession,stacking-chain,6M,quantile_targeted_k0.75,59,96.61,88.46,99.07,89.83,100.0,123.864,2.325,254.0,86.4455,68.7195,86.4483,99.4346,0.2022,13.7171
Recession,stacking-chain,6M,quantile_targeted_k1.0,59,96.61,88.46,99.07,89.83,100.0,123.864,2.325,254.0,86.4455,68.7195,86.4483,99.4346,0.2022,13.7171
Recession,stacking-chain,6M,quantile_targeted_k1.5,59,96.61,88.46,99.07,89.83,100.0,123.864,2.325,254.0,86.4455,68.7195,86.4483,99.4346,0.2022,13.7171
Healthcare,ridge,30-day,pooled_trailing,146,88.36,82.14,92.6,83.56,93.15,19.869,1.0,,,,,,,
Healthcare,ridge,30-day,support_width,146,92.47,87.01,95.74,88.36,96.58,25.261,1.271,254.0,16.5879,13.2384,16.7643,26.0481,3.4032,5.544
Healthcare,ridge,30-day,quantile_targeted,146,92.47,87.01,95.74,88.36,96.58,25.261,1.271,254.0,16.4496,13.2384,16.7643,26.0481,3.255,5.3624
Healthcare,ridge,30-day,quantile_targeted_k0.75,146,92.47,87.01,95.74,88.36,96.58,25.261,1.271,254.0,16.4496,13.2384,16.7643,26.0481,3.255,5.3624
Healthcare,ridge,30-day,quantile_targeted_k1.0,146,92.47,87.01,95.74,88.36,96.58,25.261,1.271,254.0,16.4496,13.2384,16.7643,26.0481,3.255,5.3624
Healthcare,ridge,30-day,quantile_targeted_k1.5,146,92.47,87.01,95.74,88.36,96.58,25.261,1.271,254.0,16.4496,13.2384,16.7643,26.0481,3.255,5.3624
Healthcare,gradboost,30-day,pooled_trailing,146,90.41,84.55,94.2,86.28,95.21,21.035,1.0,,,,,,,
Healthcare,gradboost,30-day,support_width,146,93.84,88.7,96.72,89.73,97.26,25.736,1.224,254.0,17.5631,14.0555,17.7437,26.9267,3.9688,5.8979
Healthcare,gradboost,30-day,quantile_targeted,146,93.84,88.7,96.72,89.73,97.26,25.736,1.224,254.0,17.2972,14.0555,17.7437,26.9267,3.8762,5.792
Healthcare,gradboost,30-day,quantile_targeted_k0.75,146,93.84,88.7,96.72,89.73,97.26,25.736,1.224,254.0,17.2972,14.0555,17.7437,26.9267,3.8762,5.792
Healthcare,gradboost,30-day,quantile_targeted_k1.0,146,93.84,88.7,96.72,89.73,97.26,25.736,1.224,254.0,17.2972,14.0555,17.7437,26.9267,3.8762,5.792
Healthcare,gradboost,30-day,quantile_targeted_k1.5,146,93.84,88.7,96.72,89.73,97.26,25.736,1.224,254.0,17.2972,14.0555,17.7437,26.9267,3.8762,5.792
Climate,ridge,region-month,pooled_trailing,243,90.95,86.67,93.95,86.42,94.65,10.349,1.0,,,,,,,
Climate,ridge,region-month,support_width,243,99.59,97.71,99.93,98.77,100.0,17.774,1.718,254.0,14.0927,10.0695,14.1385,25.4243,3.0384,4.6417
Climate,ridge,region-month,quantile_targeted,243,97.94,95.27,99.12,95.06,100.0,16.026,1.549,254.0,13.8796,10.0695,14.1385,25.4243,2.66,4.3201
Climate,ridge,region-month,quantile_targeted_k0.75,243,97.94,95.27,99.12,95.06,100.0,16.026,1.549,254.0,13.8796,10.0695,14.1385,25.4243,2.66,4.3201
Climate,ridge,region-month,quantile_targeted_k1.0,243,97.94,95.27,99.12,95.06,100.0,16.026,1.549,254.0,13.8796,10.0695,14.1385,25.4243,2.66,4.3201
Climate,ridge,region-month,quantile_targeted_k1.5,243,97.94,95.27,99.12,95.06,100.0,16.026,1.549,254.0,13.8796,10.0695,14.1385,25.4243,2.66,4.3201
Climate,gradboost,region-month,pooled_trailing,243,90.95,86.67,93.95,86.42,94.65,10.793,1.0,,,,,,,
Climate,gradboost,region-month,support_width,243,98.77,96.43,99.58,96.71,100.0,19.36,1.794,254.0,14.0716,10.7535,14.1452,25.8453,3.2584,4.9741
Climate,gradboost,region-month,quantile_targeted,243,97.12,94.17,98.6,94.65,99.18,17.867,1.655,254.0,13.8763,10.7535,14.1452,25.8453,2.6588,4.505
Climate,gradboost,region-month,quantile_targeted_k0.75,243,97.12,94.17,98.6,94.65,99.18,17.867,1.655,254.0,13.8763,10.7535,14.1452,25.8453,2.6588,4.505
Climate,gradboost,region-month,quantile_targeted_k1.0,243,97.12,94.17,98.6,94.65,99.18,17.867,1.655,254.0,13.8763,10.7535,14.1452,25.8453,2.6588,4.505
Climate,gradboost,region-month,quantile_targeted_k1.5,243,97.12,94.17,98.6,94.65,99.18,17.867,1.655,254.0,13.8763,10.7535,14.1452,25.8453,2.6588,4.505
