domain,model,horizon,arm,n,coverage,wilson_lo,wilson_hi,boot_lo,boot_hi,mean_width,width_vs_base,cal_q90,cal_n,aug_applied,aug_xi,aug_n_synth,aug_reason
Recession,stacking-chain,Current,pooled_trailing,65,93.85,85.22,97.58,90.77,100.0,21.704,1.0,9.6406,254,,,,
Recession,stacking-chain,Current,support_width,65,93.85,85.22,97.58,90.77,100.0,108.692,5.008,52.4098,254,,,,
Recession,stacking-chain,Current,augmented_trailing,65,93.85,85.22,97.58,90.77,100.0,38.956,1.795,19.1867,305,True,0.5086,51.0,ok
Recession,stacking-chain,Current,augmented_selected_f0.1,65,93.85,85.22,97.58,90.77,100.0,138.555,6.384,69.8398,279,True,-1.0503,25.0,ok
Recession,stacking-chain,Current,augmented_selected_f0.2,65,93.85,85.22,97.58,90.77,100.0,153.599,7.077,76.3778,305,True,-1.0503,51.0,ok
Recession,stacking-chain,Current,augmented_selected_f0.4,65,93.85,85.22,97.58,90.77,100.0,160.554,7.397,79.8029,356,True,-1.0503,102.0,ok
Recession,stacking-chain,1M,pooled_trailing,64,89.06,79.1,94.6,82.81,100.0,21.472,1.0,5.8668,254,,,,
Recession,stacking-chain,1M,support_width,64,96.88,89.3,99.14,95.31,100.0,92.111,4.29,48.6184,254,,,,
Recession,stacking-chain,1M,augmented_trailing,64,90.62,81.02,95.63,85.94,100.0,39.149,1.823,16.2505,305,True,1.6113,51.0,ok
Recession,stacking-chain,1M,augmented_selected_f0.1,64,96.88,89.3,99.14,95.31,100.0,92.111,4.29,48.6184,254,False,-1.1204,0.0,bounded tail with endpoint <= observed max (99.538 <= 99.538)
Recession,stacking-chain,1M,augmented_selected_f0.2,64,96.88,89.3,99.14,95.31,100.0,92.111,4.29,48.6184,254,False,-1.1204,0.0,bounded tail with endpoint <= observed max (99.538 <= 99.538)
Recession,stacking-chain,1M,augmented_selected_f0.4,64,96.88,89.3,99.14,95.31,100.0,92.111,4.29,48.6184,254,False,-1.1204,0.0,bounded tail with endpoint <= observed max (99.538 <= 99.538)
Recession,stacking-chain,3M,pooled_trailing,62,90.32,80.45,95.49,83.87,100.0,31.883,1.0,13.4125,254,,,,
Recession,stacking-chain,3M,support_width,62,95.16,86.71,98.34,91.94,100.0,109.113,3.422,56.6006,254,,,,
Recession,stacking-chain,3M,augmented_trailing,62,91.94,82.47,96.51,87.1,100.0,53.519,1.679,26.0692,305,True,0.3948,51.0,ok
Recession,stacking-chain,3M,augmented_selected_f0.1,62,95.16,86.71,98.34,91.94,100.0,122.896,3.855,62.4155,279,True,-0.7705,25.0,ok
Recession,stacking-chain,3M,augmented_selected_f0.2,62,95.16,86.71,98.34,91.94,100.0,135.822,4.26,68.6671,305,True,-0.7705,51.0,ok
Recession,stacking-chain,3M,augmented_selected_f0.4,62,95.16,86.71,98.34,91.94,100.0,140.819,4.417,70.3962,356,True,-0.7705,102.0,ok
Recession,stacking-chain,6M,pooled_trailing,59,84.75,73.48,91.76,72.88,98.31,53.279,1.0,20.0485,254,,,,
Recession,stacking-chain,6M,support_width,59,96.61,88.46,99.07,89.83,100.0,123.864,2.325,68.7195,254,,,,
Recession,stacking-chain,6M,augmented_trailing,59,91.53,81.65,96.33,83.05,98.31,75.534,1.418,38.4271,305,True,0.1363,51.0,ok
