domain,model,horizon,arm,sw_cov,aug_cov,d_cov,sw_w,aug_w,width_ratio,sw_q90,aug_q90,applied,beats
Climate,gradboost,region-month,augmented_trailing,98.77,95.06,-3.71,19.36,12.597,0.651,10.7535,7.1429,True,False
Climate,gradboost,region-month,augmented_selected_f0.1,98.77,99.18,0.41,19.36,21.215,1.096,10.7535,12.4168,True,False
Climate,gradboost,region-month,augmented_selected_f0.2,98.77,99.59,0.82,19.36,23.302,1.204,10.7535,13.7327,True,False
Climate,gradboost,region-month,augmented_selected_f0.4,98.77,99.59,0.82,19.36,25.454,1.315,10.7535,14.2841,True,False
Climate,ridge,region-month,augmented_trailing,99.59,94.65,-4.94,17.774,11.301,0.636,10.0695,6.1295,True,False
Climate,ridge,region-month,augmented_selected_f0.1,99.59,99.59,0.0,17.774,19.526,1.099,10.0695,11.3382,True,False
Climate,ridge,region-month,augmented_selected_f0.2,99.59,99.59,0.0,17.774,21.717,1.222,10.0695,12.963,True,False
Climate,ridge,region-month,augmented_selected_f0.4,99.59,100.0,0.41,17.774,23.833,1.341,10.0695,13.7171,True,False
Healthcare,gradboost,30-day,augmented_trailing,93.84,94.52,0.68,25.736,25.783,1.002,14.0555,13.9188,True,False
Healthcare,gradboost,30-day,augmented_selected_f0.1,93.84,95.21,1.37,25.736,28.684,1.115,14.0555,15.1159,True,False
Healthcare,gradboost,30-day,augmented_selected_f0.2,93.84,95.89,2.05,25.736,31.654,1.23,14.0555,16.8872,True,False
Healthcare,gradboost,30-day,augmented_selected_f0.4,93.84,96.58,2.74,25.736,33.522,1.303,14.0555,17.5163,True,False
Healthcare,ridge,30-day,augmented_trailing,92.47,92.47,0.0,25.261,23.923,0.947,13.2384,12.4454,True,False
Healthcare,ridge,30-day,augmented_selected_f0.1,92.47,95.21,2.74,25.261,27.512,1.089,13.2384,14.6439,True,False
Healthcare,ridge,30-day,augmented_selected_f0.2,92.47,97.26,4.79,25.261,30.582,1.211,13.2384,16.2522,True,False
Healthcare,ridge,30-day,augmented_selected_f0.4,92.47,97.95,5.48,25.261,32.397,1.282,13.2384,17.0656,True,False
Recession,stacking-chain,1M,augmented_trailing,96.88,90.62,-6.26,92.111,39.149,0.425,48.6184,16.2505,True,False
Recession,stacking-chain,1M,augmented_selected_f0.1,96.88,96.88,0.0,92.111,92.111,1.0,48.6184,48.6184,False,False
Recession,stacking-chain,1M,augmented_selected_f0.2,96.88,96.88,0.0,92.111,92.111,1.0,48.6184,48.6184,False,False
Recession,stacking-chain,1M,augmented_selected_f0.4,96.88,96.88,0.0,92.111,92.111,1.0,48.6184,48.6184,False,False
Recession,stacking-chain,3M,augmented_trailing,95.16,91.94,-3.22,109.113,53.519,0.49,56.6006,26.0692,True,False
Recession,stacking-chain,3M,augmented_selected_f0.1,95.16,95.16,0.0,109.113,122.896,1.126,56.6006,62.4155,True,False
Recession,stacking-chain,3M,augmented_selected_f0.2,95.16,95.16,0.0,109.113,135.822,1.245,56.6006,68.6671,True,False
Recession,stacking-chain,3M,augmented_selected_f0.4,95.16,95.16,0.0,109.113,140.819,1.291,56.6006,70.3962,True,False
Recession,stacking-chain,6M,augmented_trailing,96.61,91.53,-5.08,123.864,75.534,0.61,68.7195,38.4271,True,False
Recession,stacking-chain,6M,augmented_selected_f0.1,96.61,96.61,0.0,123.864,147.498,1.191,68.7195,76.8133,True,False
Recession,stacking-chain,6M,augmented_selected_f0.2,96.61,96.61,0.0,123.864,166.408,1.343,68.7195,85.2342,True,False
Recession,stacking-chain,6M,augmented_selected_f0.4,96.61,96.61,0.0,123.864,173.76,1.403,68.7195,88.2577,True,False
Recession,stacking-chain,Current,augmented_trailing,93.85,93.85,0.0,108.692,38.956,0.358,52.4098,19.1867,True,False
Recession,stacking-chain,Current,augmented_selected_f0.1,93.85,93.85,0.0,108.692,138.555,1.275,52.4098,69.8398,True,False
Recession,stacking-chain,Current,augmented_selected_f0.2,93.85,93.85,0.0,108.692,153.599,1.413,52.4098,76.3778,True,False
Recession,stacking-chain,Current,augmented_selected_f0.4,93.85,93.85,0.0,108.692,160.554,1.477,52.4098,79.8029,True,False
