domain,model,horizon,threshold_q,applied,xi,coverage,width,base_cov,base_w,sel_cov,sel_w,beats_base,reason
Recession,stacking-chain,Current,0.7,True,1.4661,93.85,28.286,93.85,21.704,93.85,108.692,False,ok
Recession,stacking-chain,Current,0.75,True,1.0115,93.85,31.104,93.85,21.704,93.85,108.692,False,ok
Recession,stacking-chain,Current,0.8,True,0.5086,93.85,38.956,93.85,21.704,93.85,108.692,False,ok
Recession,stacking-chain,Current,0.85,True,0.082,93.85,50.922,93.85,21.704,93.85,108.692,False,ok
Recession,stacking-chain,Current,0.9,True,-0.1273,93.85,66.592,93.85,21.704,93.85,108.692,False,ok
Recession,stacking-chain,1M,0.7,True,1.935,90.62,27.875,89.06,21.472,96.88,92.111,True,ok
Recession,stacking-chain,1M,0.75,True,1.9678,90.62,32.955,89.06,21.472,96.88,92.111,True,ok
Recession,stacking-chain,1M,0.8,True,1.6113,90.62,39.149,89.06,21.472,96.88,92.111,True,ok
Recession,stacking-chain,1M,0.85,True,0.2862,90.62,55.871,89.06,21.472,96.88,92.111,True,ok
Recession,stacking-chain,1M,0.9,True,-0.613,95.31,80.741,89.06,21.472,96.88,92.111,True,ok
Recession,stacking-chain,3M,0.7,True,2.2573,90.32,40.127,90.32,31.883,95.16,109.113,False,ok
Recession,stacking-chain,3M,0.75,True,1.1023,91.94,41.685,90.32,31.883,95.16,109.113,True,ok
Recession,stacking-chain,3M,0.8,True,0.3948,91.94,53.519,90.32,31.883,95.16,109.113,True,ok
Recession,stacking-chain,3M,0.85,True,-0.0055,91.94,66.309,90.32,31.883,95.16,109.113,True,ok
Recession,stacking-chain,3M,0.9,True,-0.2283,95.16,84.787,90.32,31.883,95.16,109.113,True,ok
Recession,stacking-chain,6M,0.7,True,2.2354,89.83,55.093,84.75,53.279,96.61,123.864,True,ok
Recession,stacking-chain,6M,0.75,True,1.3343,89.83,57.713,84.75,53.279,96.61,123.864,True,ok
Recession,stacking-chain,6M,0.8,True,0.1363,91.53,75.534,84.75,53.279,96.61,123.864,True,ok
Recession,stacking-chain,6M,0.85,True,-1.1225,96.61,133.132,84.75,53.279,96.61,123.864,True,ok
Recession,stacking-chain,6M,0.9,True,-1.4338,96.61,152.634,84.75,53.279,96.61,123.864,True,ok
Healthcare,ridge,30-day,0.7,True,0.1578,91.1,22.354,88.36,19.869,92.47,25.261,True,ok
Healthcare,ridge,30-day,0.75,True,0.1357,91.78,23.287,88.36,19.869,92.47,25.261,True,ok
Healthcare,ridge,30-day,0.8,True,0.2019,92.47,23.923,88.36,19.869,92.47,25.261,True,ok
Healthcare,ridge,30-day,0.85,True,0.2109,93.15,25.9,88.36,19.869,92.47,25.261,True,ok
Healthcare,ridge,30-day,0.9,True,0.0845,95.21,27.841,88.36,19.869,92.47,25.261,True,ok
Healthcare,gradboost,30-day,0.7,True,-0.0507,93.15,24.143,90.41,21.035,93.84,25.736,True,ok
Healthcare,gradboost,30-day,0.75,True,0.0725,93.15,24.525,90.41,21.035,93.84,25.736,True,ok
Healthcare,gradboost,30-day,0.8,True,-0.0218,94.52,25.783,90.41,21.035,93.84,25.736,True,ok
Healthcare,gradboost,30-day,0.85,True,-0.0181,94.52,27.662,90.41,21.035,93.84,25.736,True,ok
Healthcare,gradboost,30-day,0.9,True,-0.0598,95.21,30.052,90.41,21.035,93.84,25.736,True,ok
Climate,ridge,region-month,0.7,True,0.3286,93.42,10.803,90.95,10.349,99.59,17.774,True,ok
Climate,ridge,region-month,0.75,True,0.3708,93.83,10.997,90.95,10.349,99.59,17.774,True,ok
Climate,ridge,region-month,0.8,True,0.3738,94.65,11.301,90.95,10.349,99.59,17.774,True,ok
Climate,ridge,region-month,0.85,True,0.4366,95.47,11.599,90.95,10.349,99.59,17.774,True,ok
Climate,ridge,region-month,0.9,True,0.8662,96.3,12.216,90.95,10.349,99.59,17.774,True,ok
Climate,gradboost,region-month,0.7,True,0.2569,93.83,12.002,90.95,10.793,98.77,19.36,True,ok
Climate,gradboost,region-month,0.75,True,0.278,94.65,12.229,90.95,10.793,98.77,19.36,True,ok
Climate,gradboost,region-month,0.8,True,0.2884,95.06,12.597,90.95,10.793,98.77,19.36,True,ok
Climate,gradboost,region-month,0.85,True,0.2519,95.06,13.358,90.95,10.793,98.77,19.36,True,ok
Climate,gradboost,region-month,0.9,True,0.5601,95.47,14.345,90.95,10.793,98.77,19.36,True,ok
