domain,model,horizon,synth_frac,n_seeds,cov_mean,cov_sd,width_mean,base_cov,base_w,sel_cov,sel_w,width_vs_base,beats_base
Recession,stacking-chain,Current,0.05,5,93.85,0.0,27.558,93.85,21.704,93.85,108.692,1.27,False
Recession,stacking-chain,Current,0.1,5,93.85,0.0,32.81,93.85,21.704,93.85,108.692,1.512,False
Recession,stacking-chain,Current,0.2,5,93.85,0.0,39.84,93.85,21.704,93.85,108.692,1.836,False
Recession,stacking-chain,Current,0.35,5,93.85,0.0,47.805,93.85,21.704,93.85,108.692,2.203,False
Recession,stacking-chain,Current,0.5,5,93.85,0.0,53.26,93.85,21.704,93.85,108.692,2.454,False
Recession,stacking-chain,Current,0.75,5,93.85,0.0,62.225,93.85,21.704,93.85,108.692,2.867,False
Recession,stacking-chain,Current,1.0,5,93.85,0.0,68.104,93.85,21.704,93.85,108.692,3.138,False
Recession,stacking-chain,1M,0.05,5,90.0,0.765,28.971,89.06,21.472,96.88,92.111,1.349,True
Recession,stacking-chain,1M,0.1,5,90.62,0.0,34.706,89.06,21.472,96.88,92.111,1.616,True
Recession,stacking-chain,1M,0.2,5,90.62,0.0,43.929,89.06,21.472,96.88,92.111,2.046,True
Recession,stacking-chain,1M,0.35,5,90.62,0.0,54.043,89.06,21.472,96.88,92.111,2.517,True
Recession,stacking-chain,1M,0.5,5,91.88,1.822,57.753,89.06,21.472,96.88,92.111,2.69,True
Recession,stacking-chain,1M,0.75,5,94.06,2.073,66.079,89.06,21.472,96.88,92.111,3.077,True
Recession,stacking-chain,1M,1.0,5,95.31,1.398,73.573,89.06,21.472,96.88,92.111,3.426,True
Recession,stacking-chain,3M,0.05,5,90.65,0.645,38.735,90.32,31.883,95.16,109.113,1.215,True
Recession,stacking-chain,3M,0.1,5,91.94,0.0,44.971,90.32,31.883,95.16,109.113,1.411,True
Recession,stacking-chain,3M,0.2,5,91.94,0.0,54.159,90.32,31.883,95.16,109.113,1.699,True
Recession,stacking-chain,3M,0.35,5,91.94,0.0,62.687,90.32,31.883,95.16,109.113,1.966,True
Recession,stacking-chain,3M,0.5,5,92.58,1.29,68.949,90.32,31.883,95.16,109.113,2.163,True
Recession,stacking-chain,3M,0.75,5,94.19,1.29,79.105,90.32,31.883,95.16,109.113,2.481,True
Recession,stacking-chain,3M,1.0,5,94.84,0.645,85.541,90.32,31.883,95.16,109.113,2.683,True
Recession,stacking-chain,6M,0.05,5,88.81,1.356,56.373,84.75,53.279,96.61,123.864,1.058,True
Recession,stacking-chain,6M,0.1,5,90.17,0.678,61.446,84.75,53.279,96.61,123.864,1.153,True
Recession,stacking-chain,6M,0.2,5,91.53,0.0,76.156,84.75,53.279,96.61,123.864,1.429,True
Recession,stacking-chain,6M,0.35,5,95.25,1.268,91.327,84.75,53.279,96.61,123.864,1.714,True
Recession,stacking-chain,6M,0.5,5,96.61,0.0,100.109,84.75,53.279,96.61,123.864,1.879,True
Recession,stacking-chain,6M,0.75,5,96.61,0.0,113.821,84.75,53.279,96.61,123.864,2.136,True
Recession,stacking-chain,6M,1.0,5,96.61,0.0,120.783,84.75,53.279,96.61,123.864,2.267,True
Healthcare,ridge,30-day,0.05,5,89.45,0.548,21.04,88.36,19.869,92.47,25.261,1.059,True
Healthcare,ridge,30-day,0.1,5,90.68,0.929,22.253,88.36,19.869,92.47,25.261,1.12,True
Healthcare,ridge,30-day,0.2,5,92.47,0.0,23.856,88.36,19.869,92.47,25.261,1.201,True
Healthcare,ridge,30-day,0.35,5,93.56,0.548,25.996,88.36,19.869,92.47,25.261,1.308,True
