domain,model,horizon,N,ratio_q868,ratio_q900,ratio_q927,min_ratio,coverage,width
Recession,stacking-chain,Current,20,1.0,1.0,1.0,1.0,98.46,184.684
Recession,stacking-chain,Current,30,1.0,1.0,1.0,1.0,98.46,184.133
Recession,stacking-chain,Current,50,1.0,1.0,1.0,1.0,98.46,182.909
Recession,stacking-chain,Current,80,1.0,1.0,1.0,1.0,96.92,174.274
Recession,stacking-chain,Current,120,1.0,1.0,1.0,1.0,93.85,164.183
Recession,stacking-chain,Current,180,1.0,1.0,1.0,1.0,93.85,143.063
Recession,stacking-chain,Current,254,1.0,1.0,1.0,1.0,93.85,108.692
Recession,stacking-chain,1M,20,1.0,1.0,1.0,1.0,100.0,192.073
Recession,stacking-chain,1M,30,1.0,1.0,1.0,1.0,100.0,190.411
Recession,stacking-chain,1M,50,1.0,1.0,1.0,1.0,100.0,186.858
Recession,stacking-chain,1M,80,1.0,1.0,1.0,1.0,100.0,177.323
Recession,stacking-chain,1M,120,1.0,1.0,1.0,1.0,98.44,163.666
Recession,stacking-chain,1M,180,1.0,1.0,1.0,1.0,98.44,137.732
Recession,stacking-chain,1M,254,1.0,1.0,1.0,1.0,96.88,92.111
Recession,stacking-chain,3M,20,1.0,1.0,1.0,1.0,96.77,174.035
Recession,stacking-chain,3M,30,1.0,1.0,1.0,1.0,95.16,172.01
Recession,stacking-chain,3M,50,1.0,1.0,1.0,1.0,95.16,161.14
Recession,stacking-chain,3M,80,1.0,1.0,1.0,1.0,95.16,147.411
Recession,stacking-chain,3M,120,1.0,1.0,1.0,1.0,95.16,143.078
Recession,stacking-chain,3M,180,1.0,1.0,1.0,1.0,95.16,129.747
Recession,stacking-chain,3M,254,1.0,1.0,1.0,1.0,95.16,109.113
Recession,stacking-chain,6M,20,1.0,1.0,1.0,1.0,100.0,198.938
Recession,stacking-chain,6M,30,1.0,1.0,1.0,1.0,100.0,197.153
Recession,stacking-chain,6M,50,1.0,1.0,1.0,1.0,100.0,193.144
Recession,stacking-chain,6M,80,1.0,1.0,1.0,1.0,96.61,187.99
Recession,stacking-chain,6M,120,1.0,1.0,1.0,1.0,96.61,171.462
Recession,stacking-chain,6M,180,1.0,1.0,1.0,1.0,96.61,149.209
Recession,stacking-chain,6M,254,1.0,1.0,1.0,1.0,96.61,123.864
Healthcare,ridge,30-day,20,1.0,1.0,1.0,1.0,99.32,52.054
Healthcare,ridge,30-day,30,1.0,1.0,1.0,1.0,99.32,50.297
Healthcare,ridge,30-day,50,1.0,1.0,1.0,1.0,99.32,44.669
Healthcare,ridge,30-day,80,1.0,1.0,1.0,1.0,98.63,36.564
Healthcare,ridge,30-day,120,1.0,1.0,1.0,1.0,97.95,32.151
Healthcare,ridge,30-day,180,1.0,1.0,1.0,1.0,95.89,28.073
Healthcare,ridge,30-day,254,1.0,1.0,1.0,1.0,92.47,25.261
Healthcare,gradboost,30-day,20,1.0,1.0,1.0,1.0,99.32,53.622
Healthcare,gradboost,30-day,30,1.0,1.0,1.0,1.0,97.95,42.948
Healthcare,gradboost,30-day,50,1.0,1.0,1.0,1.0,97.26,38.438
Healthcare,gradboost,30-day,80,1.0,1.0,1.0,1.0,97.26,37.075
Healthcare,gradboost,30-day,120,1.0,1.0,1.0,1.0,96.58,33.97
Healthcare,gradboost,30-day,180,1.0,1.0,1.0,1.0,95.21,29.52
Healthcare,gradboost,30-day,254,1.0,1.0,1.0,1.0,93.84,25.736
Climate,ridge,region-month,20,1.0,1.0,1.0,1.0,100.0,49.632
Climate,ridge,region-month,30,1.0,1.0,1.0,1.0,100.0,44.955
Climate,ridge,region-month,50,1.0,1.0,1.0,1.0,100.0,33.708
Climate,ridge,region-month,80,1.0,1.0,1.0,1.0,100.0,27.956
Climate,ridge,region-month,120,1.0,1.0,1.0,1.0,100.0,23.58
Climate,ridge,region-month,180,1.0,1.0,1.0,1.0,99.59,19.893
Climate,ridge,region-month,254,1.0,1.0,1.0,1.0,99.59,17.774
Climate,gradboost,region-month,20,1.0,1.0,1.0,1.0,100.0,48.968
Climate,gradboost,region-month,30,1.0,1.0,1.0,1.0,100.0,43.221
Climate,gradboost,region-month,50,1.0,1.0,1.0,1.0,100.0,34.494
Climate,gradboost,region-month,80,1.0,1.0,1.0,1.0,100.0,28.752
Climate,gradboost,region-month,120,1.0,1.0,1.0,1.0,99.59,24.886
Climate,gradboost,region-month,180,1.0,1.0,1.0,1.0,99.18,21.626
Climate,gradboost,region-month,254,1.0,1.0,1.0,1.0,98.77,19.36
