cutoff,horizon,N_cal,n_test_scored,rare_in_test,trailing_cov,trailing_lo,trailing_hi,trailing_w,selector_cov,selector_lo,selector_hi,selector_w,gain_pp,width_mult
2020-01,Current,254,65,2,96.92,89.46,99.15,18.144,98.46,91.79,99.73,86.238,1.54,4.75
2020-01,1M,254,64,2,89.06,79.1,94.6,15.37,95.31,87.1,98.39,94.766,6.25,6.17
2020-01,3M,254,62,2,85.48,74.66,92.17,35.308,87.1,76.55,93.31,111.033,1.61,3.14
2020-01,6M,254,59,2,77.97,65.87,86.65,47.37,89.83,79.54,95.26,132.229,11.86,2.79
2006-01,Current,186,65,16,83.08,72.18,90.28,14.194,90.77,81.29,95.7,63.283,7.69,4.46
2006-01,1M,186,65,16,86.15,75.73,92.54,23.329,89.23,79.4,94.68,72.981,3.08,3.13
2006-01,3M,186,65,16,69.23,57.2,79.11,31.025,83.08,72.18,90.28,137.949,13.85,4.45
2006-01,6M,186,65,16,70.77,58.8,80.42,31.549,80.0,68.73,87.92,149.12,9.23,4.73
1989-01,Current,105,65,5,93.85,85.22,97.58,42.894,100.0,94.42,100.0,126.426,6.15,2.95
1989-01,1M,105,65,5,92.31,83.22,96.67,50.94,100.0,94.42,100.0,113.488,7.69,2.23
1989-01,3M,105,65,5,93.85,85.22,97.58,81.678,100.0,94.42,100.0,150.346,6.15,1.84
1989-01,6M,105,65,5,98.46,91.79,99.73,102.073,100.0,94.42,100.0,164.798,1.54,1.61
