cutoff,horizon,n_train,N_cal,n_test,rare_in_train,rare_in_test,rho_supp,R2_supp,rho_rare,R2_rare,gap,within_tertile_rho_rare,cov_mean,cov_std
2020-01,Current,635,254,65,50,2,0.485,0.256,0.469,0.254,0.016,0.334,96.87,0.73
2020-01,1M,635,254,65,50,2,0.56,0.256,0.467,0.21,0.093,0.3,91.61,1.11
2020-01,3M,635,254,65,50,2,0.567,0.335,0.27,0.077,0.297,0.109,86.48,1.02
2020-01,6M,635,254,65,50,2,0.688,0.481,0.335,0.103,0.353,0.272,80.29,1.49
2006-01,Current,467,186,65,34,16,0.38,0.179,0.285,0.085,0.095,0.181,86.17,0.41
2006-01,1M,467,186,65,34,16,0.666,0.375,0.424,0.19,0.242,0.224,87.34,1.29
2006-01,3M,467,186,65,34,16,0.855,0.7,0.371,0.132,0.484,0.168,76.63,1.81
2006-01,6M,467,186,65,34,16,0.695,0.612,0.306,0.084,0.389,0.136,76.49,0.99
1989-01,Current,263,105,65,29,5,0.528,0.332,0.39,0.166,0.138,0.248,98.74,1.66
1989-01,1M,263,105,65,29,5,0.619,0.388,0.413,0.173,0.206,0.295,96.48,2.49
1989-01,3M,263,105,65,29,5,0.647,0.418,0.283,0.081,0.364,0.148,96.48,2.06
1989-01,6M,263,105,65,29,5,0.601,0.325,0.167,0.026,0.434,0.221,98.03,2.67
