domain,strategy,n_test,setup_ms,stream_ms,per_step_us,total_ms,note
Recession-6M,pooled_trailing,65.0,0.0,1.284,19.7,1.284,
Recession-6M,mondrian,65.0,0.0,1.356,20.9,1.356,
Recession-6M,pid_conformal,65.0,0.0,1.317,20.3,1.317,
Recession-6M,evt_tail,65.0,0.0,254.892,3921.4,254.892,
Recession-6M,diversity_optimal,65.0,0.064,1.272,19.6,1.336,
Recession-6M,dtaci,65.0,0.0,2.162,33.3,2.162,
Recession-6M,acmcp,65.0,0.0,1.692,26.0,1.692,
Recession-6M,bellman_ci,65.0,0.0,4.053,62.4,4.053,
Recession-6M,augmented_trailing,65.0,4.037,1.286,19.8,5.323,
Healthcare,pooled_trailing,146.0,0.0,2.912,19.9,2.912,
Healthcare,mondrian,146.0,0.0,3.005,20.6,3.005,
Healthcare,pid_conformal,146.0,0.0,2.937,20.1,2.937,
Healthcare,evt_tail,146.0,0.0,460.12,3151.5,460.12,
Healthcare,diversity_optimal,146.0,0.058,2.918,20.0,2.975,
Healthcare,dtaci,146.0,0.0,5.139,35.2,5.139,
Healthcare,acmcp,146.0,0.0,4.145,28.4,4.145,
Healthcare,bellman_ci,146.0,0.0,8.032,55.0,8.032,
Healthcare,augmented_trailing,146.0,3.296,2.932,20.1,6.227,
Climate,pooled_trailing,243.0,0.0,4.929,20.3,4.929,
Climate,mondrian,243.0,0.0,5.123,21.1,5.123,
Climate,pid_conformal,243.0,0.0,4.857,20.0,4.857,
Climate,evt_tail,243.0,0.0,539.935,2222.0,539.935,
Climate,diversity_optimal,243.0,0.066,4.798,19.7,4.864,
Climate,dtaci,243.0,0.0,8.486,34.9,8.486,
Climate,acmcp,243.0,0.0,6.897,28.4,6.897,
Climate,bellman_ci,243.0,0.0,12.61,51.9,12.61,
Climate,augmented_trailing,243.0,2.297,5.015,20.6,7.312,
(all),cptc_state_model_fit,,190.427,,,190.427,one-off HMM fit; real REDSDS would be far costlier
