min_enc,model,n_cohorts,n_test,N_cal,rate_sd,noise_floor,noise_signal,rho_supp,rho_rare,gap,rho_collinearity,base_cov,base_lo,base_hi,sel_cov,sel_lo,sel_hi,sel_sep,aug_cov,aug_lo,aug_hi,aug_sep,sel_w_mult
25,ridge,584,146,254,7.195,6.307,0.877,0.687,0.491,0.196,0.62,88.36,82.14,92.6,92.47,87.01,95.74,False,92.47,87.01,95.74,False,1.27
25,gradboost,584,146,254,7.195,6.307,0.877,0.632,0.34,0.292,0.509,90.41,84.55,94.2,93.84,88.7,96.72,False,94.52,89.56,97.2,False,1.22
20,ridge,699,174,254,7.971,7.052,0.885,0.698,0.643,0.055,0.589,90.8,85.59,94.26,94.83,90.46,97.26,False,94.25,89.75,96.85,False,1.2
20,gradboost,699,174,254,7.971,7.052,0.885,0.677,0.54,0.137,0.516,90.8,85.59,94.26,94.25,89.75,96.85,False,93.68,89.04,96.43,False,1.25
15,ridge,857,214,254,8.457,8.143,0.963,0.734,0.633,0.101,0.576,89.25,84.39,92.73,94.39,90.46,96.76,True,92.99,88.76,95.71,False,1.29
15,gradboost,857,214,254,8.457,8.143,0.963,0.732,0.602,0.13,0.462,89.72,84.93,93.11,94.86,91.03,97.11,True,92.52,88.2,95.35,False,1.33
12,ridge,1000,250,254,9.023,9.104,1.009,0.695,0.67,0.025,0.542,92.8,88.91,95.4,96.8,93.81,98.37,True,95.6,92.29,97.53,False,1.31
12,gradboost,1000,250,254,9.023,9.104,1.009,0.676,0.59,0.086,0.561,91.6,87.5,94.44,94.8,91.31,96.94,False,93.6,89.86,96.02,False,1.33
10,ridge,1144,286,254,9.691,9.973,1.029,0.602,0.514,0.088,0.556,91.96,88.22,94.58,96.5,93.68,98.09,True,93.36,89.86,95.71,False,1.41
10,gradboost,1144,286,254,9.691,9.973,1.029,0.679,0.458,0.221,0.421,89.86,85.82,92.85,95.1,91.95,97.06,True,93.01,89.45,95.43,False,1.5
