cell,draw,rare_count,supp,IQR,ent,Q_C,cov,width
Recession/stacking-chain/Current,0,28,69.91395,0.81934,0.90188,21.52363,93.8462,45.5034
Recession/stacking-chain/Current,1,19,26.3974,0.78487,0.73158,9.80311,93.8462,23.0644
Recession/stacking-chain/Current,2,25,49.23076,0.64252,0.7087,13.09182,93.8462,27.8946
Recession/stacking-chain/Current,3,15,30.37985,0.50862,0.59655,6.83083,93.8462,13.4688
Recession/stacking-chain/Current,4,21,32.34546,0.62513,0.77422,14.97648,93.8462,32.4578
Recession/stacking-chain/Current,5,24,61.18378,0.51464,0.7986,18.36853,93.8462,40.1471
Recession/stacking-chain/Current,6,20,58.41257,0.60838,0.78329,19.82249,93.8462,41.9698
Recession/stacking-chain/Current,7,21,61.10642,0.70839,0.84858,15.21671,93.8462,35.4652
Recession/stacking-chain/Current,8,26,47.46891,1.04254,0.88599,22.36048,93.8462,46.1274
Recession/stacking-chain/Current,9,20,61.18305,0.91073,0.86828,18.826,93.8462,40.0317
Recession/stacking-chain/Current,10,19,32.90906,0.80773,0.73525,15.21822,93.8462,32.1229
Recession/stacking-chain/Current,11,27,69.91388,0.75615,0.87627,24.07685,93.8462,53.0551
Recession/stacking-chain/Current,12,20,35.68336,0.51653,0.71271,13.84102,93.8462,25.9684
Recession/stacking-chain/Current,13,21,64.92717,0.51372,0.67845,13.94712,93.8462,27.9366
Recession/stacking-chain/Current,14,19,42.93027,0.47761,0.7363,14.82794,93.8462,32.2865
Recession/stacking-chain/Current,15,21,47.47055,0.49827,0.73532,13.84102,93.8462,30.1281
Recession/stacking-chain/Current,16,26,61.10466,0.82786,0.87393,20.12528,93.8462,45.8942
Recession/stacking-chain/Current,17,20,42.65442,0.61474,0.8266,14.00778,93.8462,34.8043
Recession/stacking-chain/Current,18,22,44.95607,0.63854,0.82911,16.06168,93.8462,34.2068
Recession/stacking-chain/Current,19,17,42.93106,0.5117,0.66697,12.2233,93.8462,25.2286
Recession/stacking-chain/Current,20,24,49.3613,0.71008,0.78647,14.97648,93.8462,34.849
Recession/stacking-chain/Current,21,30,33.60132,0.79445,0.85996,20.12528,93.8462,41.344
Recession/stacking-chain/Current,22,28,70.30439,0.81713,0.87275,29.08849,93.8462,56.8721
Recession/stacking-chain/Current,23,22,58.41254,0.63345,0.78964,17.02197,93.8462,34.8457
Recession/stacking-chain/Current,24,22,31.89043,0.78021,0.73918,12.36266,93.8462,24.8124
Recession/stacking-chain/Current,25,22,40.0517,0.98936,0.8203,15.21822,93.8462,33.737
Recession/stacking-chain/Current,26,20,47.46929,0.68531,0.81289,15.21671,93.8462,33.6124
Recession/stacking-chain/Current,27,19,32.54984,0.76266,0.74338,9.64056,93.8462,22.3027
Recession/stacking-chain/Current,28,21,48.68724,0.54962,0.77594,14.42435,93.8462,30.0953
Recession/stacking-chain/Current,29,19,36.88819,0.53093,0.73916,14.77094,93.8462,32.1036
Recession/stacking-chain/Current,30,19,42.43741,0.62282,0.79193,14.42435,93.8462,34.7365
Recession/stacking-chain/Current,31,24,69.98095,0.79493,0.84519,20.38189,93.8462,42.2911
Recession/stacking-chain/Current,32,22,42.65506,1.04966,0.84665,14.97648,93.8462,35.5047
Recession/stacking-chain/Current,33,20,46.44812,0.57482,0.7312,13.94712,93.8462,28.6364
Recession/stacking-chain/Current,34,18,42.93028,0.54001,0.73058,14.65158,93.8462,30.4917
Recession/stacking-chain/Current,35,24,62.94805,0.8132,0.8528,14.97648,93.8462,36.1961
Recession/stacking-chain/Current,36,20,33.60149,0.61677,0.69349,12.82788,93.8462,28.0157
Recession/stacking-chain/Current,37,21,27.14492,0.56805,0.72952,13.56077,93.8462,26.6607
Recession/stacking-chain/Current,38,23,57.79241,0.79155,0.77265,17.95698,93.8462,38.4263
Recession/stacking-chain/Current,39,24,36.5098,0.79599,0.7275,9.54005,93.8462,21.9209
Recession/stacking-chain/Current,40,21,47.86983,1.04419,0.87474,20.12528,93.8462,42.4635
Recession/stacking-chain/Current,41,21,71.26815,0.54594,0.76585,18.36853,93.8462,37.7377
Recession/stacking-chain/Current,42,24,63.77424,0.676,0.72062,13.56077,93.8462,28.4745
Recession/stacking-chain/Current,43,19,31.32413,0.63867,0.70986,10.18298,93.8462,24.1897
Recession/stacking-chain/Current,44,21,42.93089,0.66824,0.7328,14.18019,93.8462,28.983
Recession/stacking-chain/Current,45,18,42.93122,0.51325,0.68833,12.32975,93.8462,25.3627
Recession/stacking-chain/Current,46,21,42.65531,1.15765,0.8614,15.06817,93.8462,33.4202
Recession/stacking-chain/Current,47,17,28.23988,0.67603,0.6317,6.91902,93.8462,14.6579
Recession/stacking-chain/Current,48,18,37.55693,0.70369,0.73803,12.36266,93.8462,25.4469
Recession/stacking-chain/Current,49,20,42.43946,0.67215,0.7536,15.73879,93.8462,33.2061
Recession/stacking-chain/Current,50,23,30.86846,0.79599,0.68973,14.97648,93.8462,29.7302
Recession/stacking-chain/Current,51,19,42.43978,1.00125,0.84625,14.82442,93.8462,33.9943
Recession/stacking-chain/Current,52,22,44.95599,0.6252,0.79192,14.35046,93.8462,30.3759
Recession/stacking-chain/Current,53,16,33.95999,0.52401,0.76598,14.77094,93.8462,32.3475
Recession/stacking-chain/Current,54,22,42.65484,0.7987,0.82938,14.77446,93.8462,32.7158
Recession/stacking-chain/Current,55,22,30.13416,0.78301,0.76052,14.97648,93.8462,32.5749
Recession/stacking-chain/Current,56,25,48.68637,0.95488,0.81556,17.02197,93.8462,37.5589
Recession/stacking-chain/Current,57,18,29.98715,0.83662,0.75902,12.36266,93.8462,24.8585
Recession/stacking-chain/Current,58,20,34.33852,0.52629,0.72062,13.7023,93.8462,29.458
Recession/stacking-chain/Current,59,23,66.06472,0.96136,0.81414,17.12492,93.8462,37.9116
Recession/stacking-chain/Current,60,22,32.45339,0.66278,0.75681,15.21822,93.8462,33.7097
Recession/stacking-chain/Current,61,21,36.35039,0.81787,0.83841,17.12492,93.8462,37.4449
Recession/stacking-chain/Current,62,21,48.96287,0.62469,0.77004,14.97648,93.8462,32.0095
Recession/stacking-chain/Current,63,25,49.2293,1.00763,0.86917,20.12528,93.8462,41.3528
Recession/stacking-chain/Current,64,18,30.37923,0.73531,0.75115,13.94712,93.8462,28.9033
Recession/stacking-chain/Current,65,20,27.7174,0.51127,0.62633,6.74346,93.8462,14.1005
Recession/stacking-chain/Current,66,17,32.09395,0.7526,0.78708,14.97648,93.8462,31.3391
Recession/stacking-chain/Current,67,23,32.0929,0.52277,0.69639,9.64056,93.8462,23.6334
Recession/stacking-chain/Current,68,21,37.03704,0.69273,0.76218,16.06168,93.8462,35.169
Recession/stacking-chain/Current,69,25,62.94684,0.81607,0.80716,16.16464,93.8462,38.5794
Recession/stacking-chain/Current,70,14,29.59321,0.55065,0.65059,8.99495,93.8462,21.4978
Recession/stacking-chain/Current,71,20,61.10599,0.69281,0.71115,15.91163,93.8462,33.3473
Recession/stacking-chain/Current,72,25,61.10614,0.95812,0.94491,21.0909,93.8462,45.0329
Recession/stacking-chain/Current,73,25,40.05322,0.81527,0.87554,22.05662,93.8462,44.2001
Recession/stacking-chain/Current,74,21,58.4124,0.5268,0.73611,17.12492,93.8462,36.0592
Recession/stacking-chain/Current,75,25,66.23857,1.0544,0.90528,26.96409,93.8462,55.0891
Recession/stacking-chain/Current,76,18,66.23764,0.62011,0.79254,16.87192,93.8462,39.2822
Recession/stacking-chain/Current,77,19,61.10702,0.6231,0.84209,19.02768,93.8462,41.0854
Recession/stacking-chain/Current,78,25,58.33521,0.51507,0.72852,14.00778,93.8462,29.1551
Recession/stacking-chain/Current,79,21,33.96013,0.84236,0.81701,16.16464,93.8462,34.9041
Recession/stacking-chain/Current,80,20,47.86853,0.80658,0.86962,19.62643,93.8462,42.1677
Recession/stacking-chain/Current,81,24,35.68337,0.7677,0.72807,10.18298,93.8462,28.7927
Recession/stacking-chain/Current,82,19,61.10579,0.65977,0.78219,18.36853,93.8462,36.9504
Recession/stacking-chain/Current,83,26,71.2673,0.80174,0.8528,25.07285,93.8462,53.5476
Recession/stacking-chain/Current,84,21,49.36161,0.7071,0.78013,17.34249,93.8462,36.1267
Recession/stacking-chain/Current,85,22,69.91386,0.80785,0.78814,18.36853,93.8462,38.9116
Recession/stacking-chain/Current,86,20,30.86825,0.54652,0.67055,9.64056,93.8462,23.45
Recession/stacking-chain/Current,87,16,32.09321,0.54414,0.73058,10.12828,93.8462,24.8192
Recession/stacking-chain/Current,88,25,66.06239,1.66471,0.98609,25.07285,93.8462,53.2449
Recession/stacking-chain/Current,89,23,32.34652,0.84736,0.79831,15.21822,93.8462,32.8764
Recession/stacking-chain/Current,90,16,30.02199,0.51035,0.71754,9.80311,93.8462,21.9702
Recession/stacking-chain/Current,91,20,49.30736,0.7694,0.77881,14.97648,93.8462,31.377
Recession/stacking-chain/Current,92,18,28.51998,0.5268,0.68833,9.64056,93.8462,23.2105
Recession/stacking-chain/Current,93,16,26.19416,0.70273,0.71231,14.00778,93.8462,26.8166
Recession/stacking-chain/Current,94,19,61.79618,0.78441,0.81996,16.16464,93.8462,35.8077
Recession/stacking-chain/Current,95,23,36.88705,0.60328,0.76486,16.16464,93.8462,34.0837
Recession/stacking-chain/Current,96,23,70.30364,1.43421,0.95497,26.2732,93.8462,55.417
Recession/stacking-chain/Current,97,25,37.55695,0.81637,0.85397,20.38189,93.8462,42.5508
Recession/stacking-chain/Current,98,18,41.7917,0.51794,0.63734,9.14898,93.8462,21.0105
Recession/stacking-chain/Current,99,21,40.05245,0.83778,0.84397,17.59549,93.8462,36.7166
Recession/stacking-chain/Current,100,23,33.60156,0.6309,0.70674,14.11954,93.8462,30.5996
Recession/stacking-chain/Current,101,23,40.20051,0.81251,0.85717,19.62643,93.8462,40.1408
Recession/stacking-chain/Current,102,21,29.59194,0.73028,0.78196,15.21822,93.8462,32.7378
Recession/stacking-chain/Current,103,24,37.0372,0.74351,0.76352,17.95698,93.8462,37.9371
Recession/stacking-chain/Current,104,22,63.77344,0.66269,0.78468,17.48641,93.8462,37.2205
Recession/stacking-chain/Current,105,22,49.36135,0.77291,0.84546,15.21822,93.8462,33.0132
Recession/stacking-chain/Current,106,20,57.79228,0.69004,0.85266,15.06817,93.8462,34.6676
Recession/stacking-chain/Current,107,17,34.33882,0.57206,0.72207,14.59444,93.8462,31.4905
Recession/stacking-chain/Current,108,20,30.86805,0.5167,0.61839,6.68385,93.8462,13.8138
Recession/stacking-chain/Current,109,20,27.14554,0.67506,0.70276,7.65465,93.8462,20.5578
Recession/stacking-chain/Current,110,28,47.86833,1.0949,0.92924,21.52363,93.8462,44.0268
Recession/stacking-chain/Current,111,18,36.35044,0.50742,0.72947,14.89533,93.8462,30.1925
Recession/stacking-chain/Current,112,28,61.10557,0.70697,0.81815,19.02768,93.8462,39.1132
Recession/stacking-chain/Current,113,25,49.36224,0.78146,0.8909,21.0909,93.8462,44.2442
Recession/stacking-chain/Current,114,19,31.32405,0.73147,0.73718,14.97648,93.8462,31.4635
Recession/stacking-chain/Current,115,16,42.43982,0.54492,0.76241,15.21822,93.8462,33.0681
Recession/stacking-chain/Current,116,16,31.11472,0.51295,0.67609,8.64209,93.8462,19.323
Recession/stacking-chain/Current,117,20,30.02183,0.51501,0.74956,13.7023,93.8462,26.3416
Recession/stacking-chain/Current,118,23,58.33495,0.52649,0.74578,14.9408,93.8462,34.4272
Recession/stacking-chain/Current,119,19,34.05961,0.77821,0.7457,14.42435,93.8462,30.6984
Recession/stacking-chain/Current,120,19,30.10153,0.52295,0.6802,9.51294,93.8462,20.1875
Recession/stacking-chain/Current,121,17,40.05307,0.81444,0.77863,15.06817,93.8462,35.7136
Recession/stacking-chain/Current,122,23,57.79157,0.672,0.80636,21.53318,93.8462,45.0013
Recession/stacking-chain/Current,123,22,62.9471,1.06524,0.8597,23.4047,93.8462,49.7978
Recession/stacking-chain/Current,124,26,47.86944,0.55423,0.7668,14.42435,93.8462,32.2962
Recession/stacking-chain/Current,125,17,29.59314,0.67168,0.71143,13.84102,93.8462,26.7967
Recession/stacking-chain/Current,126,23,36.35006,0.79386,0.87548,19.62643,93.8462,39.9204
Recession/stacking-chain/Current,127,18,36.35018,0.57109,0.74417,13.98082,93.8462,29.3633
Recession/stacking-chain/Current,128,19,62.94812,0.61255,0.75914,15.21822,93.8462,36.0124
Recession/stacking-chain/Current,129,22,34.33758,0.61139,0.69895,13.56077,93.8462,25.8319
Recession/stacking-chain/Current,130,19,62.19293,0.51282,0.67342,13.44193,93.8462,28.2316
Recession/stacking-chain/Current,131,23,36.88908,0.50791,0.68567,12.73992,93.8462,25.6196
Recession/stacking-chain/Current,132,18,44.95612,0.47402,0.64708,7.48212,93.8462,17.5213
Recession/stacking-chain/Current,133,23,64.783,0.91582,0.77395,15.06817,93.8462,33.3821
Recession/stacking-chain/Current,134,23,47.19529,0.57052,0.80703,16.06017,93.8462,35.2537
Recession/stacking-chain/Current,135,25,47.86954,1.05823,0.84538,21.21858,93.8462,43.2567
Recession/stacking-chain/Current,136,22,58.33535,0.49491,0.77121,16.16464,93.8462,34.3627
Recession/stacking-chain/Current,137,23,66.06489,0.69783,0.83968,21.52363,93.8462,47.6843
Recession/stacking-chain/Current,138,26,64.78406,0.7647,0.75312,14.30499,93.8462,29.5079
Recession/stacking-chain/Current,139,18,48.96178,0.53338,0.6044,7.12079,93.8462,16.9048
Recession/stacking-chain/Current,140,17,35.15076,0.60087,0.71761,9.64056,93.8462,22.5983
Recession/stacking-chain/Current,141,22,48.96244,0.74645,0.79627,17.02197,93.8462,37.4448
Recession/stacking-chain/Current,142,17,32.34646,0.46935,0.69616,9.80311,93.8462,22.7639
Recession/stacking-chain/Current,143,22,33.96111,0.81684,0.81915,16.06017,93.8462,35.7499
Recession/stacking-chain/Current,144,20,61.18294,0.66698,0.83418,17.95698,93.8462,38.9047
Recession/stacking-chain/Current,145,21,40.20164,0.73778,0.81423,18.826,93.8462,37.6315
Recession/stacking-chain/Current,146,25,59.02518,0.61321,0.80832,15.85815,93.8462,34.1372
Recession/stacking-chain/Current,147,27,66.23744,0.78165,0.84415,25.07285,93.8462,52.698
Recession/stacking-chain/Current,148,20,28.53708,0.98333,0.82697,15.21671,93.8462,32.9343
Recession/stacking-chain/Current,149,22,47.86915,1.30434,0.90388,19.82249,93.8462,45.6801
Recession/stacking-chain/Current,150,22,35.45792,0.75874,0.76146,14.97648,93.8462,31.5533
Recession/stacking-chain/Current,151,32,65.09947,1.04958,0.84548,23.71859,93.8462,51.2367
Recession/stacking-chain/Current,152,22,42.43935,0.74901,0.76101,14.18019,93.8462,30.0305
Recession/stacking-chain/Current,153,19,61.18373,0.51939,0.74489,15.21822,93.8462,35.5213
Recession/stacking-chain/Current,154,19,34.33882,0.52075,0.74249,19.02768,93.8462,39.0957
Recession/stacking-chain/Current,155,24,47.46996,0.80047,0.83713,18.36853,93.8462,41.5244
Recession/stacking-chain/Current,156,20,31.89035,0.57482,0.69779,12.2233,93.8462,24.143
Recession/stacking-chain/Current,157,24,64.05937,0.51056,0.78631,14.97648,93.8462,33.642
Recession/stacking-chain/Current,158,20,27.73143,0.78724,0.73486,12.36266,93.8462,25.299
Recession/stacking-chain/Current,159,27,62.19312,0.61357,0.79632,19.62643,93.8462,41.0226
Recession/stacking-chain/Current,160,25,40.41577,0.79761,0.78402,14.97648,93.8462,31.1725
Recession/stacking-chain/Current,161,26,69.97957,0.77595,0.83552,21.92686,93.8462,45.339
Recession/stacking-chain/Current,162,25,32.34596,0.91965,0.81775,17.95698,93.8462,37.73
Recession/stacking-chain/Current,163,18,37.55697,0.45611,0.6615,8.42544,93.8462,21.7389
Recession/stacking-chain/Current,164,23,47.87006,0.70711,0.82208,16.16464,93.8462,35.0799
Recession/stacking-chain/Current,165,25,62.94803,0.83107,0.88493,22.75081,93.8462,47.945
Recession/stacking-chain/Current,166,16,30.02076,0.77312,0.7059,8.72939,93.8462,19.3312
Recession/stacking-chain/Current,167,23,58.41264,0.82336,0.85038,19.82249,93.8462,41.9315
Recession/stacking-chain/Current,168,21,69.98052,0.5517,0.7646,21.47419,93.8462,46.6865
Recession/stacking-chain/Current,169,29,61.10571,1.1474,0.92237,21.22066,93.8462,48.7728
Recession/stacking-chain/Current,170,22,62.19297,0.79922,0.81249,14.97648,93.8462,32.6435
Recession/stacking-chain/Current,171,21,63.77525,0.56765,0.80039,20.63615,93.8462,40.7428
Recession/stacking-chain/Current,172,23,47.86921,0.52631,0.75135,20.38189,93.8462,41.6533
Recession/stacking-chain/Current,173,17,34.33843,0.63152,0.66273,7.76716,93.8462,20.5806
Recession/stacking-chain/Current,174,23,61.18359,0.79987,0.78975,14.35046,93.8462,32.9761
Recession/stacking-chain/Current,175,26,40.05263,1.10044,0.82881,14.82442,93.8462,31.5112
Recession/stacking-chain/Current,176,21,47.47074,0.62103,0.82784,15.21822,93.8462,34.8011
