freq,delta_s,n_draws,rho_supp,rho_rare,gap,cov_mean,degenerate
0.02,0.0,200,0.568,0.035,0.533,92.67,False
0.02,0.25,200,0.613,0.105,0.508,92.86,False
0.02,0.5,200,0.599,0.102,0.498,92.87,False
0.02,0.75,200,0.682,0.175,0.507,92.45,False
0.02,1.0,200,0.679,0.205,0.474,89.6,False
0.02,1.25,200,0.624,0.327,0.298,87.05,False
0.02,1.5,200,0.61,0.334,0.276,86.05,False
0.02,2.0,200,0.623,0.418,0.205,84.83,False
0.02,3.0,200,0.65,0.418,0.233,84.83,False
0.02,4.0,200,0.65,0.418,0.233,84.83,False
0.02,8.0,200,0.65,0.418,0.233,84.83,False
0.05,0.0,200,0.534,0.082,0.452,92.97,False
0.05,0.25,200,0.56,0.103,0.457,93.29,False
0.05,0.5,200,0.549,0.085,0.465,93.45,False
0.05,0.75,200,0.643,0.231,0.412,93.91,False
0.05,1.0,200,0.637,0.255,0.383,91.15,False
0.05,1.25,200,0.632,0.374,0.258,89.13,False
0.05,1.5,200,0.674,0.491,0.183,88.03,False
0.05,2.0,200,0.56,0.609,-0.049,87.13,False
0.05,3.0,200,0.613,0.621,-0.008,87.15,False
0.05,4.0,200,0.637,0.621,0.016,87.15,False
0.05,8.0,200,0.637,0.621,0.016,87.15,False
0.08,0.0,200,0.489,0.109,0.38,92.6,False
0.08,0.25,200,0.609,0.197,0.412,93.14,False
0.08,0.5,200,0.664,0.194,0.47,93.27,False
0.08,0.75,200,0.568,0.317,0.251,94.12,False
0.08,1.0,200,0.601,0.464,0.137,91.98,False
0.08,1.25,200,0.57,0.59,-0.02,90.19,False
0.08,1.5,200,0.633,0.629,0.003,89.21,False
0.08,2.0,200,0.624,0.783,-0.159,88.72,False
0.08,3.0,200,0.626,0.763,-0.137,88.62,False
0.08,4.0,200,0.626,0.763,-0.137,88.62,False
0.08,8.0,200,0.626,0.763,-0.137,88.62,False
0.12,0.0,200,0.607,0.101,0.506,93.73,False
0.12,0.25,200,0.545,0.154,0.391,94.49,False
0.12,0.5,200,0.57,0.176,0.394,94.85,False
0.12,0.75,200,0.477,0.239,0.238,95.95,False
0.12,1.0,200,0.541,0.475,0.066,95.42,False
0.12,1.25,200,0.555,0.537,0.018,93.84,False
0.12,1.5,200,0.593,0.622,-0.029,93.32,False
0.12,2.0,200,0.435,0.675,-0.239,92.78,False
0.12,3.0,200,0.508,0.867,-0.359,91.67,False
0.12,4.0,200,0.511,0.864,-0.352,91.48,False
0.12,8.0,200,0.511,0.864,-0.352,91.48,False
0.2,0.0,200,0.59,0.178,0.412,91.48,False
0.2,0.25,200,0.547,0.183,0.363,92.46,False
0.2,0.5,200,0.465,0.15,0.316,93.42,False
0.2,0.75,200,0.486,0.322,0.163,94.73,False
0.2,1.0,200,0.681,0.473,0.208,95.02,False
0.2,1.25,200,0.606,0.547,0.059,94.71,False
0.2,1.5,200,0.588,0.568,0.019,94.07,False
0.2,2.0,200,0.561,0.63,-0.069,93.23,False
0.2,3.0,200,0.581,0.652,-0.07,92.82,False
0.2,4.0,200,0.581,0.652,-0.07,92.82,False
0.2,8.0,200,0.581,0.652,-0.07,92.82,False
0.3,0.0,200,0.52,0.003,0.517,93.95,False
0.3,0.25,200,0.593,0.08,0.514,94.44,False
0.3,0.5,200,0.56,0.239,0.321,93.21,False
0.3,0.75,200,0.448,0.137,0.311,93.71,False
0.3,1.0,200,0.56,0.278,0.282,94.43,False
0.3,1.25,200,0.541,0.415,0.126,93.84,False
0.3,1.5,200,0.619,0.441,0.177,93.26,False
0.3,2.0,200,0.69,0.481,0.209,92.35,False
0.3,3.0,200,0.673,0.525,0.148,91.87,False
0.3,4.0,200,0.673,0.525,0.148,91.87,False
0.3,8.0,200,0.673,0.525,0.148,91.87,False
