horizon,alpha,nominal,n_draws,rho_supp_qc,rho_rare_qc,rho_supp_cov,rho_rare_cov,gap,cov_mean,cov_std
Current,0.05,95.0,200,1.0,0.487,,,,93.85,0.0
Current,0.1,90.0,200,0.622,0.607,,,,93.85,0.0
Current,0.15,85.0,200,0.442,0.595,0.436,0.597,-0.161,90.85,2.538
Current,0.2,80.0,200,0.283,0.494,0.287,0.503,-0.217,81.41,3.507
Current,0.25,75.0,200,0.226,0.498,0.27,0.463,-0.193,64.4,5.767
1M,0.05,95.0,200,1.0,0.453,0.9,0.381,0.518,96.46,1.018
1M,0.1,90.0,200,0.67,0.59,0.59,0.386,0.204,91.05,1.276
1M,0.15,85.0,200,0.491,0.548,0.494,0.47,0.025,86.73,2.019
1M,0.2,80.0,200,0.367,0.501,0.413,0.551,-0.138,75.57,3.508
1M,0.25,75.0,200,0.348,0.481,0.379,0.484,-0.105,62.48,5.242
3M,0.05,95.0,200,1.0,0.306,0.377,0.13,0.247,95.04,0.533
3M,0.1,90.0,200,0.654,0.328,0.639,0.237,0.402,91.06,0.992
3M,0.15,85.0,200,0.497,0.435,0.479,0.394,0.086,87.49,1.5
3M,0.2,80.0,200,0.477,0.492,0.477,0.45,0.028,75.67,5.211
3M,0.25,75.0,200,0.404,0.491,0.483,0.46,0.023,54.9,5.35
6M,0.05,95.0,200,1.0,0.325,0.604,0.198,0.405,96.22,0.999
6M,0.1,90.0,200,0.724,0.299,0.725,0.283,0.442,88.3,2.726
6M,0.15,85.0,200,0.594,0.291,0.592,0.29,0.302,79.22,1.889
6M,0.2,80.0,200,0.46,0.295,0.523,0.3,0.224,67.65,4.226
6M,0.25,75.0,200,0.373,0.297,0.486,0.27,0.216,50.14,5.625
