domain,model,horizon,strategy,base_cov,strat_cov,divopt_cov,frac_of_gain,width_vs_divopt,QC_vs_divopt
Climate,gradboost,region-month,decile_stratified,90.95,92.59,98.77,0.21,0.567,0.564
Climate,gradboost,region-month,quintile_stratified,90.95,91.77,98.77,0.105,0.57,0.56
Climate,gradboost,region-month,tail_plus_recency,90.95,98.77,98.77,1.0,1.0,1.0
Climate,ridge,region-month,decile_stratified,90.95,93.0,99.59,0.237,0.592,0.558
Climate,ridge,region-month,quintile_stratified,90.95,93.0,99.59,0.237,0.596,0.559
Climate,ridge,region-month,tail_plus_recency,90.95,99.59,99.59,1.0,1.0,1.0
Healthcare,gradboost,30-day,decile_stratified,90.41,90.41,93.84,0.0,0.816,0.781
Healthcare,gradboost,30-day,quintile_stratified,90.41,89.73,93.84,-0.198,0.807,0.756
Healthcare,gradboost,30-day,tail_plus_recency,90.41,93.84,93.84,1.0,1.0,1.0
Healthcare,ridge,30-day,decile_stratified,88.36,89.04,92.47,0.165,0.799,0.761
Healthcare,ridge,30-day,quintile_stratified,88.36,89.04,92.47,0.165,0.78,0.748
Healthcare,ridge,30-day,tail_plus_recency,88.36,92.47,92.47,1.0,1.0,1.0
Recession,stacking-chain,1M,decile_stratified,89.06,90.62,96.88,0.199,0.447,0.319
Recession,stacking-chain,1M,quintile_stratified,89.06,90.62,96.88,0.199,0.388,0.288
Recession,stacking-chain,1M,tail_plus_recency,89.06,96.88,96.88,1.0,1.0,1.0
Recession,stacking-chain,3M,decile_stratified,90.32,90.32,95.16,0.0,0.366,0.288
Recession,stacking-chain,3M,quintile_stratified,90.32,90.32,95.16,0.0,0.338,0.273
Recession,stacking-chain,3M,tail_plus_recency,90.32,95.16,95.16,1.0,1.0,1.0
Recession,stacking-chain,6M,decile_stratified,84.75,88.14,96.61,0.286,0.452,0.391
Recession,stacking-chain,6M,quintile_stratified,84.75,86.44,96.61,0.142,0.43,0.355
Recession,stacking-chain,6M,tail_plus_recency,84.75,96.61,96.61,1.0,1.0,1.0
