domain,model,horizon,strategy,n_cal,n_test,coverage,wilson_lo,wilson_hi,boot_lo,boot_hi,mean_width,support,Q_C
Recession,stacking-chain,Current,pooled_trailing,254,65,93.85,85.22,97.58,90.77,100.0,21.704,23.082,9.641
Recession,stacking-chain,Current,decile_stratified,254,65,93.85,85.22,97.58,90.77,100.0,32.865,37.252,14.697
Recession,stacking-chain,Current,quintile_stratified,254,65,93.85,85.22,97.58,90.77,100.0,28.245,36.35,13.947
Recession,stacking-chain,Current,tail_plus_recency,254,65,93.85,85.22,97.58,90.77,100.0,108.692,80.693,52.41
Recession,stacking-chain,Current,diversity_optimal,254,65,93.85,85.22,97.58,90.77,100.0,108.692,80.693,52.41
Recession,stacking-chain,1M,pooled_trailing,254,64,89.06,79.1,94.6,82.81,100.0,21.472,27.641,5.867
Recession,stacking-chain,1M,decile_stratified,254,64,90.62,81.02,95.63,85.94,100.0,41.193,41.965,15.527
Recession,stacking-chain,1M,quintile_stratified,254,64,90.62,81.02,95.63,85.94,100.0,35.751,40.042,13.993
Recession,stacking-chain,1M,tail_plus_recency,254,64,96.88,89.3,99.14,95.31,100.0,92.111,83.505,48.618
Recession,stacking-chain,1M,diversity_optimal,254,64,96.88,89.3,99.14,95.31,100.0,92.111,83.505,48.618
Recession,stacking-chain,3M,pooled_trailing,254,62,90.32,80.45,95.49,83.87,100.0,31.883,28.907,13.412
Recession,stacking-chain,3M,decile_stratified,254,62,90.32,80.45,95.49,83.87,100.0,39.952,45.248,16.327
Recession,stacking-chain,3M,quintile_stratified,254,62,90.32,80.45,95.49,83.87,100.0,36.912,42.105,15.426
Recession,stacking-chain,3M,tail_plus_recency,254,62,95.16,86.71,98.34,91.94,100.0,109.113,71.36,56.601
Recession,stacking-chain,3M,diversity_optimal,254,62,95.16,86.71,98.34,91.94,100.0,109.113,71.36,56.601
Recession,stacking-chain,6M,pooled_trailing,254,59,84.75,73.48,91.76,72.88,98.31,53.279,55.935,20.049
Recession,stacking-chain,6M,decile_stratified,254,59,88.14,77.48,94.13,72.88,98.31,55.943,59.179,26.875
Recession,stacking-chain,6M,quintile_stratified,254,59,86.44,75.46,92.97,67.8,98.31,53.315,57.283,24.388
Recession,stacking-chain,6M,tail_plus_recency,254,59,96.61,88.46,99.07,89.83,100.0,123.864,86.448,68.719
Recession,stacking-chain,6M,diversity_optimal,254,59,96.61,88.46,99.07,89.83,100.0,123.864,86.448,68.719
Healthcare,ridge,30-day,pooled_trailing,254,146,88.36,82.14,92.6,83.56,93.15,19.869,12.94,9.846
Healthcare,ridge,30-day,decile_stratified,254,146,89.04,82.94,93.14,84.25,93.84,20.195,13.306,10.068
Healthcare,ridge,30-day,quintile_stratified,254,146,89.04,82.94,93.14,84.25,93.84,19.695,14.422,9.904
Healthcare,ridge,30-day,tail_plus_recency,254,146,92.47,87.01,95.74,88.36,96.58,25.261,16.588,13.238
Healthcare,ridge,30-day,diversity_optimal,254,146,92.47,87.01,95.74,88.36,96.58,25.261,16.588,13.238
Healthcare,gradboost,30-day,pooled_trailing,254,146,90.41,84.55,94.2,86.28,95.21,21.035,14.156,10.936
Healthcare,gradboost,30-day,decile_stratified,254,146,90.41,84.55,94.2,86.28,95.21,20.991,14.834,10.982
Healthcare,gradboost,30-day,quintile_stratified,254,146,89.73,83.74,93.67,84.93,94.52,20.777,15.527,10.62
Healthcare,gradboost,30-day,tail_plus_recency,254,146,93.84,88.7,96.72,89.73,97.26,25.736,17.563,14.056
Healthcare,gradboost,30-day,diversity_optimal,254,146,93.84,88.7,96.72,89.73,97.26,25.736,17.563,14.056
Climate,ridge,region-month,pooled_trailing,254,243,90.95,86.67,93.95,86.42,94.65,10.349,5.981,5.309
Climate,ridge,region-month,decile_stratified,254,243,93.0,89.08,95.59,89.3,96.3,10.531,6.716,5.614
Climate,ridge,region-month,quintile_stratified,254,243,93.0,89.08,95.59,89.3,96.3,10.588,7.668,5.632
Climate,ridge,region-month,tail_plus_recency,254,243,99.59,97.71,99.93,98.77,100.0,17.774,14.093,10.069
Climate,ridge,region-month,diversity_optimal,254,243,99.59,97.71,99.93,98.77,100.0,17.774,14.093,10.069
Climate,gradboost,region-month,pooled_trailing,254,243,90.95,86.67,93.95,86.42,94.65,10.793,7.084,5.981
Climate,gradboost,region-month,decile_stratified,254,243,92.59,88.6,95.26,88.48,95.88,10.981,7.735,6.064
Climate,gradboost,region-month,quintile_stratified,254,243,91.77,87.63,94.61,87.65,95.06,11.027,8.396,6.027
Climate,gradboost,region-month,tail_plus_recency,254,243,98.77,96.43,99.58,96.71,100.0,19.36,14.072,10.753
Climate,gradboost,region-month,diversity_optimal,254,243,98.77,96.43,99.58,96.71,100.0,19.36,14.072,10.753
