horizon,alpha,q,N,selector_q,ceiling_q,ratio,within_proven_region,at_ceiling
Current,0.01,0.99,254,92.21372,92.21372,1.0,True,True
Current,0.025,0.975,254,90.62346,90.62346,1.0,True,True
Current,0.05,0.95,254,80.69302,80.69302,1.0,True,True
Current,0.1,0.9,254,52.40977,52.40977,1.0,True,True
Current,0.15,0.85,254,28.03321,28.03321,1.0,True,True
Current,0.2,0.8,254,18.16685,18.16685,1.0,True,True
Current,0.25,0.75,254,9.81222,9.81222,1.0,True,True
Current,0.3,0.7,254,6.2703,6.2703,1.0,True,True
Current,0.4,0.6,254,2.16582,2.16582,1.0,True,True
Current,0.49,0.51,254,0.86276,0.86276,1.0,True,True
Current,0.5,0.5,254,0.43156,0.84252,0.512223,True,False
Current,0.55,0.45,254,0.01989,0.64616,0.030789,False,False
Current,0.6,0.4,254,0.01908,0.53787,0.035482,False,False
Current,0.7,0.3,254,0.01249,0.35893,0.034785,False,False
Current,0.8,0.2,254,0.0044,0.24622,0.017851,False,False
1M,0.01,0.99,254,96.01536,96.01536,1.0,True,True
1M,0.025,0.975,254,93.03954,93.03954,1.0,True,True
1M,0.05,0.95,254,83.50495,83.50495,1.0,True,True
1M,0.1,0.9,254,48.6184,48.6184,1.0,True,True
1M,0.15,0.85,254,32.24753,32.24753,1.0,True,True
1M,0.2,0.8,254,19.61578,19.61578,1.0,True,True
1M,0.25,0.75,254,9.80961,9.80961,1.0,True,True
1M,0.3,0.7,254,4.26736,4.26736,1.0,True,True
1M,0.4,0.6,254,1.45247,1.45247,1.0,True,True
1M,0.49,0.51,254,0.8428,0.8428,1.0,True,True
1M,0.5,0.5,254,0.43359,0.82785,0.523751,True,False
1M,0.55,0.45,254,0.01993,0.62712,0.031776,False,False
1M,0.6,0.4,254,0.01973,0.53618,0.036798,False,False
1M,0.7,0.3,254,0.01543,0.37165,0.041522,False,False
1M,0.8,0.2,254,0.00293,0.25831,0.011351,False,False
3M,0.01,0.99,254,86.47923,86.47923,1.0,True,True
3M,0.025,0.975,254,75.73165,75.73165,1.0,True,True
3M,0.05,0.95,254,71.35976,71.35976,1.0,True,True
3M,0.1,0.9,254,56.6006,56.6006,1.0,True,True
3M,0.15,0.85,254,29.81037,29.81037,1.0,True,True
3M,0.2,0.8,254,20.69536,20.69536,1.0,True,True
3M,0.25,0.75,254,13.1321,13.1321,1.0,True,True
3M,0.3,0.7,254,8.52094,8.52094,1.0,True,True
3M,0.4,0.6,254,2.77697,2.77697,1.0,True,True
3M,0.49,0.51,254,0.94439,0.94439,1.0,True,True
3M,0.5,0.5,254,0.47282,0.91852,0.514766,True,False
3M,0.55,0.45,254,0.01996,0.77956,0.0256,False,False
3M,0.6,0.4,254,0.01956,0.60451,0.032357,False,False
3M,0.7,0.3,254,0.0129,0.43909,0.029383,False,False
3M,0.8,0.2,254,0.00416,0.30406,0.013695,False,False
6M,0.01,0.99,254,99.43459,99.43459,1.0,True,True
6M,0.025,0.975,254,96.46355,96.46355,1.0,True,True
6M,0.05,0.95,254,86.44827,86.44827,1.0,True,True
6M,0.1,0.9,254,68.71946,68.71946,1.0,True,True
6M,0.15,0.85,254,41.23108,41.23108,1.0,True,True
6M,0.2,0.8,254,29.38514,29.38514,1.0,True,True
6M,0.25,0.75,254,20.92747,20.92747,1.0,True,True
6M,0.3,0.7,254,13.9703,13.9703,1.0,True,True
6M,0.4,0.6,254,3.15976,3.15976,1.0,True,True
6M,0.49,0.51,254,1.52885,1.52885,1.0,True,True
6M,0.5,0.5,254,0.74359,1.43428,0.518444,True,False
6M,0.55,0.45,254,0.02231,1.02163,0.02184,False,False
6M,0.6,0.4,254,0.01964,0.74268,0.026447,False,False
6M,0.7,0.3,254,0.01699,0.51823,0.032789,False,False
6M,0.8,0.2,254,0.00699,0.39965,0.017501,False,False
