freq,delta_s,rho_supp,rho_rare,gap,degenerate,cov_mean,realized_freq
0.02,0.0,0.473,-0.078,0.551,False,93.25,0.0268
0.02,0.25,0.462,-0.093,0.555,False,93.45,0.0268
0.02,0.5,0.452,0.042,0.409,False,94.22,0.0268
0.02,0.75,0.165,0.138,0.027,False,95.38,0.0268
0.02,1.0,0.516,0.118,0.397,False,94.17,0.0268
0.02,1.25,0.472,0.135,0.337,False,93.22,0.0268
0.02,1.5,0.605,0.237,0.367,False,91.98,0.0268
0.02,2.0,0.601,0.259,0.342,False,91.74,0.0268
0.02,3.0,0.636,0.323,0.313,False,90.2,0.0268
0.02,4.0,0.661,0.348,0.312,False,90.82,0.0268
0.05,0.0,0.473,-0.065,0.538,False,93.25,0.0409
0.05,0.25,0.462,-0.035,0.498,False,93.45,0.0409
0.05,0.5,0.452,0.085,0.367,False,94.22,0.0409
0.05,0.75,0.165,0.132,0.033,False,95.38,0.0409
0.05,1.0,0.516,0.042,0.474,False,94.17,0.0409
0.05,1.25,0.472,0.107,0.365,False,93.22,0.0409
0.05,1.5,0.605,0.2,0.404,False,91.98,0.0409
0.05,2.0,0.601,0.214,0.387,False,91.74,0.0409
0.05,3.0,0.636,0.233,0.403,False,90.2,0.0409
0.05,4.0,0.661,0.233,0.428,False,90.82,0.0409
0.08,0.0,0.473,0.051,0.421,False,93.25,0.0677
0.08,0.25,0.462,0.042,0.42,False,93.45,0.0677
0.08,0.5,0.452,0.097,0.355,False,94.22,0.0677
0.08,0.75,0.165,0.137,0.029,False,95.38,0.0677
0.08,1.0,0.516,0.085,0.43,False,94.17,0.0677
0.08,1.25,0.472,0.204,0.269,False,93.22,0.0677
0.08,1.5,0.605,0.24,0.364,False,91.98,0.0677
0.08,2.0,0.601,0.212,0.389,False,91.74,0.0677
0.08,3.0,0.636,0.237,0.399,False,90.2,0.0677
0.08,4.0,0.661,0.188,0.473,False,90.82,0.0677
0.12,0.0,0.473,0.037,0.436,False,93.25,0.1102
0.12,0.25,0.462,0.055,0.407,False,93.45,0.1102
0.12,0.5,0.452,0.148,0.303,False,94.22,0.1102
0.12,0.75,0.165,0.156,0.009,False,95.38,0.1102
0.12,1.0,0.516,0.106,0.41,False,94.17,0.1102
0.12,1.25,0.472,0.229,0.244,False,93.22,0.1102
0.12,1.5,0.605,0.213,0.392,False,91.98,0.1102
0.12,2.0,0.601,0.18,0.421,False,91.74,0.1102
0.12,3.0,0.636,0.198,0.439,False,90.2,0.1102
0.12,4.0,0.661,0.136,0.525,False,90.82,0.1102
0.2,0.0,0.473,-0.019,0.492,False,93.25,0.1858
0.2,0.25,0.462,0.076,0.386,False,93.45,0.1858
0.2,0.5,0.452,0.106,0.346,False,94.22,0.1858
0.2,0.75,0.165,0.159,0.007,False,95.38,0.1858
0.2,1.0,0.516,0.103,0.413,False,94.17,0.1858
0.2,1.25,0.472,0.188,0.284,False,93.22,0.1858
0.2,1.5,0.605,0.129,0.476,False,91.98,0.1858
0.2,2.0,0.601,0.101,0.499,False,91.74,0.1858
0.2,3.0,0.636,0.143,0.493,False,90.2,0.1858
0.2,4.0,0.661,0.089,0.572,False,90.82,0.1858
0.3,0.0,0.473,-0.028,0.501,False,93.25,0.285
0.3,0.25,0.462,0.045,0.418,False,93.45,0.285
0.3,0.5,0.452,0.032,0.42,False,94.22,0.285
0.3,0.75,0.165,0.131,0.034,False,95.38,0.285
0.3,1.0,0.516,0.067,0.449,False,94.17,0.285
0.3,1.25,0.472,0.175,0.298,False,93.22,0.285
0.3,1.5,0.605,0.099,0.506,False,91.98,0.285
0.3,2.0,0.601,0.009,0.592,False,91.74,0.285
0.3,3.0,0.636,0.093,0.543,False,90.2,0.285
0.3,4.0,0.661,0.087,0.574,False,90.82,0.285
