horizon,threshold_q,n_exceedances,xi,sigma,coverage,width
Current,0.8,51,0.5086,9.7292,93.85,20.399
Current,0.85,38,0.082,19.2622,93.85,23.646
Current,0.9,26,-0.1273,25.9042,93.85,22.219
Current,0.95,13,-1.1199,68.9006,93.85,21.704
1M,0.8,51,1.6113,2.8597,87.5,13.242
1M,0.85,38,0.2862,17.3777,89.06,24.625
1M,0.9,26,-0.613,51.5856,90.62,25.175
1M,0.95,13,-1.373,76.2794,89.06,21.472
3M,0.8,51,0.3948,14.7284,90.32,29.804
3M,0.85,38,-0.0055,27.3829,90.32,35.0
3M,0.9,26,-0.2283,35.5167,90.32,34.589
3M,0.95,13,-1.722,114.3702,90.32,31.883
6M,0.8,51,0.1363,28.0241,83.05,55.351
6M,0.85,38,-1.1225,104.3074,91.53,79.393
6M,0.9,26,-1.4338,114.5214,88.14,58.599
6M,0.95,13,-1.9284,84.8092,84.75,53.279
