horizon,tail_frac,n_cal,Q_C,coverage,wilson_lo,wilson_hi,width
Current,0.0,254,9.641,93.85,85.22,97.58,21.704
Current,0.25,254,52.41,93.85,85.22,97.58,108.692
Current,0.5,254,52.41,93.85,85.22,97.58,108.692
Current,0.75,254,52.41,93.85,85.22,97.58,108.692
Current,1.0,254,52.41,93.85,85.22,97.58,108.692
1M,0.0,254,5.867,89.06,79.1,94.6,21.472
1M,0.25,254,48.618,96.88,89.3,99.14,92.111
1M,0.5,254,48.618,96.88,89.3,99.14,92.111
1M,0.75,254,48.618,96.88,89.3,99.14,92.111
1M,1.0,254,48.618,96.88,89.3,99.14,92.111
3M,0.0,254,13.412,90.32,80.45,95.49,31.883
3M,0.25,254,56.601,95.16,86.71,98.34,109.113
3M,0.5,254,56.601,95.16,86.71,98.34,109.113
3M,0.75,254,56.601,95.16,86.71,98.34,109.113
3M,1.0,254,56.601,95.16,86.71,98.34,109.113
6M,0.0,254,20.049,84.75,73.48,91.76,53.279
6M,0.25,254,68.719,96.61,88.46,99.07,123.864
6M,0.5,254,68.719,96.61,88.46,99.07,123.864
6M,0.75,254,68.719,96.61,88.46,99.07,123.864
6M,1.0,254,68.719,96.61,88.46,99.07,123.864
