horizon,alpha,q,ratio_linear,ratio_nearest_rank,both_at_ceiling,conventions_agree
Current,0.01,0.99,1.0,1.0,True,True
Current,0.05,0.95,1.0,1.0,True,True
Current,0.1,0.9,1.0,1.0,True,True
Current,0.2,0.8,1.0,1.0,True,True
Current,0.3,0.7,1.0,1.0,True,True
Current,0.4,0.6,1.0,1.0,True,True
Current,0.45,0.55,1.0,1.0,True,True
Current,0.49,0.51,1.0,1.0,True,True
Current,0.5,0.5,0.512223,0.023734,False,False
Current,0.55,0.45,0.030789,0.030414,False,False
Current,0.6,0.4,0.035482,0.03547,False,False
1M,0.01,0.99,1.0,1.0,True,True
1M,0.05,0.95,1.0,1.0,True,True
1M,0.1,0.9,1.0,1.0,True,True
1M,0.2,0.8,1.0,1.0,True,True
1M,0.3,0.7,1.0,1.0,True,True
1M,0.4,0.6,1.0,1.0,True,True
1M,0.45,0.55,1.0,1.0,True,True
1M,0.49,0.51,1.0,1.0,True,True
1M,0.5,0.5,0.523751,0.033523,False,False
1M,0.55,0.45,0.031776,0.03164,False,False
1M,0.6,0.4,0.036798,0.036833,False,False
3M,0.01,0.99,1.0,1.0,True,True
3M,0.05,0.95,1.0,1.0,True,True
3M,0.1,0.9,1.0,1.0,True,True
3M,0.2,0.8,1.0,1.0,True,True
3M,0.3,0.7,1.0,1.0,True,True
3M,0.4,0.6,1.0,1.0,True,True
3M,0.45,0.55,1.0,1.0,True,True
3M,0.49,0.51,1.0,1.0,True,True
3M,0.5,0.5,0.514766,0.025485,False,False
3M,0.55,0.45,0.0256,0.025566,False,False
3M,0.6,0.4,0.032357,0.03248,False,False
6M,0.01,0.99,1.0,1.0,True,True
6M,0.05,0.95,1.0,1.0,True,True
6M,0.1,0.9,1.0,1.0,True,True
6M,0.2,0.8,1.0,1.0,True,True
6M,0.3,0.7,1.0,1.0,True,True
6M,0.4,0.6,1.0,1.0,True,True
6M,0.45,0.55,1.0,1.0,True,True
6M,0.49,0.51,1.0,1.0,True,True
6M,0.5,0.5,0.518444,0.02454,False,False
6M,0.55,0.45,0.02184,0.021876,False,False
6M,0.6,0.4,0.026447,0.026509,False,False
