Feature,Current,1M,3M,6M
share_price,0.26610714965330223,0.04898594553432797,0.6097518831105239,0.2212363849599663
OECD_CLI_index,0.23705500332722215,0.19803017468834733,0.10788065828007688,0.08022510372398399
CSI_index,0.350869900443038,0.22966064353338517,0.08292205259415969,0.1151260785242191
gdp_per_capita_residual,0.23893152161914757,0.6546966891636374,0.5965264012839153,0.799255055761122
gdp_per_capita_rollstd12,0.15477947646519605,0.07930617441293823,0.10159464443769244,0.18218605336771987
PPI_diff1,0.1632520422275209,0.18882249879887303,0.2444777706797415,0.3837856023960224
gdp_per_capita_diff1,0.4633628227790233,0.47579410068612193,0.2987438004142239,0.11165089992943909
gdp_per_capita_diff3,0.3947476280153236,0.32564830644359105,0.38183103000876817,0.47742924576872625
gdp_per_capita_pct_change1,0.40257544904058074,0.30046109563501017,0.16697784729771908,0.12800219137794902
1_year_rate,0.14702770423834036,0.1842295591498561,0.09015015063746785,0.11940643490868406
3_months_rate,0.04774925138775698,0.054638214293192766,0.09770373696601485,0.06911717057174963
6_months_rate,0.0730619854203735,0.0942699256046438,0.06594922682319072,0.12061067983758304
CPI,0.07577568687587742,0.07217291388324723,0.29230998737749186,0.2802068493778656
INDPRO,0.07503510430540725,0.12827741179807398,0.3107961373298672,0.4660781517284511
10_year_rate,0.15740141618639045,0.09749114054524886,0.08838773683077208,0.19345558542670035
unemployment_rate,0.05992279314656356,0.09050774337704706,0.22504118189507719,0.32729164848285885
PPI,0.10290564631941866,0.03406470223323597,0.14362691970212021,0.5292685576798496
gdp_per_capita,0.04224349964322762,0.16190050478436657,0.19284205633608936,1.1627540319394452
CSI_index_trend,0.3281351482607027,0.04898125877710631,0.16345227005356142,0.15301393857915033
OECD_CLI_index_trend,1.1065565989977535,0.4552766222322536,0.8828113395259819,0.2906417865006529
PPI_CPI_diff,0.05739957870046009,0.13387499385426122,0.40735803762695044,0.23879397946104125
3_months_rate_rollmin12,0.0506822793583512,0.033759710865983436,0.08868140499464573,0.08903752045973924
INDPRO_rollstd12,0.09507003430206296,0.1274278417751886,0.09191034529267146,0.35865796626149243
PPI_rollstd12,0.04456784856976279,0.14737383156957765,0.07887163902285285,0.09545491626127785
3_months_rate_diff3,0.2394448148493004,0.19885141280291177,0.1958973266823446,0.19319772943425734
OECD_CLI_index_diff1,0.19789113371863917,0.43940463176550487,0.4322134264546443,0.28941007809537866
CSI_index_rollmin12,0.037060610265239255,0.08732890974767404,0.08236807813668748,0.08766816966821768
OECD_CLI_index_diff3,0.2545636182706665,0.21321268695263698,0.25141198282686017,0.19733260543271441
OECD_CLI_index_residual,0.16313188933524628,0.12364794013190593,0.7082600515190814,0.881357095400216
share_price_trend,0.07412215217229472,0.0932948829758732,0.09702005859708862,0.445235866993636
CSI_index_lag6,0.0839635602648837,0.15895000533039427,0.053716423006344154,0.32247585784431576
unemployment_rate_rollstd6,0.19055224332568052,0.1789142850556406,0.11206165540541693,0.221063492069684
PPI_rollstd6,0.06936916323158605,0.15569919699115614,0.1494667386629692,0.12189981019241214
OECD_CLI_index_rollmax12,0.0971639999595895,0.1399894789316923,0.06023469239106954,0.09009511969137994
CSI_index_rollmax6,0.11677353083344154,0.11831536272481537,0.10297794114812457,0.05473522214508436
INDPRO_diff3,1.549666207715286,0.3304551577759501,0.17444746616417822,0.23531041827353816
unemployment_rate_diff3,0.2660645657260789,0.2351669097160383,0.16056716299250182,0.16694999776948408
CSI_index_rollmin6,0.109877380686834,0.138656823172009,0.09339054440931387,0.041004892877919565
OECD_CLI_index_pct_change1,0.22334563939161547,0.3170954115682582,0.39450237138294414,0.3530829622684198
10_year_rate_residual,0.20268866477364886,0.3073914269441388,0.6227560354964621,0.3865352072148436
CPI_anomaly,0.0,0.0,0.01673315541692971,0.02093481519557945
unemployment_rate_anomaly,0.0017051663739706192,0.0,0.045278698630222415,0.0
share_price_anomaly,0.0,0.020528841471156533,0.0,0.0
3_months_rate_anomaly,0.007211352349585843,0.0,0.0008972133061918654,0.0
6_months_rate_anomaly,0.00023625862497846382,0.0019484888973169121,0.00036826054135977166,0.0018126072449616238
10_year_rate_anomaly,0.0010123636413983499,0.0,0.0024094438922031155,0.000914702702292158
