Horizon,model,strategy,cov,width,wilson_lo,wilson_hi,boot_lo,boot_hi,support,target_spread,width_ratio,vacuous
Current,probit,pooled_trailing,96.92,32.01,89.46,99.15,93.85,100.0,77.56,0.804,39.8,False
Current,probit,mondrian_rare,100.0,199.81,94.42,100.0,100.0,100.0,40.37,0.804,248.5,True
Current,probit,evt_tail,96.92,191.16,89.46,99.15,93.85,100.0,99.22,0.804,237.8,True
Current,probit,diversity_optimal,96.92,163.34,89.46,99.15,93.85,100.0,96.83,0.804,203.2,True
Current,probit,pid_conformal,95.38,36.6,87.29,98.42,93.85,100.0,77.56,0.804,45.5,False
1M,probit,pooled_trailing,96.88,31.86,89.3,99.14,95.31,100.0,77.56,0.808,39.4,False
1M,probit,mondrian_rare,100.0,199.78,94.34,100.0,100.0,100.0,82.69,0.808,247.3,True
1M,probit,evt_tail,96.88,189.95,89.3,99.14,95.31,100.0,99.24,0.808,235.1,True
1M,probit,diversity_optimal,96.88,161.83,89.3,99.14,95.31,100.0,96.17,0.808,200.3,True
1M,probit,pid_conformal,92.19,45.09,82.98,96.62,89.06,100.0,77.56,0.808,55.8,False
3M,probit,pooled_trailing,98.39,30.47,91.41,99.71,98.39,100.0,83.38,0.732,41.6,False
3M,probit,mondrian_rare,100.0,199.6,94.17,100.0,100.0,100.0,99.45,0.732,272.7,True
3M,probit,evt_tail,98.39,191.73,91.41,99.71,98.39,100.0,99.09,0.732,261.9,True
3M,probit,diversity_optimal,98.39,157.26,91.41,99.71,98.39,100.0,97.7,0.732,214.8,True
3M,probit,pid_conformal,90.32,28.94,80.45,95.49,75.77,100.0,83.38,0.732,39.5,False
6M,probit,pooled_trailing,100.0,29.79,93.89,100.0,100.0,100.0,87.66,0.596,50.0,False
6M,probit,mondrian_rare,100.0,199.72,93.89,100.0,100.0,100.0,99.9,0.596,335.1,True
6M,probit,evt_tail,100.0,184.09,93.89,100.0,100.0,100.0,99.0,0.596,308.9,True
6M,probit,diversity_optimal,100.0,141.37,93.89,100.0,100.0,100.0,97.33,0.596,237.2,True
6M,probit,pid_conformal,86.44,51.07,75.46,92.97,59.32,100.0,87.66,0.596,85.7,False
