Method,Cal_N,Cal_RecessionMonths,Horizon,Coverage_pct,MeanWidth_pp,CalMeanErr_pp
Option A 20% (2009-06→2019-12),127,1,Current,70.8,2.34,0.949
Option A 20% (2009-06→2019-12),127,1,1M,72.3,2.21,0.907
Option A 20% (2009-06→2019-12),127,1,3M,61.5,4.69,1.899
Option A 20% (2009-06→2019-12),127,1,6M,63.1,8.84,1.704
Option A 30% (2004-03→2019-12),190,16,Current,87.7,4.42,1.386
Option A 30% (2004-03→2019-12),190,16,1M,81.5,3.3,1.312
Option A 30% (2004-03→2019-12),190,16,3M,87.7,11.45,2.935
Option A 30% (2004-03→2019-12),190,16,6M,69.2,8.16,1.97
Option A 40% (1998-11→2019-12),254,16,Current,89.2,5.21,1.411
Option A 40% (1998-11→2019-12),254,16,1M,86.2,5.12,1.435
Option A 40% (1998-11→2019-12),254,16,3M,86.2,10.34,2.857
Option A 40% (1998-11→2019-12),254,16,6M,70.8,8.37,1.997
Option A 50% (1993-08→2019-12),317,16,Current,86.2,3.79,1.3
Option A 50% (1993-08→2019-12),317,16,1M,86.2,4.11,1.311
Option A 50% (1993-08→2019-12),317,16,3M,86.2,7.17,2.644
Option A 50% (1993-08→2019-12),317,16,6M,67.7,7.82,1.86
Option C Regime-Aware 40%,254,20,Current,83.1,3.75,
Option C Regime-Aware 40%,254,20,1M,84.6,5.27,
Option C Regime-Aware 40%,254,20,3M,83.1,6.83,
Option C Regime-Aware 40%,254,20,6M,66.2,8.99,
