domain,model,horizon,scoring,strategy,n,coverage,wilson_lo,wilson_hi,boot_lo,boot_hi,mean_width,target_spread,width_ratio,vacuous
Recession,stacking-chain,Current,in-sample,pooled_trailing,65,89.23,79.4,94.68,83.08,100.0,7.45,0.804,9.3,False
Recession,stacking-chain,Current,in-sample,mondrian,65,81.54,70.45,89.11,73.85,95.38,3.655,0.804,4.5,False
Recession,stacking-chain,Current,in-sample,pid_conformal,65,89.23,79.4,94.68,83.08,100.0,8.789,0.804,10.9,False
Recession,stacking-chain,Current,in-sample,evt_tail,65,87.69,77.55,93.63,81.54,100.0,6.184,0.804,7.7,False
Recession,stacking-chain,Current,in-sample,diversity_optimal,65,92.31,83.22,96.67,87.69,100.0,13.161,0.804,16.4,False
Recession,stacking-chain,Current,in-sample,dtaci,65,87.69,77.55,93.63,83.08,100.0,6.886,0.804,8.6,False
Recession,stacking-chain,Current,in-sample,acmcp,65,98.46,91.79,99.73,98.46,100.0,209.753,0.804,260.9,True
Recession,stacking-chain,Current,in-sample,bellman_ci,65,61.54,49.38,72.4,46.15,75.38,2.389,0.804,3.0,False
Recession,stacking-chain,1M,in-sample,pooled_trailing,64,85.94,75.38,92.42,78.12,100.0,7.346,0.808,9.1,False
Recession,stacking-chain,1M,in-sample,mondrian,64,85.94,75.38,92.42,78.12,100.0,5.839,0.808,7.2,False
Recession,stacking-chain,1M,in-sample,pid_conformal,64,87.5,77.23,93.53,81.25,100.0,7.619,0.808,9.4,False
Recession,stacking-chain,1M,in-sample,evt_tail,64,85.94,75.38,92.42,78.12,100.0,6.137,0.808,7.6,False
Recession,stacking-chain,1M,in-sample,diversity_optimal,64,89.06,79.1,94.6,82.81,100.0,21.132,0.808,26.2,False
Recession,stacking-chain,1M,in-sample,dtaci,64,84.38,73.57,91.29,78.12,96.88,7.082,0.808,8.8,False
Recession,stacking-chain,1M,in-sample,acmcp,64,98.44,91.67,99.72,98.44,100.0,166.82,0.808,206.5,True
Recession,stacking-chain,1M,in-sample,bellman_ci,64,65.62,53.4,76.08,51.56,89.06,2.099,0.808,2.6,False
Recession,stacking-chain,3M,in-sample,pooled_trailing,62,85.48,74.66,92.17,79.03,100.0,14.95,0.732,20.4,False
Recession,stacking-chain,3M,in-sample,mondrian,62,85.48,74.66,92.17,79.03,100.0,6.848,0.732,9.4,False
Recession,stacking-chain,3M,in-sample,pid_conformal,62,87.1,76.55,93.31,80.65,100.0,17.417,0.732,23.8,False
Recession,stacking-chain,3M,in-sample,evt_tail,62,85.48,74.66,92.17,79.03,100.0,12.497,0.732,17.1,False
Recession,stacking-chain,3M,in-sample,diversity_optimal,62,90.32,80.45,95.49,83.87,100.0,25.346,0.732,34.6,False
Recession,stacking-chain,3M,in-sample,dtaci,62,87.1,76.55,93.31,80.65,100.0,15.326,0.732,20.9,False
Recession,stacking-chain,3M,in-sample,acmcp,62,96.77,88.98,99.11,96.77,100.0,146.774,0.732,200.5,True
Recession,stacking-chain,3M,in-sample,bellman_ci,62,45.16,33.42,57.47,33.87,62.9,4.165,0.732,5.7,False
Recession,stacking-chain,6M,in-sample,pooled_trailing,59,67.8,55.11,78.31,44.07,91.53,10.64,0.596,17.9,False
Recession,stacking-chain,6M,in-sample,mondrian,59,61.02,48.27,72.42,37.29,84.75,8.227,0.596,13.8,False
Recession,stacking-chain,6M,in-sample,pid_conformal,59,71.19,58.62,81.16,49.15,93.22,16.844,0.596,28.3,False
Recession,stacking-chain,6M,in-sample,evt_tail,59,66.1,53.37,76.86,44.07,89.83,9.458,0.596,15.9,False
Recession,stacking-chain,6M,in-sample,diversity_optimal,59,81.36,69.62,89.26,67.8,98.31,32.58,0.596,54.7,False
Recession,stacking-chain,6M,in-sample,dtaci,59,67.8,55.11,78.31,45.76,88.14,12.901,0.596,21.6,False
Recession,stacking-chain,6M,in-sample,acmcp,59,54.24,41.66,66.3,33.9,76.31,10.604,0.596,17.8,False
Recession,stacking-chain,6M,in-sample,bellman_ci,59,37.29,26.08,50.05,18.64,62.71,3.748,0.596,6.3,False
Recession,stacking-chain,Current,out-of-fold,pooled_trailing,65,93.85,85.22,97.58,90.77,100.0,21.704,0.804,27.0,False
Recession,stacking-chain,Current,out-of-fold,mondrian,65,92.31,83.22,96.67,89.23,100.0,13.099,0.804,16.3,False
Recession,stacking-chain,Current,out-of-fold,pid_conformal,65,93.85,85.22,97.58,90.77,100.0,23.863,0.804,29.7,False
Recession,stacking-chain,Current,out-of-fold,evt_tail,65,93.85,85.22,97.58,90.77,100.0,20.399,0.804,25.4,False
Recession,stacking-chain,Current,out-of-fold,diversity_optimal,65,93.85,85.22,97.58,90.77,100.0,108.692,0.804,135.2,True
Recession,stacking-chain,Current,out-of-fold,dtaci,65,93.85,85.22,97.58,90.77,100.0,19.537,0.804,24.3,False
Recession,stacking-chain,Current,out-of-fold,acmcp,65,90.77,81.29,95.7,84.62,100.0,74.374,0.804,92.5,False
Recession,stacking-chain,Current,out-of-fold,bellman_ci,65,80.0,68.73,87.92,73.85,92.31,4.564,0.804,5.7,False
Recession,stacking-chain,1M,out-of-fold,pooled_trailing,64,89.06,79.1,94.6,82.81,100.0,21.472,0.808,26.6,False
Recession,stacking-chain,1M,out-of-fold,mondrian,64,87.5,77.23,93.53,81.21,100.0,12.347,0.808,15.3,False
Recession,stacking-chain,1M,out-of-fold,pid_conformal,64,90.62,81.02,95.63,85.94,100.0,26.982,0.808,33.4,False
Recession,stacking-chain,1M,out-of-fold,evt_tail,64,87.5,77.23,93.53,81.25,100.0,13.242,0.808,16.4,False
Recession,stacking-chain,1M,out-of-fold,diversity_optimal,64,96.88,89.3,99.14,95.31,100.0,92.111,0.808,114.0,False
Recession,stacking-chain,1M,out-of-fold,dtaci,64,89.06,79.1,94.6,84.38,98.44,22.593,0.808,28.0,False
Recession,stacking-chain,1M,out-of-fold,acmcp,64,85.94,75.38,92.42,76.56,100.0,54.563,0.808,67.5,False
Recession,stacking-chain,1M,out-of-fold,bellman_ci,64,79.69,68.29,87.73,70.31,96.88,3.964,0.808,4.9,False
Recession,stacking-chain,3M,out-of-fold,pooled_trailing,62,90.32,80.45,95.49,83.87,100.0,31.883,0.732,43.6,False
Recession,stacking-chain,3M,out-of-fold,mondrian,62,85.48,74.66,92.17,79.03,100.0,19.431,0.732,26.5,False
Recession,stacking-chain,3M,out-of-fold,pid_conformal,62,90.32,80.45,95.49,83.87,100.0,35.65,0.732,48.7,False
Recession,stacking-chain,3M,out-of-fold,evt_tail,62,90.32,80.45,95.49,83.87,100.0,29.804,0.732,40.7,False
Recession,stacking-chain,3M,out-of-fold,diversity_optimal,62,95.16,86.71,98.34,91.94,100.0,109.113,0.732,149.1,True
Recession,stacking-chain,3M,out-of-fold,dtaci,62,91.94,82.47,96.51,87.1,100.0,32.517,0.732,44.4,False
Recession,stacking-chain,3M,out-of-fold,acmcp,62,85.48,74.66,92.17,72.58,100.0,52.05,0.732,71.1,False
Recession,stacking-chain,3M,out-of-fold,bellman_ci,62,61.29,48.85,72.42,51.61,80.65,4.883,0.732,6.7,False
Recession,stacking-chain,6M,out-of-fold,pooled_trailing,59,84.75,73.48,91.76,72.88,98.31,53.279,0.596,89.4,False
Recession,stacking-chain,6M,out-of-fold,mondrian,59,83.05,71.54,90.52,67.8,98.31,41.475,0.596,69.6,False
